VectorMagnet - Field Z,ic-,ic+,datafile
-0.2,-2.02e-06,1.7800000000000001e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.198,-2.04e-06,1.74e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.196,-2.04e-06,1.8200000000000002e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.194,-2.1000000000000002e-06,1.8400000000000002e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.192,-2.12e-06,1.8800000000000002e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.19,-2.16e-06,1.8800000000000002e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.188,-2.1400000000000003e-06,1.94e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.186,-2.2e-06,1.92e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.184,-2.2600000000000004e-06,1.96e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.182,-2.2600000000000004e-06,1.94e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.18,-2.32e-06,2e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.178,-2.36e-06,2.06e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.176,-2.38e-06,2.02e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.174,-2.44e-06,2.06e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.172,-2.5e-06,2.12e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.16999999999999998,-2.52e-06,2.12e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.16799999999999998,-2.52e-06,2.1000000000000002e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.16599999999999998,-2.6e-06,2.2e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.16399999999999998,-2.66e-06,2.24e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.16199999999999998,-2.7200000000000002e-06,2.24e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.15999999999999998,-2.74e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.15799999999999997,-2.74e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.15599999999999997,-2.84e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.15399999999999997,-2.88e-06,2.4e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.15199999999999997,-2.96e-06,2.38e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.14999999999999997,-3.04e-06,2.46e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.14799999999999996,-3.04e-06,2.5e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.14599999999999996,-3.1e-06,2.52e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.14399999999999996,-3.18e-06,2.58e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
-0.14199999999999996,-3.2400000000000003e-06,2.6e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5
