VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.0949999999999999,-4.1000000000000006e-06,2.85e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2500000000000007e-06,6.95e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1798561151079137,0.0051687236039425
-0.0899999999999999,-4.2e-06,2.975e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2249999999999995e-06,7.175e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1707317073170731,0.0049988752170826
-0.0849999999999999,-4.375e-06,3.0500000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.3249999999999992e-06,7.425e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1784511784511783,0.0048368847931455
-0.0799999999999999,-4.525000000000001e-06,3.1500000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.3750000000000004e-06,7.675e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1791530944625407,0.0046799006586536
-0.0749999999999999,-4.625e-06,3.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.375e-06,7.875e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1746031746031746,0.0045574881550395
-0.0699999999999999,-4.7250000000000005e-06,3.4000000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.325e-06,8.125000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,-0.163076923076923,0.0044089077832
-0.0649999999999998,-4.75e-06,3.5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2500000000000003e-06,8.25e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1515151515151515,0.0043344072437854
-0.0599999999999998,-4.825e-06,3.7e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.1250000000000002e-06,8.525e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1319648093841642,0.0041832095979433
-0.0549999999999998,-4.875e-06,3.9250000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-9.499999999999994e-07,8.8e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1079545454545453,0.0040409955792963
-0.0499999999999998,-4.925000000000001e-06,4.1000000000000006e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-8.250000000000006e-07,9.025000000000004e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0914127423822715,0.0039338228774011
-0.0449999999999998,-5.1e-06,4.350000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.499999999999996e-07,9.45e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0793650793650793,0.0037530701220297
-0.0399999999999998,-5.125e-06,4.5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-6.249999999999999e-07,9.625e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0649350649350649,0.0036810181455769
-0.0349999999999998,-5.0750000000000005e-06,4.625e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-4.500000000000008e-07,9.7e-06,3.535533905932737e-08,3.535533905932737e-08,-0.0463917525773196,0.0036488004533647
-0.0299999999999998,-5.2e-06,4.825e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-3.749999999999998e-07,1.0025e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0374064837905236,0.0035291836213347
-0.0249999999999998,-5.225000000000001e-06,4.95e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-2.750000000000008e-07,1.0175e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0270270270270271,0.0034759950403884
-0.0199999999999998,-5.25e-06,5.050000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.9999999999999893e-07,1.03e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0194174757281552,0.0034332042321148
-0.0149999999999998,-5.25e-06,5.1e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.499999999999994e-07,1.035e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0144927536231883,0.0034163335150194
-0.0099999999999998,-5.225000000000001e-06,5.1e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.250000000000005e-07,1.0325e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0121065375302663,0.0034244968474091
-0.0049999999999998,-5.1e-06,5.025e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.500000000000014e-08,1.0125e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0074074074074074,0.0034919811372021
1.6653345369377348e-16,-5.050000000000001e-06,5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.0000000000000375e-08,1.005e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0049751243781094,0.0035179877225738
0.0050000000000001,-5.1e-06,5.150000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,5.0000000000000375e-08,1.0250000000000002e-05,3.535533905932737e-08,3.535533905932737e-08,0.0048780487804878,0.0034493424100813
