VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.1249999999999999,-3.2000000000000003e-06,2.4500000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.5e-07,5.65e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1327433628318584,0.0063124731870582,2.4416515837104227e-06,-3.2135972850678933e-06,-7.719457013574707e-07,-0.13621684567237644
-0.1199999999999999,-3.375e-06,2.5250000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-8.499999999999995e-07,5.9e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1440677966101693,0.0060542990025826,2.5125791855203773e-06,-3.3624208144796583e-06,-8.498416289592811e-07,-0.14426335693251402
-0.1149999999999999,-3.5e-06,2.5750000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-9.249999999999996e-07,6.075e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1522633744855966,0.0058868859635582,2.5877828054298805e-06,-3.520904977375587e-06,-9.33122171945707e-07,-0.152117594838959
-0.1099999999999999,-3.625e-06,2.6500000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-9.749999999999996e-07,6.275e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1553784860557768,0.0057019245371378,2.66674208144798e-06,-3.688619909502285e-06,-1.0218778280543047e-06,-0.1599225048512031
-0.1049999999999999,-3.800000000000001e-06,2.725e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.0750000000000007e-06,6.525000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1647509578544062,0.0054914864977384,2.7534841628959444e-06,-3.863665158371064e-06,-1.1101809954751198e-06,-0.16684440876400675
-0.0949999999999999,-4.1000000000000006e-06,2.85e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2500000000000007e-06,6.95e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1798561151079137,0.0051687236039425,2.8393665158371214e-06,-4.032669683257943e-06,-1.1933031674208217e-06,-0.172681122107433
-0.0899999999999999,-4.2e-06,2.975e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2249999999999995e-06,7.175e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1707317073170731,0.0049988752170826,2.9299321266968506e-06,-4.194638009049799e-06,-1.2647058823529488e-06,-0.17649619617299614
-0.0849999999999999,-4.375e-06,3.0500000000000004e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.3249999999999992e-06,7.425e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1784511784511783,0.0048368847931455,3.0311312217194754e-06,-4.347488687782832e-06,-1.3163574660633562e-06,-0.17779191428819444
-0.0799999999999999,-4.525000000000001e-06,3.1500000000000003e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.3750000000000004e-06,7.675e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1791530944625407,0.0046799006586536,3.140791855203639e-06,-4.472533936651611e-06,-1.331742081447972e-06,-0.17456039854644295
-0.0749999999999999,-4.625e-06,3.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.375e-06,7.875e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1746031746031746,0.0045574881550395,3.2708371040724184e-06,-4.592217194570164e-06,-1.3213800904977455e-06,-0.16818034099214252
-0.0699999999999999,-4.7250000000000005e-06,3.4000000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.325e-06,8.125000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,-0.163076923076923,0.0044089077832,3.416968325791876e-06,-4.702647058823558e-06,-1.2856787330316819e-06,-0.15901421316655562
-0.0649999999999998,-4.75e-06,3.5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.2500000000000003e-06,8.25e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1515151515151515,0.0043344072437854,3.570678733031696e-06,-4.782307692307722e-06,-1.2116289592760253e-06,-0.14593965976621806
-0.0599999999999998,-4.825e-06,3.7e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-1.1250000000000002e-06,8.525e-06,3.535533905932737e-08,3.535533905932737e-08,-0.1319648093841642,0.0041832095979433,3.7362443438914254e-06,-4.84789592760184e-06,-1.1116515837104138e-06,-0.13059069075361104
