angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
165.0,-9.895104485830077e-07,9.752762793108488e-07,-4.482173497214423e-05,-1.5933258118353177e-05,-9.89516341945662e-07,9.746855748927354e-07,5.646931765137904e-10,4.80310560469417e-10,19,13,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-089.hdf5,-1.48307670529266e-08,7.413343497367973e-10,1.9642019168383974e-06,7.413343497367973e-10,-0.0075505307910494,0.0003774334374724,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
180.0,-9.918520096680291e-07,9.774013087261648e-07,-4.2463296807871646e-05,-1.2322355159357082e-05,-9.917889844595878e-07,9.77766703594074e-07,6.743898520805587e-10,2.4690788928511416e-10,19,13,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-089.hdf5,-1.4022280865513858e-08,7.181679318797717e-10,1.969555688053662e-06,7.181679318797717e-10,-0.0071195147974571,0.0003646437300912,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
195.0,-9.917635301846642e-07,9.791329084054696e-07,-4.875872710818922e-05,-1.800067207207612e-05,-9.917585209523556e-07,9.787149370226087e-07,8.05778837117607e-10,5.614278422908862e-10,21,21,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-1.3043583929746924e-08,9.82079811647711e-10,1.9704734579749643e-06,9.82079811647711e-10,-0.0066195176986305,0.0004984088082135,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
210.0,-9.901877749906575e-07,9.762815796754904e-07,-3.96944215268744e-05,-9.383839955162676e-06,-9.896075412553723e-07,9.764764225473204e-07,9.726075652102762e-10,4.992910998181636e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-1.3131118708051932e-08,1.0932781339905655e-09,1.9660839638026925e-06,1.0932781339905655e-09,-0.006678818885565,0.0005560812953919,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
225.0,-9.860044070509088e-07,9.723379102346286e-07,-3.950235009832007e-05,-8.96805152730381e-06,-9.856574869066684e-07,9.720627783425237e-07,8.086616501098571e-10,5.639138371783571e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-1.3594708564144731e-08,9.858663601724202e-10,1.957720265249192e-06,9.858663601724202e-10,-0.0069441527502471,0.0005035909099189,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
240.0,-9.808185224702683e-07,9.681648008860798e-07,-3.549194384331783e-05,-3.677596281836959e-06,-9.796550190376656e-07,9.668767065409815e-07,1.2049721413073979e-09,7.677279486854216e-10,23,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-1.277831249668403e-08,1.4287631240060967e-09,1.946531725578647e-06,1.4287631240060967e-09,-0.0065646566807871,0.0007340203557798,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
255.0,-9.762499262176929e-07,9.643662759855796e-07,-3.3906371448190406e-05,-4.053530175294243e-06,-9.758359779241195e-07,9.63824710369628e-07,5.819196244339322e-10,7.288015166377441e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-1.2011267554491434e-08,9.326210913092223e-10,1.939660688293748e-06,9.326210913092223e-10,-0.0061924581072256,0.0004808258362719,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
270.0,-9.742963708441406e-07,9.632033609801125e-07,-4.114560636138077e-05,-1.0907034596601468e-05,-9.734628329652728e-07,9.627335360073885e-07,1.044366897361577e-09,9.617520011025403e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-1.0729296957884286e-08,1.4197426273551792e-09,1.936196368972661e-06,1.4197426273551792e-09,-0.0055414301616406,0.0007332750170778,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
285.0,-9.72448808493548e-07,9.642115696251772e-07,-3.966899446193185e-05,-9.783767618279564e-06,-9.72552183702954e-07,9.63606558562065e-07,5.379539834135564e-10,6.34567689296425e-10,21,19,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-8.945625140888945e-09,8.319078317755621e-10,1.936158742265019e-06,8.319078317755621e-10,-0.004620295302039,0.0004296738139232,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
300.0,-9.752412719135126e-07,9.67203343315807e-07,-3.996405082277158e-05,-9.95287714443396e-06,-9.75393499492167e-07,9.66931604395573e-07,7.182254049092213e-10,5.445467243168135e-10,21,21,-5.25,2024/06/Data_0620/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-090.hdf5,-8.461895096594105e-09,9.013206239852645e-10,1.94232510388774e-06,9.013206239852645e-10,-0.0043565802036213,0.0004640465056952,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv
