gate,a0,a1,a3,φ1,φ3,a0_err,a1_err,a3_err,φ1_err,φ3_err,ndata,chisqr,redchi,rsquared,datapath,quiet,parent_csv
-5.25,-0.0059850805708422,0.0015629987110427,0.0006080696689902,20.20824483046934,-22.974398869125643,4.441741506268066e-05,5.643562787164266e-05,5.915175785060926e-05,2.465932871841627,5.737767110562703,25,5.663051176108272,0.2831525588054136,-160799.05392222165,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-5.25V/fit_angle_dependence/data_fit.csv
-1.2,3.9641714122255344e-05,0.0061622306048798,0.0008638022377109,10.28358893473162,-3.125971010825787,2.0549176256760204e-05,2.8156048676290503e-05,2.8388633607655742e-05,0.2786331562550139,1.969052510680237,25,1.7465357277305376,0.0873267863865268,-3561.942884131944,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/fit_angle_dependence/data_fit.csv
-5.4,-0.0046203851644051,0.0027346203889165,0.0003654712173277,50.0515755343782,-3.9793621980262537,3.236664751330133e-05,4.467356393820905e-05,4.414973812701658e-05,1.017932033427356,7.626855930278577,25,2.51352056288976,0.125676028144488,-27191.90615231451,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-5.4V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-5.4V/fit_angle_dependence/data_fit.csv
-2.2,0.0007005136717802,0.001938162797304,0.0009465715315203,44.79420700619079,-5.446132926540662,3.196052268227149e-05,4.468975506929583e-05,4.421573865073404e-05,1.3454607178962177,2.791330085871583,25,5.02571222202783,0.2512856111013915,-88314.09586708243,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-2.2V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-2.2V/fit_angle_dependence/data_fit.csv
-3.0,-0.0012304951755026,-0.0024102140621616,0.0010184141028857,-2.9208482860932365,-12.475137638598648,5.213798914228776e-05,7.472443473951641e-05,6.998970659264256e-05,1.7071073261349157,4.06723040301812,25,7.840667256559812,0.3920333628279906,-85844.8353930816,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-3.0V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-3.0V/fit_angle_dependence/data_fit.csv
-2.4,-0.0014774934939119,0.0025633951602126,0.0010261727338688,69.34101426380751,-2.52650672197145,3.573091876950029e-05,5.429535591803817e-05,4.7172664682920095e-05,1.0493893607281883,2.8649096271169663,26,5.001134980588472,0.2381492847899272,-53970.733600726206,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-2.4V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-2.4V/fit_angle_dependence/data_fit.csv
-4.2,-0.0051500351803376,-0.0055369206342469,0.0007365312959089,-3.879471973429808,-5.888246370473023,2.870674953174386e-05,3.803874417098086e-05,4.004388879243254e-05,0.4589425523177925,3.1883337444962243,25,6.297851830094575,0.3148925915047287,-15207.01393178536,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-4.2V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-4.2V/fit_angle_dependence/data_fit.csv
-2.6,0.0005649742695083,0.0004681735459821,0.0009549866096404,82.86988899137256,-7.936988643624565,2.792903482783085e-05,4.0582749752083353e-05,3.882390204791543e-05,4.691976150360104,2.3794588536403425,25,5.021233280723043,0.2510616640361521,-343531.8778451019,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-2.6V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-2.6V/fit_angle_dependence/data_fit.csv
0.0,-0.0002680579697276,0.0091398651327187,0.0007795225649611,-1.2389628166133555,-3.751222577933517,2.996155538423571e-05,4.149012793327339e-05,4.155150611850799e-05,0.2717516682605553,3.178645022298406,25,3.6877226939919736,0.1843861346995987,-3416.9314105659823,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_0.0V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_0.0V/fit_angle_dependence/data_fit.csv
-4.8,-0.0055823764249947,-0.0036371752325483,0.0006143175432893,1.8284247770049875,-16.229127534266695,2.9499706146170427e-05,3.916403213626746e-05,4.197333800494164e-05,0.7419742514140555,3.9828837077831847,25,3.890586779755991,0.1945293389877995,-21307.870353287766,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-4.8V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-4.8V/fit_angle_dependence/data_fit.csv
-3.6,-0.0025384088151348,-0.0054902846582556,0.0010270234228764,-12.439633909277164,-12.995505761426356,3.112635201600861e-05,4.738404400893915e-05,4.336148551339915e-05,0.4561877182362137,2.5039920905015256,25,2.43175044123168,0.1215875220615839,-5910.561944757859,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-3.6V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-3.6V/fit_angle_dependence/data_fit.csv
-5.8,-0.0006836150462881,0.0086175867134787,0.0002312492660021,15.278614457799655,-6.953995361288295,2.9441210776041987e-05,4.050799890863109e-05,3.971626758032489e-05,0.2825278124737688,10.721549031881205,25,3.4959062364515696,0.1747953118225785,-3674.4082026096735,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-5.8V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-5.8V/fit_angle_dependence/data_fit.csv
-1.8,-0.0009319448191824,0.0038687560562741,0.000867229748779,17.03797182807314,-7.678006178800155,2.106437770336854e-05,2.831671689389148e-05,2.8224854184668743e-05,0.4573575036488896,2.0653585547951705,25,2.2522209371637154,0.1126110468581857,-11441.914801182023,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-1.8V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-1.8V/fit_angle_dependence/data_fit.csv
-0.6,-0.0003495732682852,0.0077422744553246,0.0009145538123023,5.5146388642315145,-7.643249862376255,3.667288766818093e-05,4.91152130983627e-05,4.972586348331789e-05,0.4131695146323775,3.402909369792289,25,6.032159325494629,0.3016079662747314,-7729.395018339195,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-0.6V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-0.6V/fit_angle_dependence/data_fit.csv
-5.0,-0.0051156325147778,-0.0023300364111826,0.0005686805172521,-12.584589428255892,-0.9464164901980444,4.012738672864221e-05,5.5118323322838456e-05,5.356325063746536e-05,1.382923565579547,5.920438579625903,25,1.8994389617283371,0.0949719480864168,-24471.61983585425,../data/processed/centermax/JS633-W2/Wsc=0.9um-NNE_diode-angle_20mT_-5.0V/data.csv,True,Wsc=0.9um-NNE_diode-angle_20mT_-5.0V/fit_angle_dependence/data_fit.csv
