VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
1.2350000000000008,-4.2000000000000006e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-8.000000000000005e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1052631578947369,0.0374217620113747,3.499004524886899e-08,-3.7118552036199315e-08,-2.1285067873303297e-09,-0.027505205829862624
1.2400000000000009,-3.6000000000000005e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.027027027027027,0.0382359454442729,3.598552036199117e-08,-3.7323076923077144e-08,-1.3375565610859803e-09,-0.015942634224211043
1.2450000000000008,-4e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-6.000000000000001e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.081081081081081,0.0383474207404139,3.603076923076945e-08,-3.650135746606357e-08,-4.705882352941198e-10,-0.004341266544872438
1.2500000000000009,-3.4e-08,3.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.999999999999998e-09,6.600000000000002e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.0303030303030302,0.0428746282091046,3.6164705882353164e-08,-3.640723981900475e-08,-2.4253393665158463e-10,-0.0025253183767115443
1.2550000000000008,-4e-08,4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0353553390593273,3.606877828054321e-08,-3.7189140271493443e-08,-1.1203619909502339e-09,-0.015111515544952143
1.260000000000001,-3.8e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-4.000000000000003e-09,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.0555555555555555,0.0393442863703146,3.6273303167421036e-08,-3.739366515837127e-08,-1.1203619909502345e-09,-0.015921556293073402
1.2650000000000008,-3.2e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,6.000000000000001e-09,7e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0857142857142857,0.0405542607293852,3.581357466063371e-08,-3.705520361990973e-08,-1.2416289592760268e-09,-0.017872059605805832
1.270000000000001,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0392837100659193,3.602533936651606e-08,-3.6338461538461765e-08,-3.1312217194570396e-10,-0.005883986874698967
1.2750000000000008,-3.6000000000000005e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.027027027027027,0.0382359454442729,3.6342081447964026e-08,-3.5558371040724195e-08,7.837104072398242e-10,0.010798119033413227
1.2800000000000007,-3.6000000000000005e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.027027027027027,0.0382359454442729,3.662262443438937e-08,-3.490497737556583e-08,1.7176470588235408e-09,0.023988095199168002
