VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.2,-2.02e-06,1.78e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.4000000000000024e-07,3.8e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0631578947368421,0.0074580597228253
-0.198,-2.04e-06,1.74e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.999999999999999e-07,3.78e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0793650793650793,0.0075061402440595
-0.196,-2.04e-06,1.82e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.2e-07,3.86e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0569948186528497,0.0073394231725487
-0.194,-2.1e-06,1.84e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.5999999999999984e-07,3.94e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.065989847715736,0.0071943625738137
-0.192,-2.12e-06,1.88e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.400000000000001e-07,4e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.06,0.0070837842993699
-0.19,-2.16e-06,1.88e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.800000000000001e-07,4.04e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0693069306930693,0.0070178517122225
-0.188,-2.1400000000000003e-06,1.94e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.000000000000002e-07,4.08e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0490196078431373,0.0069407434573071
-0.186,-2.2e-06,1.92e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.800000000000003e-07,4.12e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0679611650485437,0.0068809501366764
-0.184,-2.2600000000000004e-06,1.96e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.000000000000005e-07,4.22e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.071090047393365,0.0067193489636087
-0.182,-2.2600000000000004e-06,1.94e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.200000000000003e-07,4.2e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0761904761904762,0.0067538684259345
-0.18,-2.32e-06,2e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.199999999999999e-07,4.319999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.074074074074074,0.0065652228117546
-0.178,-2.36e-06,2.06e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-2.999999999999997e-07,4.42e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0678733031674207,0.0064138792238214
-0.176,-2.38e-06,2.02e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.6e-07,4.4e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0818181818181818,0.006449723598652
-0.174,-2.44e-06,2.06e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.799999999999998e-07,4.5e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0844444444444443,0.0063077639455665
-0.172,-2.5e-06,2.12e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-3.8000000000000017e-07,4.62e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0822510822510823,0.0061428105899638
-0.1699999999999999,-2.52e-06,2.12e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4e-07,4.64e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0862068965517241,0.0061183568557529
-0.1679999999999999,-2.52e-06,2.1e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.200000000000002e-07,4.62e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0909090909090909,0.006147382665019
-0.1659999999999999,-2.6e-06,2.2e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4e-07,4.8e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0833333333333333,0.0059129813770577
-0.1639999999999999,-2.66e-06,2.24e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.199999999999998e-07,4.9000000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0857142857142856,0.0057934658184836
-0.1619999999999999,-2.72e-06,2.24e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.799999999999996e-07,4.96e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.096774193548387,0.0057291143458754
-0.1599999999999999,-2.74e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.399999999999996e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0873015873015872,0.0056333039463328
-0.1579999999999999,-2.74e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.399999999999996e-07,5.040000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0873015873015872,0.0056333039463328
-0.1559999999999999,-2.84e-06,2.3000000000000004e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.399999999999995e-07,5.14e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1050583657587547,0.005533060960368
-0.1539999999999999,-2.88e-06,2.4e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-4.800000000000001e-07,5.28e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0909090909090909,0.0053789598318916
-0.1519999999999999,-2.96e-06,2.38e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.8e-07,5.34e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1086142322097378,0.0053278310090288
-0.1499999999999999,-3.04e-06,2.46e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.8e-07,5.5e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1054545454545454,0.0051711102407034
-0.1479999999999999,-3.04e-06,2.5e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.399999999999999e-07,5.54e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0974729241877256,0.0051296602215141
-0.1459999999999999,-3.1e-06,2.52e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.8e-07,5.62e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1032028469750889,0.0050595191719854
-0.1439999999999999,-3.18e-06,2.58e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-6.000000000000002e-07,5.76e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1041666666666667,0.0049370328503332
-0.1419999999999999,-3.2400000000000003e-06,2.6e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-6.400000000000002e-07,5.84e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1095890410958904,0.004872193145043
-0.1399999999999999,-3.3e-06,2.68e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-6.2e-07,5.98e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1036789297658862,0.0047551644235893
-0.1379999999999999,-3.3200000000000004e-06,2.66e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-6.600000000000005e-07,5.98e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1103678929765887,0.0047585311355529
-0.1359999999999999,-3.44e-06,2.72e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-7.200000000000003e-07,6.16e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1168831168831169,0.0046228605409565
-0.1339999999999999,-3.36e-06,2.7600000000000003e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-5.999999999999998e-07,6.120000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.0980392156862744,0.00464377058362
-0.1319999999999999,-3.54e-06,2.8000000000000003e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-7.399999999999997e-07,6.34e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1167192429022081,0.0044915273198425
-0.1299999999999999,-3.68e-06,2.84e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-8.4e-07,6.52e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1288343558282208,0.004373932589426
-0.1279999999999999,-3.72e-06,2.84e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-8.8e-07,6.56e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1341463414634146,0.0043502481196545
-0.1259999999999999,-3.72e-06,2.82e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-8.999999999999999e-07,6.54e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1376146788990825,0.0043655712634087
-0.1239999999999999,-3.86e-06,2.92e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-9.400000000000004e-07,6.78e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1386430678466077,0.0042116247875824
-0.1219999999999999,-3.9e-06,2.98e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-9.2e-07,6.88e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1337209302325581,0.0041476788340413
-0.1199999999999999,-4e-06,3.04e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-9.599999999999997e-07,7.04e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1363636363636363,0.0040548343151104
-0.1179999999999999,-4.08e-06,3.04e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-1.0399999999999998e-06,7.12e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.146067415730337,0.0040146644656376
-0.1159999999999999,-4.139999999999999e-06,3.1e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-1.0399999999999994e-06,7.239999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1436464088397789,0.003946767152094
-0.1139999999999999,-4.24e-06,3.14e-06,2023/10/Data_1017/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-120.hdf5,2e-08,2e-08,-1.1e-06,7.38e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1490514905149051,0.0038748959263828
