field,datafile,notes
0.025,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,extrema attained on opposite sides of flux jump
-0.035,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-268.hdf5,multiple flux jumps about max
