angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-8.366921398886458e-07,8.308073438786559e-07,-5.807896853420255e-05,-2.404399135697002e-05,-8.366505751616513e-07,8.311475209233005e-07,3.9958045083009205e-10,4.796350303029088e-10,19,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-5.503054238350787e-09,6.242710140469857e-10,1.6677980960849517e-06,6.242710140469857e-10,-0.0032995925893361143,0.0003743105438359708
15.0,-8.385010787757727e-07,8.304467648463574e-07,-6.659907259067424e-05,-3.102949766883989e-05,-8.368233340067121e-07,8.299665611015096e-07,9.890233639635003e-10,5.41821069561095e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-6.856772905202498e-09,1.1277132995074622e-09,1.6667898951082217e-06,1.1277132995074622e-09,-0.0041137595838120315,0.0006765836803624581
30.0,-8.341835347711002e-07,8.274043000645162e-07,-6.957484157072907e-05,-3.455650540134976e-05,-8.343313559888493e-07,8.272973329625617e-07,3.2362914055924016e-10,9.734762849909834e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-7.034023026287521e-09,1.0258615394189212e-09,1.661628688951411e-06,1.0258615394189212e-09,-0.004233209906074996,0.0006173886729040722
45.0,-8.311456792524592e-07,8.232359952555522e-07,-6.93963609663778e-05,-3.459912553389844e-05,-8.307301954106908e-07,8.228372961395784e-07,3.0854335712852835e-10,7.194706635719227e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-7.89289927111241e-09,7.828390888099325e-10,1.653567491550269e-06,7.828390888099325e-10,-0.0047732549844171045,0.00047342972745168486
60.0,-8.269425200767386e-07,8.182828350038681e-07,-6.445329566527564e-05,-2.956827303462402e-05,-8.272327865698555e-07,8.184777056345703e-07,5.321619144782151e-10,4.720096033716655e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-8.755080935285231e-09,7.11329297088343e-10,1.6457104922044258e-06,7.11329297088343e-10,-0.005319939914558008,0.0004322384564736268
75.0,-8.246366072684506e-07,8.154879917941507e-07,-6.453491150242337e-05,-3.036683749098022e-05,-8.247021272203725e-07,8.15323685555924e-07,3.154139574641983e-10,7.830202486796858e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-9.378441664448436e-09,8.441603369062206e-10,1.6400258127762964e-06,8.441603369062206e-10,-0.005718471984640451,0.0005147322271561895
90.0,-8.24443740554123e-07,8.131023775851276e-07,-6.8940340021225e-05,-3.4431366807700075e-05,-8.241472918887955e-07,8.131337831726498e-07,4.283172270257788e-10,7.058483565842453e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-133.hdf5,-1.1013508716145668e-08,8.256376623312023e-10,1.6372810750614453e-06,8.256376623312023e-10,-0.006726706173973423,0.00050428503337654
105.0,-8.254069771960641e-07,8.132271389708599e-07,-5.9614875602737873e-05,-2.516274896565874e-05,-8.252609194057523e-07,8.134779927245669e-07,3.4454057721619823e-10,7.099669810057486e-10,19,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-134.hdf5,-1.1782926681185316e-08,7.891522815444989e-10,1.6387389121303192e-06,7.891522815444989e-10,-0.007190240369570409,0.00048157316266228946
120.0,-8.284321415122377e-07,8.155934066632179e-07,-6.0759516685732345e-05,-2.5789915877356577e-05,-8.279276787101572e-07,8.157357280031451e-07,7.82330452757362e-10,6.34599006000157e-10,17,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-134.hdf5,-1.2191950707012033e-08,1.007351396349817e-09,1.6436634067133022e-06,1.007351396349817e-09,-0.007417547082459705,0.0006128864973774099
135.0,-8.323960699717788e-07,8.202917092459736e-07,-6.034944993951377e-05,-2.650269268242702e-05,-8.31862138195681e-07,8.194310499156865e-07,3.049926263953403e-10,4.700238454497471e-10,19,23,-5.4,2024/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-134.hdf5,-1.2431088279994565e-08,5.603060926376718e-10,1.6512931881113675e-06,5.603060926376718e-10,-0.0075280927514830755,0.00033932312767400927
