angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-2.6519254419724733e-06,2.592807234649909e-06,-5.620266996570464e-05,-9.232191363698788e-06,-2.652344665193357e-06,2.591265275693005e-06,5.3059476036246e-10,1.5234114519657907e-09,19,19,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-6.107938950035191e-08,1.6131686990840775e-09,5.2436099408863625e-06,1.6131686990840775e-09,-0.0116483472624638,0.0003076655499065
15.0,-2.648145873385066e-06,2.59033629545182e-06,-5.973824713209761e-05,-1.2916087318775948e-05,-2.6484771471819435e-06,2.589193469865063e-06,6.32224239825831e-10,8.006434232263564e-10,19,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-5.9283677316880514e-08,1.0201653692313654e-09,5.237670617047006e-06,1.0201653692313654e-09,-0.0113187104824672,0.000194787108633
30.0,-2.6343030909492587e-06,2.582126427062692e-06,-6.179250651481197e-05,-1.502447832509172e-05,-2.6348453691831894e-06,2.581570874080107e-06,6.134293550843033e-10,1.3762861074339696e-09,17,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-5.327449510308253e-08,1.50680424182934e-09,5.216416243263296e-06,1.50680424182934e-09,-0.0102128535413337,0.0002888731939976
45.0,-2.6139762893519013e-06,2.5680512092781766e-06,-7.406104157905276e-05,-2.7618970089264342e-05,-2.6145712289962778e-06,2.568027933725811e-06,7.547523228592406e-10,1.3915381022153631e-09,15,23,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-4.654329527046687e-08,1.5830443325373275e-09,5.182599162722089e-06,1.5830443325373275e-09,-0.008980685908578,0.0003054660644127
60.0,-2.5929038106551777e-06,2.555341538687483e-06,-7.245354171147019e-05,-2.570366738841868e-05,-2.5929140017573885e-06,2.553906358391104e-06,8.310109816165407e-10,1.529669335354548e-09,17,23,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-3.9007643366284426e-08,1.740823807021064e-09,5.146820360148493e-06,1.740823807021064e-09,-0.0075789789883319,0.0003382425811954
75.0,-2.5737438319525537e-06,2.542983976087976e-06,-7.316541690743161e-05,-2.674176853685224e-05,-2.574829175122227e-06,2.543436971595316e-06,9.536554694325864e-10,1.2566909891636815e-09,15,23,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-3.1392203526910843e-08,1.5775712334547302e-09,5.118266146717543e-06,1.5775712334547302e-09,-0.0061333667744189,0.0003082295567754
90.0,-2.566113965947549e-06,2.5397242946151287e-06,-7.199856320971171e-05,-2.5417822361500444e-05,-2.566496665056133e-06,2.539503392448484e-06,8.916275774627075e-10,1.2325487765065154e-09,17,23,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-076.hdf5,-2.69932726076488e-08,1.521241671582699e-09,5.106000057504617e-06,1.521241671582699e-09,-0.0052865789862213,0.0002979363321719
105.0,-2.568092438074883e-06,2.545349189538749e-06,-7.553938600624967e-05,-2.881054550937277e-05,-2.5685846110104435e-06,2.5458102465437646e-06,9.724812383803883e-10,1.4643657012788124e-09,15,23,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,-2.2774364466678933e-08,1.7578642342580503e-09,5.114394857554208e-06,1.7578642342580503e-09,-0.0044529929934995,0.0003437125430487
120.0,-2.578244043988843e-06,2.5603744743463044e-06,-6.624961680827547e-05,-1.9619931776810385e-05,-2.577450015863802e-06,2.560667797182948e-06,8.536253861900261e-10,1.4047639969958927e-09,17,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,-1.678221868085405e-08,1.6437877561303183e-09,5.13811781304675e-06,1.6437877561303183e-09,-0.0032662191276035,0.0003199219216131
135.0,-2.591088144865167e-06,2.580386983565104e-06,-6.19845793780189e-05,-1.5102259488837395e-05,-2.5905714417286104e-06,2.580662912931826e-06,5.982619047539934e-10,1.2332368329255783e-09,17,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,-9.90852879678454e-09,1.370689750732888e-09,5.171234354660436e-06,1.370689750732888e-09,-0.0019160858157307,0.000265060945393
150.0,-2.606934002467546e-06,2.6032067290249774e-06,-6.433862516108735e-05,-1.8095411259124387e-05,-2.6066045027911184e-06,2.6032350380588194e-06,6.891016768614756e-10,1.0702331279872434e-09,15,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,-3.36946473229897e-09,1.272894366903498e-09,5.209839540849938e-06,1.272894366903498e-09,-0.0006467501937207,0.0002443251127294
165.0,-2.6190703401697543e-06,2.620380664282989e-06,-5.614462204951604e-05,-1.0051871234418787e-05,-2.618571457684152e-06,2.620819656383606e-06,7.066857721297464e-10,1.041095016742842e-09,19,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,2.248198699454276e-09,1.2582859827628195e-09,5.239391114067758e-06,1.2582859827628195e-09,0.0004290954140487,0.0002401588412103
180.0,-2.625750444480028e-06,2.6304829032929035e-06,-5.708914376531e-05,-1.0981913973286975e-05,-2.6258020060643675e-06,2.6308248840365134e-06,8.910189298613634e-10,8.354744190314702e-10,19,21,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,5.0228779721458895e-09,1.221446780759302e-09,5.2566268901008805e-06,1.221446780759302e-09,0.0009555325263059,0.0002323633318308
195.0,-2.624828109252068e-06,2.6302029043507e-06,-4.998662023789131e-05,-4.114073524363881e-06,-2.624767581065045e-06,2.6293464410225177e-06,8.18522290806348e-10,7.198133150958307e-10,19,19,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-077.hdf5,4.57885995747291e-09,1.0900045638143546e-09,5.2541140220875625e-06,1.0900045638143546e-09,0.0008714808887329,0.000207457427294
210.0,-2.6184824149062147e-06,2.617696803939865e-06,-4.88514201755058e-05,-2.722096621369652e-06,-2.617871724309471e-06,2.616570656760229e-06,9.734573018717702e-10,9.925292615236066e-10,21,19,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-078.hdf5,-1.3010675492420482e-09,1.390227842315087e-09,5.2344423810697e-06,1.390227842315087e-09,-0.000248558959011,0.0002655923561768
225.0,-2.60359465809823e-06,2.595456541750507e-06,-4.970416957866816e-05,-3.077114173027624e-06,-2.6045955012630496e-06,2.596607845810567e-06,8.013488379197997e-10,8.49373993445339e-10,21,19,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-078.hdf5,-7.98765545248243e-09,1.167731193715701e-09,5.201203347073617e-06,1.167731193715701e-09,-0.0015357321987759,0.0002245120009398
240.0,-2.588600165696984e-06,2.573304710785962e-06,-4.259588291940642e-05,4.192446202443381e-06,-2.5886387400054693e-06,2.57396506821898e-06,1.0607312655806962e-09,7.422011874123331e-10,21,17,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-078.hdf5,-1.4673671786489508e-08,1.2946093698010616e-09,5.162603808224449e-06,1.2946093698010616e-09,-0.0028423005776877,0.0002507677612391
255.0,-2.575926255225584e-06,2.556085137441165e-06,-4.322935027275108e-05,3.5748316107455048e-06,-2.5759715884938963e-06,2.556825195920174e-06,1.0946387580498838e-09,7.917290005700021e-10,21,17,-4.2,2024/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-078.hdf5,-1.91463925737222e-08,1.3509510801537435e-09,5.13279678441407e-06,1.3509510801537435e-09,-0.0037302066257251,0.0002632016297797
