VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.475,4.425922493327212e-07,-4.149651115735385e-07,4.707879624713612e-05,6.751307829011255e-05,4.432339023373755e-07,-4.156631370295353e-07,6.479831032625441e-10,6.088749457286411e-10,47,43,2023/11/Data_1117/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-067.hdf5,2.75707653078402e-08,8.891629781147057e-10,8.588970393669109e-07,8.891629781147057e-10,0.0321001983289667,0.0010357713745213
0.5,3.5682736005660325e-07,-3.353177634931649e-07,6.162903498430262e-05,8.468230556113545e-05,3.568986601774776e-07,-3.353840515551438e-07,3.4231193202925995e-10,4.0398377158887114e-10,45,41,2023/11/Data_1117/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-068.hdf5,2.1514608622333773e-08,5.29509533924342e-10,6.922827117326214e-07,5.29509533924342e-10,0.0310777782800436,0.0007652439832464
0.525,2.849712396164804e-07,-2.6948092666038175e-07,7.578155577386016e-05,9.894743121092949e-05,2.84630217972998e-07,-2.692726815052404e-07,1.0502122494165603e-09,7.520532637332253e-10,41,37,2023/11/Data_1117/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-073.hdf5,1.5357536467757595e-08,1.2917158667123303e-09,5.539028994782383e-07,1.2917158667123303e-09,0.027726044550812,0.002332922007103
0.55,2.2950207903457761e-07,-2.1776330611407698e-07,9.117295874418733e-05,0.0001142806811452,2.283698734926209e-07,-2.163629379987121e-07,1.238292494262082e-09,9.387234187892954e-10,41,36,2023/11/Data_1117/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-073.hdf5,1.2006935493908816e-08,1.5538886569922794e-09,4.44732811491333e-07,1.5538886569922794e-09,0.0269980878038786,0.0034952556363305
0.575,1.890518359941607e-07,-1.7944967922391478e-07,9.714959379398172e-05,0.0001361635048618,1.869185467659144e-07,-1.7845426672682804e-07,1.198928609675507e-09,1.0545737880953947e-09,39,27,2023/11/Data_1117/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-073.hdf5,8.46428003908636e-09,1.596732815982785e-09,3.653728134927425e-07,1.596732815982785e-09,0.023166146266256,0.0043713192637701
0.6,1.5277913137502166e-07,-1.4698366381049497e-07,0.0001089516493242,0.0001633780389071,1.5234235723102376e-07,-1.466595438826276e-07,2.9844001062400096e-10,2.7668322655777565e-10,35,29,2023/11/Data_1123/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-131.hdf5,5.682813348396161e-09,4.0696443063205806e-10,2.9900190111365136e-07,4.0696443063205806e-10,0.0190059438660094,0.0013613222040603
0.625,1.3291276155541176e-07,-1.293730438731441e-07,0.0001132750758827,0.0001650867010541,1.330220449823041e-07,-1.2868626469183176e-07,4.67182636639036e-10,3.510613599046677e-10,45,33,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-135.hdf5,4.335780290472336e-09,5.84383174291591e-10,2.617083096741359e-07,5.84383174291591e-10,0.0165672243876054,0.0022332625517174
0.65,1.235507893213302e-07,-1.199101859136898e-07,4.676428507602218e-05,9.468644978760706e-05,1.2272092169815225e-07,-1.1928876822747756e-07,4.2591207154741375e-10,4.043159077901116e-10,43,35,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-137.hdf5,3.4321534706746886e-09,5.87258414994584e-10,2.4200968992562984e-07,5.87258414994584e-10,0.0141818845011098,0.0024268345148877
0.675,1.175693493989459e-07,-1.144005346272326e-07,2.7136277762701363e-06,4.261104837119158e-05,1.1704641044358743e-07,-1.139417614013139e-07,3.3869356480380517e-10,3.672667280541429e-10,45,37,2023/11/Data_1124/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-139.hdf5,3.104649042273493e-09,4.995980187862089e-10,2.309881718449013e-07,4.995980187862089e-10,0.0134407273648545,0.0021630680901801
0.7,1.272679254695303e-07,-1.2407717995342457e-07,-1.932258313972257e-05,1.3802678485648846e-05,1.2539536137206317e-07,-1.2240907294692586e-07,1.02601388417569e-09,9.62312942141618e-10,51,49,2023/11/Data_1118/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-075.hdf5,2.9862884251373078e-09,1.4066807346141281e-09,2.478044343189891e-07,1.4066807346141281e-09,0.0120509886489487,0.0056769883005139
