VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,1.4466260191130595e-06,-1.4298477818499125e-06,0.0001174262432916,7.865842516940612e-05,1.4461536318255298e-06,-1.4283685361685648e-06,3.932004412743455e-10,1.1211668260464407e-09,19,21,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,1.7785095656964998e-08,1.1881168456197352e-09,2.8745221679940946e-06,1.1881168456197352e-09,0.006187148547675258,0.00041333464033333
-0.045,1.479154896535643e-06,-1.4550845332409317e-06,0.0001222052344065,8.574108506680136e-05,1.4793636416729254e-06,-1.4550224353796493e-06,4.22459727362246e-10,8.47834338542519e-10,19,21,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,2.4341206293276157e-08,9.472567164474549e-10,2.934386077052575e-06,9.472567164474549e-10,0.00829516145936922,0.00032282367801625655
-0.04,1.507030521785673e-06,-1.4768764947712704e-06,0.0001254282395024,8.888148725410023e-05,1.5067249616175316e-06,-1.477178586040212e-06,6.612325881716228e-10,1.0045444320150267e-09,19,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,2.9546375577319527e-08,1.2026379553101321e-09,2.9839035476577437e-06,1.2026379553101321e-09,0.00990192045601218,0.0004030615912332299
-0.035,1.5305332417829746e-06,-1.4994641853559944e-06,0.0001277844476925,9.24010846981252e-05,1.5305854971200568e-06,-1.4984055559867788e-06,4.0815938009141824e-10,9.321144214647731e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,3.2179941133277946e-08,1.017561484264818e-09,3.0289910531068356e-06,1.017561484264818e-09,0.010623980252523686,0.0003359596942857099
-0.03,1.5482995754007617e-06,-1.515947422735738e-06,0.0001343633338692,9.838833782327437e-05,1.5485841545640132e-06,-1.5156779735574309e-06,3.638337214215018e-10,8.49548294949442e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,3.2906181006582305e-08,9.241792479248401e-10,3.064262128121444e-06,9.241792479248401e-10,0.01073869650530046,0.00030161666846271443
-0.025,1.5664934004193892e-06,-1.534180089782301e-06,0.0001351899853503,9.869250155830454e-05,1.5668199514838024e-06,-1.534233814035936e-06,3.2922681241155286e-10,8.92815897776059e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,3.2586137447866466e-08,9.51583165746611e-10,3.1010537655197383e-06,9.51583165746611e-10,0.010508085287068543,0.00030687494416117497
-0.02,1.576488534291799e-06,-1.5461548306437486e-06,0.0001342827719603,9.720609972143156e-05,1.5763065972117692e-06,-1.5456199553934222e-06,4.761490848489102e-10,8.43450076647299e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,3.068664181834702e-08,9.685690387364183e-10,3.1219265526051914e-06,9.685690387364183e-10,0.00982939262063663,0.0003102622087299569
-0.015,1.582682233540683e-06,-1.5552585473652193e-06,0.000132181761356,9.252095054872346e-05,1.5827668166651462e-06,-1.5541963520866224e-06,3.3616137625565276e-10,9.355248396472651e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,2.8570464578523754e-08,9.940881230973116e-10,3.136963168751769e-06,9.940881230973116e-10,0.00910768250743991,0.0003169082002271348
-0.01,1.5868037105749693e-06,-1.561064607305837e-06,0.0001406876334786,0.0001010551526383,1.5867491540764358e-06,-1.5603265437178585e-06,6.060369662985624e-10,1.218764501021034e-09,15,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,2.6422610358577355e-08,1.3611273685696774e-09,3.1470756977942943e-06,1.3611273685696774e-09,0.00839592462840862,0.0004325206866385541
-0.005,1.5893682655993884e-06,-1.566639147271147e-06,0.000134820595262,9.612934554887645e-05,1.5897845196125387e-06,-1.5662702914229177e-06,5.303115988883981e-10,9.324485568685695e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,2.3514228189621045e-08,1.0727025231264477e-09,3.1560548110354566e-06,1.0727025231264477e-09,0.007450513250720878,0.0003398965987219607
0.0,1.588627675179846e-06,-1.5668957131087882e-06,0.0001275731272442,8.920337678643493e-05,1.588846963432622e-06,-1.5676983189033844e-06,3.4761515070121955e-10,8.30125516137215e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,2.1148644529237573e-08,8.999692581078029e-10,3.1565452823360064e-06,8.999692581078029e-10,0.006699933831960264,0.00028511850038346557
0.005,1.5905137493244152e-06,-1.5719551487193564e-06,0.0001309096889879,9.268106671702076e-05,1.5903809753438714e-06,-1.5720508082808342e-06,5.61344438088242e-10,9.43717291873707e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,1.83301670630372e-08,1.0980482253316781e-09,3.1624317836247056e-06,1.0980482253316781e-09,0.005796225283957774,0.0003472222471332475
0.01,1.5896908865514972e-06,-1.5720342356872947e-06,0.0001310033187147,9.20651977149934e-05,1.5891363019299016e-06,-1.5725433179496828e-06,7.363128441904383e-10,7.241074385043905e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,1.6592983980218753e-08,1.032709149285123e-09,3.1616796198795844e-06,1.032709149285123e-09,0.005248154770612309,0.0003266375772909356
0.015,1.5857782321518156e-06,-1.5724832827616134e-06,0.0001303814779999,9.176922017923613e-05,1.5860425213719223e-06,-1.5728047401687006e-06,7.072555348740305e-10,8.377021976254304e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,1.3237781203221709e-08,1.0963372489870196e-09,3.158847261540623e-06,1.0963372489870196e-09,0.0041906999950245835,0.00034707182243722597
0.02,1.5771762946636932e-06,-1.566771065257657e-06,0.0001305648319519,9.20466678063496e-05,1.5774250520889134e-06,-1.566964378101234e-06,3.507256063778299e-10,8.986002537678522e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,1.0460673987679494e-08,9.64619545230525e-10,3.1443894301901474e-06,9.64619545230525e-10,0.003326774313398871,0.00030677653152071024
0.025,1.565382950993295e-06,-1.5568312813786868e-06,0.0001338755355009,9.48417080564372e-05,1.5657700070204703e-06,-1.55708546304663e-06,5.489213453217397e-10,7.462771988407792e-10,17,23,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,8.684543973840302e-09,9.264147563912551e-10,3.1228554700671e-06,9.264147563912551e-10,0.002780962505976525,0.0002966574494386138
0.03,1.5506307018041349e-06,-1.543673049945237e-06,0.0001315998896542,9.29797613303363e-05,1.5506987825910838e-06,-1.5432479417284569e-06,3.9706664858716116e-10,5.493297646960482e-10,17,21,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,7.450840862626937e-09,6.778090540862197e-10,3.0939467243195404e-06,6.778090540862197e-10,0.002408199470294893,0.00021907649999491314
0.035,1.5329646143843083e-06,-1.52608178051522e-06,0.000127880532668,8.940647461536673e-05,1.5332811036584796e-06,-1.525346227902926e-06,4.2629054191542254e-10,8.249130529113374e-10,17,21,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,7.934875755553542e-09,9.285500368801067e-10,3.0586273315614058e-06,9.285500368801067e-10,0.002594260397033348,0.0003035849290794531
0.04,1.5128883931978424e-06,-1.5045293930854872e-06,0.0001205733502272,8.194349812570152e-05,1.5131321162791291e-06,-1.50345829678139e-06,4.5037364633235896e-10,1.073427869230567e-09,19,21,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,9.673819497739102e-09,1.1640806723554773e-09,3.016590413060519e-06,1.1640806723554773e-09,0.003206872055236829,0.00038589483445264426
0.045,1.4898651285049452e-06,-1.476435322286624e-06,0.0001169206099576,7.770919884884947e-05,1.4900159334038626e-06,-1.4771559217433118e-06,6.277041783372984e-10,1.247070540305099e-09,19,21,-5.0,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-260.hdf5,1.286001166055082e-08,1.3961366222540524e-09,2.9671718551471743e-06,1.3961366222540524e-09,0.004334097345336592,0.00047053214412397655
