VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,7.350544453882399e-07,-7.388126331464101e-07,9.682935802316208e-05,8.18454377955088e-05,7.340767199200723e-07,-7.383987648405137e-07,5.990940033941334e-10,7.011699169355524e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,-4.3220449204414064e-09,9.222542368122899e-10,1.472475484760586e-06,9.222542368122899e-10,-0.0029352236863516546,0.0006263317924182201
-0.045,7.544488758774437e-07,-7.550823138979456e-07,0.0001048488245526,8.658413075396067e-05,7.533789787832671e-07,-7.538467400416014e-07,6.120839963895151e-10,7.81132095576628e-10,21,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,-4.677612583343365e-10,9.923780375321162e-10,1.5072257188248685e-06,9.923780375321162e-10,-0.00031034585761914525,0.0006584137152967775
-0.04,7.650909784807466e-07,-7.642826354238405e-07,0.000101053710709,8.594554213955802e-05,7.641455604273926e-07,-7.633741449858502e-07,1.0375917822702503e-09,4.819912569432214e-10,21,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,7.714154415424174e-10,1.1440770421630098e-09,1.5275197054132428e-06,1.1440770421630098e-09,0.0005050117774642553,0.0007489770403612695
-0.035,7.733632806001527e-07,-7.722348827325528e-07,0.0001101606818391,9.397286445773538e-05,7.731609744315891e-07,-7.713250830005642e-07,5.56572005449784e-10,8.781722649365881e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.8358914310248837e-09,1.0396917447754653e-09,1.5444860574321532e-06,1.0396917447754653e-09,0.0011886746547114955,0.0006731640433314625
-0.03,7.822773535958165e-07,-7.793371886077551e-07,0.0001084565806131,9.193337456474982e-05,7.821591462315894e-07,-7.790724502796599e-07,3.6320387210048167e-10,6.396587282048376e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,3.0866959519295457e-09,7.355816346792607e-10,1.5612315965112494e-06,7.355816346792607e-10,0.001977090368160061,0.00047115564018438793
-0.025,7.892735720275302e-07,-7.864151981966957e-07,0.0001171196323403,9.921903964933858e-05,7.902702154873942e-07,-7.864188766200626e-07,7.317605803431787e-10,8.239222496583382e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,3.851338867331623e-09,1.1019625313168514e-09,1.5766890921074568e-06,1.1019625313168514e-09,0.0024426748980572897,0.0006989112973168749
-0.02,7.985520020963629e-07,-7.951137025163226e-07,0.0001101786086244,9.187292521419228e-05,7.985030579046122e-07,-7.9506900946606e-07,5.071346851540876e-10,5.439771581193722e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,3.434048438552147e-09,7.437047380795445e-10,1.593572067370672e-06,7.437047380795445e-10,0.0021549376453480294,0.00046669145380816664
-0.015,8.024811455328578e-07,-7.981195743018435e-07,0.0001085308372888,9.011952059333372e-05,8.022645356791565e-07,-7.981402174570138e-07,5.872229658323346e-10,4.197214418902799e-10,21,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,4.124318222142761e-09,7.218011501676752e-10,1.6004047531361704e-06,7.218011501676752e-10,0.0025770469714368836,0.0004510131237436708
-0.01,8.122984808315313e-07,-8.068550498085595e-07,0.0001060641279057,9.301102703915157e-05,8.115058345411205e-07,-8.062861569045211e-07,1.0386338430489556e-09,7.101168615550066e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,5.219677636599453e-09,1.2581836976337655e-09,1.6177919914456417e-06,1.2581836976337655e-09,0.0032264207414793816,0.0007777206544377553
-0.005,8.099194808457159e-07,-8.045785435229735e-07,0.0001019337442549,8.9226547078294e-05,8.097296926971398e-07,-8.040170398917652e-07,5.44472481488145e-10,5.342268964680276e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,5.712652805374545e-09,7.627900497566281e-10,1.613746732588905e-06,7.627900497566281e-10,0.00353999341409035,0.00047268559174092116
0.0,8.103893266913473e-07,-8.045010154901717e-07,9.238172251747769e-05,7.964457017057262e-05,8.10231385699577e-07,-8.039281126057076e-07,6.202118333441647e-10,8.70977490103328e-10,23,19,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,6.30327309386942e-09,1.069235477566482e-09,1.6141594983052846e-06,1.069235477566482e-09,0.0039049877663807466,0.0006624151027244786
0.005,8.130764453630439e-07,-8.060893448978233e-07,9.115010637181486e-05,7.867414947670961e-05,8.123281854594956e-07,-8.055427602584898e-07,1.3989167358997961e-09,7.695421625410076e-10,23,19,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,6.785425201005733e-09,1.5966099003541318e-09,1.6178709457179855e-06,1.5966099003541318e-09,0.004194046020150556,0.00098686730651775
0.01,8.105496886556107e-07,-8.026435783311224e-07,0.0001012869683074,8.821299560188181e-05,8.104462685977736e-07,-8.025390531353968e-07,6.09940509370634e-10,5.174680664637034e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,7.907215462376841e-09,7.998753807819017e-10,1.6129853217331704e-06,7.998753807819017e-10,0.004902224066044477,0.0004959034537819469
