angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.855522365408708e-06,3.915674112618159e-06,-6.521458128598915e-05,-1.779392150092669e-05,-3.853074137568524e-06,3.915298312439121e-06,1.8620421734505157e-09,1.6673372327630891e-09,15,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,6.222417487059638e-08,2.499442838607516e-09,7.768372450007644e-06,2.499442838607516e-09,0.008009937122741218,0.0003217563311233122
15.0,-3.850644723115576e-06,3.910899357400408e-06,-6.7388440252408e-05,-1.968181182244391e-05,-3.849179567586661e-06,3.9105017387705885e-06,1.845954390888069e-09,2.5033532204833782e-09,15,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,6.132217118392707e-08,3.11035769000021e-09,7.759681306357249e-06,3.11035769000021e-09,0.007902666200181166,0.00040084826810757535
30.0,-3.831004926736181e-06,3.891486900639001e-06,-7.380248617324474e-05,-2.7224964085879213e-05,-3.833120050156689e-06,3.8922582821197095e-06,1.879293104190244e-09,1.8944466086053716e-09,13,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,5.913823196302085e-08,2.6684584546725473e-09,7.725378332276397e-06,2.6684584546725473e-09,0.007655059651375661,0.00034542471895886964
45.0,-3.812094803928725e-06,3.865791313407698e-06,-7.400400007081838e-05,-2.736414824624617e-05,-3.8141512706713175e-06,3.86644554458427e-06,2.015086024654594e-09,2.470820162256914e-09,13,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,5.229427391295222e-08,3.1883418826991465e-09,7.680596815255588e-06,3.1883418826991465e-09,0.00680862114895586,0.0004151260455444396
60.0,-3.791451859645457e-06,3.835705924521104e-06,-7.847611783733944e-05,-3.211425081295446e-05,-3.792335091408782e-06,3.833372256696427e-06,1.7521319255532596e-09,2.759391156767215e-09,13,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,4.103716528764491e-08,3.268670347494235e-09,7.625707348105209e-06,3.268670347494235e-09,0.005381424098033554,0.0004286445214635052
75.0,-3.783636066941291e-06,3.8057904038528246e-06,-8.278552854537994e-05,-3.673169835136928e-05,-3.782570717104193e-06,3.805070586060063e-06,1.616590353774586e-09,1.6867586406678543e-09,11,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,2.2499868955870057e-08,2.3363473808029293e-09,7.587641303164256e-06,2.3363473808029293e-09,0.0029653311295154386,0.0003079161967998837
90.0,-3.785751659042173e-06,3.786428190036943e-06,-8.37915994737472e-05,-3.796653304937188e-05,-3.7860553266206016e-06,3.7857553907811054e-06,1.6528602772834372e-09,2.330857531163541e-09,11,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-138.hdf5,-2.999358394961525e-10,2.8574191024074992e-09,7.571810717401707e-06,2.8574191024074992e-09,-3.9612168170928144e-05,0.00037737592912648175
105.0,-3.801397324973123e-06,3.777579591422504e-06,-8.150214063109543e-05,-3.648676035063243e-05,-3.800383784622513e-06,3.777683153050837e-06,1.667910084992631e-09,2.690456264874806e-09,15,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-2.2700631571676165e-08,3.165514012735407e-09,7.57806693767335e-06,3.165514012735407e-09,-0.002995570210500913,0.00041772238771644747
120.0,-3.826602751970865e-06,3.78577690568182e-06,-7.526259015533191e-05,-2.9495703716758343e-05,-3.827628500030992e-06,3.78547981530577e-06,1.593368702803726e-09,1.2269102338673244e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-4.214868472522197e-08,2.0110028704710495e-09,7.613108315336762e-06,2.0110028704710495e-09,-0.005536330625995768,0.0002641540887793066
135.0,-3.856500414321412e-06,3.8048892836486815e-06,-7.335268749145192e-05,-2.7461599181539725e-05,-3.858143748816298e-06,3.8035933652484414e-06,1.4963750312637795e-09,1.824101930819007e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-5.4550383567856375e-08,2.3593401806876657e-09,7.66173711406474e-06,2.3593401806876657e-09,-0.0071198453765423,0.00030794582806406546
150.0,-3.885986080717974e-06,3.8256865609355005e-06,-6.848919587503324e-05,-2.2318704045002337e-05,-3.887081291134052e-06,3.82601884443195e-06,1.8525377697129974e-09,8.043852783295422e-10,17,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-6.106244670210188e-08,2.0196365673572317e-09,7.713100135566003e-06,2.0196365673572317e-09,-0.007916719040186685,0.0002618531875203233
165.0,-3.911110837432338e-06,3.845640463055409e-06,-6.939130279743654e-05,-2.2971195530062204e-05,-3.911814998820181e-06,3.843732683528368e-06,1.877537826032413e-09,2.248454762612734e-09,17,17,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-6.808231529181274e-08,2.929282695080556e-09,7.755547682348549e-06,2.929282695080556e-09,-0.008778530940731182,0.0003777161435873463
180.0,-3.925712646699774e-06,3.855681303641735e-06,-6.568859980567857e-05,-1.833715648022972e-05,-3.923029381373741e-06,3.855657633782401e-06,1.9870839318042638e-09,1.6876419124023112e-09,19,15,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-139.hdf5,-6.737174759133963e-08,2.6070362054508607e-09,7.778687015156142e-06,2.6070362054508607e-09,-0.008661069337289343,0.00033516375974550065
195.0,-3.920764385063159e-06,3.850839727242794e-06,-6.721907125701416e-05,-2.0951833722843343e-05,-3.920248364700916e-06,3.852231480136239e-06,1.6864985790580431e-09,2.2385996369984082e-09,17,23,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-6.801688456467692e-08,2.8027853631582645e-09,7.772479844837156e-06,2.8027853631582645e-09,-0.00875098886359376,0.0003606175551996268
210.0,-3.901564137117521e-06,3.837104645018187e-06,-5.628697177592245e-05,-1.0010523357852877e-05,-3.902888977317479e-06,3.839239762282675e-06,1.7325869429606431e-09,1.8886891715831123e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-6.364921503480377e-08,2.5630068867978116e-09,7.742128739600153e-06,2.5630068867978116e-09,-0.00822115172397546,0.000331057979652006
225.0,-3.875796885524337e-06,3.8162363848472894e-06,-5.50832377208261e-05,-9.204523331437388e-06,-3.875946866397131e-06,3.818490788647871e-06,2.0553467241249957e-09,2.2353924389446087e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-5.745607774926046e-08,3.0366806734429745e-09,7.694437655045001e-06,3.0366806734429745e-09,-0.007467222469674351,0.00039467021115379645
240.0,-3.841170300864728e-06,3.79616630786377e-06,-5.02142862242082e-05,-4.983763318807393e-06,-3.8404707976431375e-06,3.797844325564914e-06,1.8188457700725015e-09,1.686045963141268e-09,21,19,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-4.262647207822362e-08,2.4801110711287906e-09,7.638315123208051e-06,2.4801110711287906e-09,-0.005580611874562296,0.0003246985297354228
255.0,-3.8109573738581065e-06,3.787104000387336e-06,-5.692998177299942e-05,-1.2385422173264476e-05,-3.812225334310017e-06,3.785976907581391e-06,1.932228396329649e-09,2.3714194809569154e-09,19,21,0.0,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-140.hdf5,-2.6248426728625756e-08,3.0589437605560213e-09,7.5982022418914085e-06,3.0589437605560213e-09,-0.0034545575246614883,0.000402590233292883
