VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.799515445773944e-06,3.484913075065715e-06,-6.856065591429696e-05,-5.9129818099336446e-05,-3.799773833657588e-06,3.4850606406631483e-06,3.5989032172700607e-09,3.2965720098302733e-09,37,33,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-3.147131929944397e-07,4.88052163024335e-09,7.284834474320736e-06,4.88052163024335e-09,-0.04320114535255582,0.0006705813122155791
-0.055,-3.844377407598802e-06,3.567459643898548e-06,-7.939332070454674e-05,-6.927493262249976e-05,-3.8432993541811466e-06,3.567347647219785e-06,3.5252232356921318e-09,3.602485175757078e-09,41,37,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-2.7595170696136156e-07,5.040347041922134e-09,7.4106470014009316e-06,5.040347041922134e-09,-0.03723719493172389,0.0006806207777713616
-0.05,-3.887763105392287e-06,3.6421342141149577e-06,-8.73574584429165e-05,-7.693852273650579e-05,-3.88517881046743e-06,3.6434097673146216e-06,2.5207245472774287e-09,2.746525976697311e-09,43,39,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-2.4176904315280813e-07,3.727929342667336e-09,7.528588577782051e-06,3.727929342667336e-09,-0.032113461992903075,0.0004954250146515721
-0.045,-3.925857481955764e-06,3.711707325743536e-06,-9.347064669097192e-05,-8.282959806722402e-05,-3.922904113923234e-06,3.711295248606211e-06,2.5554437660334283e-09,1.6047203495154836e-09,45,41,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-2.1160886531702292e-07,3.0175188883432374e-09,7.634199362529445e-06,3.0175188883432374e-09,-0.027718540644308037,0.00039541512196588995
-0.04,-3.956904064994149e-06,3.7705763108231337e-06,-9.817257196666366e-05,-8.797450408481734e-05,-3.957646038977694e-06,3.771220226272189e-06,2.481559657017514e-09,2.331404766063937e-09,45,43,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-1.8642581270550524e-07,3.4049356109275434e-09,7.728866265249882e-06,3.4049356109275434e-09,-0.024120719172448755,0.000440676013953211
-0.035,-3.987328955481098e-06,3.8288913716892096e-06,-9.994717075100554e-05,-8.975126590410143e-05,-3.987743681046896e-06,3.826117796328025e-06,2.165355083156204e-09,2.264953745503569e-09,45,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-1.616258847188715e-07,3.1334929560190585e-09,7.813861477374921e-06,3.1334929560190585e-09,-0.020684508573240022,0.00040110299167172886
-0.03,-4.016835726080866e-06,3.874377799381715e-06,-9.900479276078004e-05,-8.88223916482311e-05,-4.014783140228315e-06,3.8732255513787504e-06,2.02672267116899e-09,2.8272518167474046e-09,45,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-1.4155758884956424e-07,3.4786430718215205e-09,7.888008691607065e-06,3.4786430718215205e-09,-0.01794592201707171,0.00044107496858746746
-0.025,-4.034433863515896e-06,3.914267255950867e-06,-0.0001032208799987,-9.277942990403036e-05,-4.035418277413923e-06,3.915259628272966e-06,2.0275819225729763e-09,2.6553846495920166e-09,45,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-1.2015864914095683e-07,3.3409813064477994e-09,7.950677905686888e-06,3.3409813064477994e-09,-0.01511300678587556,0.0004202613751095642
-0.02,-4.047472724599581e-06,3.9493044688619705e-06,-0.0001072041513058,-9.668935030879552e-05,-4.049598086800026e-06,3.948810341323224e-06,1.720948519570796e-09,2.1577089695068988e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-1.0078774547680233e-07,2.7599586598540633e-09,7.99840842812325e-06,2.7599586598540633e-09,-0.012600975104299745,0.00034509087593988464
-0.015,-4.055286383494586e-06,3.979309518076378e-06,-0.0001093540768516,-9.932974842254772e-05,-4.057452290731474e-06,3.978399592172268e-06,2.2300808404721235e-09,2.3331676758886296e-09,41,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-7.905269855920602e-08,3.2275272204665294e-09,8.035851882903742e-06,3.2275272204665294e-09,-0.009837500704485417,0.00040166038871624905
-0.01,-4.061826279819397e-06,4.001952347287203e-06,-0.0001080679292742,-9.772887890101446e-05,-4.062173567789622e-06,4.002808974315948e-06,2.459211052365002e-09,1.989106147309592e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-5.936459347367396e-08,3.1629515116958386e-09,8.064982542105571e-06,3.1629515116958386e-09,-0.0073607838781725755,0.00039219392976734996
-0.005,-4.06256480598586e-06,4.026731067572359e-06,-0.0001110918629886,-0.0001004453539134,-4.064395924507476e-06,4.028221992719776e-06,2.833895611877469e-09,2.9744646050930254e-09,41,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-3.61739317876993e-08,4.108333485243084e-09,8.092617917227253e-06,4.108333485243084e-09,-0.004469991312785648,0.0005076694057473105
0.0,-4.054519335749755e-06,4.04039689182064e-06,-0.0001100846929502,-9.927398140896233e-05,-4.054382613575538e-06,4.0425307312453215e-06,2.3087628039660302e-09,3.3815680613607592e-09,41,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,-1.1851882330216206e-08,4.094555926909809e-09,8.09691334482086e-06,4.094555926909809e-09,-0.0014637531396821963,0.0005056939773190889
0.005,-4.039815894172315e-06,4.0547639908224924e-06,-0.0001126747405009,-0.000101874248845,-4.041571609865632e-06,4.054736817539848e-06,2.454399211416496e-09,2.19663413578127e-09,41,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,1.3165207674216027e-08,3.2938240717259697e-09,8.09630842740548e-06,3.2938240717259697e-09,0.0016260753641317133,0.00040683089779640087
0.01,-4.024682989404089e-06,4.063440299090271e-06,-0.0001071424998413,-9.663658080405549e-05,-4.025262901417361e-06,4.064061360957011e-06,2.472081059143302e-09,3.0702395001246782e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,3.8798459539649745e-08,3.941770585802896e-09,8.089324262374372e-06,3.941770585802896e-09,0.004796254703265121,0.00048728618065646323
0.015,-4.001040865175864e-06,4.061698943959207e-06,-0.000116398341072,-0.000105513683541,-3.99983802051371e-06,4.060782070581084e-06,1.868265875231981e-09,2.821605256163213e-09,39,43,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,6.094405006737389e-08,3.3840617018849094e-09,8.060620091094794e-06,3.3840617018849094e-09,0.007560714855511378,0.0004198384722516848
0.02,-3.971828798862827e-06,4.054315322740413e-06,-0.0001101876733838,-9.945977015830144e-05,-3.972827039164829e-06,4.056200362722751e-06,1.544723923892511e-09,2.7970738981910372e-09,41,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,8.337332355792178e-08,3.1952768883130426e-09,8.02902740188758e-06,3.1952768883130426e-09,0.010383987920918188,0.0003979870777133608
0.025,-3.941676326649201e-06,4.046725042744694e-06,-0.0001079492926175,-9.678372458284451e-05,-3.940391036274847e-06,4.043323990967843e-06,2.43507194690162e-09,2.5462627988177462e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,1.0293295469299599e-07,3.5232129693264964e-09,7.98371502724269e-06,3.5232129693264964e-09,0.012892864329671048,0.0004413366170821581
0.03,-3.898982093700763e-06,4.024334201450699e-06,-0.0001081832731392,-9.650504562900985e-05,-3.899706587898029e-06,4.025141593721144e-06,1.7697298553651855e-09,2.7359041969067222e-09,41,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,1.2543500582311478e-07,3.258391556523356e-09,7.924848181619172e-06,3.258391556523356e-09,0.015828064203683764,0.00041121288569997847
0.035,-3.858032590619123e-06,4.001791846241869e-06,-0.000102201499711,-9.023123787755074e-05,-3.853920736886076e-06,4.000657134973856e-06,2.039199888054393e-09,2.4768307034887333e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,1.4673639808777962e-07,3.2082746947830918e-09,7.854577871859932e-06,3.2082746947830918e-09,0.018681640246190984,0.00040853048351349486
0.04,-3.7994476953988232e-06,3.971791934806307e-06,-0.000102856389365,-9.081746381898845e-05,-3.799605333143065e-06,3.970016561860812e-06,1.863046127077046e-09,2.489574101038783e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,1.704112287177471e-07,3.1094887162007593e-09,7.769621895003877e-06,3.1094887162007593e-09,0.021933014375812434,0.0004003073237214861
0.045,-3.7381015254211856e-06,3.934352662194898e-06,-0.0001034972494922,-9.130083295011364e-05,-3.7358033402620408e-06,3.932765274950592e-06,1.9706394314293572e-09,2.8170036884386182e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,1.9696193468855114e-07,3.4378670057727654e-09,7.668568615212632e-06,3.4378670057727654e-09,0.02568431536203837,0.00044845406547241356
0.05,-3.66471851653492e-06,3.891390251235843e-06,-0.0001007744547594,-8.846785088110482e-05,-3.663020851841824e-06,3.890701268303218e-06,2.335487866640349e-09,2.8053993534218064e-09,43,45,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,2.2768041646139416e-07,3.6503108233962455e-09,7.5537221201450425e-06,3.6503108233962455e-09,0.03014148691731625,0.0004834661057700585
0.055,-3.5832830102845205e-06,3.851819209055242e-06,-9.826217453823172e-05,-8.609059210859449e-05,-3.5828793504692447e-06,3.848041478557727e-06,2.9135608124040843e-09,2.9365070202585942e-09,45,43,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,2.651621280884826e-07,4.136654455910568e-09,7.430920829026972e-06,4.136654455910568e-09,0.035683616363223154,0.00055703557563402
0.06,-3.492447500617288e-06,3.7999554052837166e-06,-9.776887774488344e-05,-8.550392043076586e-05,-3.4910307915959407e-06,3.7982874425116703e-06,2.90154137899405e-09,3.1277707055857034e-09,45,43,0.5,2024/01/Data_0106/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-109.hdf5,3.0725665091572953e-07,4.266367536996172e-09,7.289318234107611e-06,4.266367536996172e-09,0.04215163079011122,0.0005858100680124713
