VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.36,-9.44288929211946e-07,9.663924587944794e-07,3.229680877034461e-05,3.131685919855059e-05,-9.445348500207992e-07,9.666686344312765e-07,8.41493215164523e-10,7.166639286210474e-10,35,33,2023/07/Data_0728/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-465.hdf5,2.2133784410477264e-08,1.1053135382118868e-09,1.911203484452076e-06,1.1053135382118868e-09,0.011581071607779542,0.0005783725635281976
0.36,-9.427020885008694e-07,9.652941449413753e-07,3.340006073237654e-05,3.251326190973157e-05,-9.433564692403948e-07,9.653358890757228e-07,1.0601136022185744e-09,1.2437691804025003e-09,35,35,2023/07/Data_0728/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-467.hdf5,2.1979419835327957e-08,1.634259044254597e-09,1.9086923583161174e-06,1.634259044254597e-09,0.011515433453465803,0.0008562759677701587
0.38,-8.821137463579296e-07,8.97724244126858e-07,1.577042428135811e-05,1.46743945285217e-05,-8.819668702622168e-07,8.977066544427824e-07,4.3029034714262485e-10,6.485942988117117e-10,37,37,2023/07/Data_0730/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-469.hdf5,1.573978418056563e-08,7.783471894310255e-10,1.7796735247049993e-06,7.783471894310255e-10,0.00884419752391084,0.00043737102289992033
0.4,-8.241849549424519e-07,8.336146998083272e-07,4.077001859368169e-06,3.2051955084941726e-06,-8.24347646232566e-07,8.338577359007328e-07,7.773242057174274e-10,4.946501531955573e-10,33,33,2023/07/Data_0730/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-469.hdf5,9.510089668166842e-09,9.213640403502937e-10,1.6582053821332987e-06,9.213640403502937e-10,0.005735169943744852,0.0005556484154415337
0.45,-7.009845689670374e-07,7.018056141823518e-07,-3.425990704840316e-05,-3.544499403963431e-05,-7.010990525852282e-07,7.017882012796283e-07,3.894087862781481e-10,4.0945282874246245e-10,31,31,2023/07/Data_0730/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-471.hdf5,6.891486944001194e-10,5.650582463744996e-10,1.4028872538648566e-06,5.650582463744996e-10,0.0004912359795853607,0.0004027824139079527
0.5,-6.133780272265079e-07,6.108813271654446e-07,-7.087979946042926e-05,-7.198508517868456e-05,-6.13494791194961e-07,6.109548186502181e-07,3.85072174230745e-10,3.486729624858256e-10,31,31,2023/07/Data_0730/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-471.hdf5,-2.539972544742902e-09,5.194741708068219e-10,1.2244496098451792e-06,5.194741708068219e-10,-0.002074378989809192,0.0004242520756182843
0.55,-5.365533782400565e-07,5.32010053747088e-07,-0.0001144934640069,-0.0001154166752237,-5.36314296723944e-07,5.31926817324812e-07,3.408026593845045e-10,2.25610402084932e-10,19,19,2023/07/Data_0731/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-473.hdf5,-4.3874793991319985e-09,4.0871323219645734e-10,1.068241114048756e-06,4.0871323219645734e-10,-0.004107199527738593,0.0003826071418863187
0.6,-4.670808114293693e-07,4.620616489797614e-07,-0.0001575487207472,-0.0001580109566381,-4.668791131188929e-07,4.617771678671935e-07,8.619526074885661e-10,9.845033765742175e-10,31,33,2023/07/Data_0731/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-475.hdf5,-5.101945251699414e-09,1.3085141176320466e-09,9.286562809860864e-07,1.3085141176320466e-09,-0.005493900548739038,0.0014090615566582437
0.65,-4.198075573633161e-07,4.151600315721132e-07,-0.0002110135074624,-0.0002110723691594,-4.209014902179728e-07,4.156638334593756e-07,2.3974640392235714e-09,2.350319623563269e-09,29,30,2023/07/Data_0731/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-477.hdf5,-5.237656758597182e-09,3.357355529621012e-09,8.365653236773484e-07,3.357355529621012e-09,-0.006260905885476641,0.00401334030510722
0.7,-3.747037205784689e-07,3.704859974781049e-07,-0.0002795102364413,-0.0002809761601816,-3.74177739609209e-07,3.696121277027765e-07,6.285465911911787e-10,5.722468961693523e-10,29,29,2023/08/Data_0801/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-480.hdf5,-4.565611906432517e-09,8.500219570537624e-10,7.437898673119855e-07,8.500219570537624e-10,-0.006138308824953988,0.001142846935914224
0.75,-3.3153973117236336e-07,3.2699946819066413e-07,-0.0003265559709678,-0.0003257984485669,-3.321279703012207e-07,3.29355238816257e-07,2.1778992090446714e-09,2.433382957868553e-09,31,33,2023/08/Data_0801/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-482.hdf5,-2.772731484963709e-09,3.265669546111871e-09,6.614832091174777e-07,3.265669546111871e-09,-0.004191688385655273,0.004936932926325466
0.8,-2.980629063837522e-07,2.94177606073505e-07,-0.0003865522510063,-0.000386489870743,-3.002449185343723e-07,2.973177030055308e-07,2.971382254539521e-09,3.0254227806356003e-09,53,53,2023/08/Data_0801/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-485.hdf5,-2.9272155288414697e-09,4.240553678964719e-09,5.975626215399031e-07,4.240553678964719e-09,-0.004898592086128334,0.007096502365439214
0.85,-2.6713407066288415e-07,2.64767314785417e-07,-0.0004543420377192,-0.000454948966904,-2.6743803252605815e-07,2.650558238969572e-07,2.025748764387639e-09,2.081051156523337e-09,53,53,2023/08/Data_0801/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-487.hdf5,-2.3822086291009664e-09,2.904209354107442e-09,5.324938564230154e-07,2.904209354107442e-09,-0.004473682842283404,0.005454031781059479
0.9,-2.438128868176632e-07,2.414613585916409e-07,-0.0005252131448773,-0.0005253300866425,-2.432301119465636e-07,2.4063126986636785e-07,6.88878507860408e-10,8.76488130583934e-10,49,49,2023/08/Data_0801/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-489.hdf5,-2.598842080195721e-09,1.1148026918008862e-09,4.838613818129314e-07,1.1148026918008862e-09,-0.005371046704447422,0.0023040044392496975
