in-plane magnitude,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.4,9.24624074298872e-07,-9.068690688106116e-07,-0.000100643051517,-9.418745271998829e-05,9.248824745672322e-07,-9.069587429704948e-07,2.166591123995052e-10,2.6586237407716136e-10,35,37,2023/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-263.hdf5,1.7923731596737437e-08,3.429635154585483e-10,1.8318412175377269e-06,3.429635154585483e-10,0.009784544329027412,0.00018723234796979776
0.45,8.007538368116054e-07,-7.882600613379753e-07,-9.960266352813315e-05,-9.235779277782404e-05,8.012923501599787e-07,-7.88733291852305e-07,5.14859963550743e-10,4.765703754462952e-10,37,37,2023/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-265.hdf5,1.2559058307673732e-08,7.015697433758779e-10,1.5900256420122837e-06,7.015697433758779e-10,0.007898651427897354,0.0004412454802658313
0.5,6.88430171029508e-07,-6.811595545566772e-07,-9.571301760326062e-05,-8.842789143906184e-05,6.886963268657496e-07,-6.812564268840249e-07,3.0541886428207834e-10,3.1133103913032286e-10,37,37,2023/06/Data_0629/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-267.hdf5,7.439899981724656e-09,4.361280758966582e-10,1.3699527537497745e-06,4.361280758966582e-10,0.005430771215547754,0.0003183573346440785
0.55,5.811666861238599e-07,-5.791384081372119e-07,-8.92444809124092e-05,-8.165343851236334e-05,5.814487205829728e-07,-5.793359227325674e-07,2.664604779077198e-10,2.9520714100298745e-10,37,37,2023/06/Data_0630/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-269.hdf5,2.112797850405401e-09,3.9767881812584405e-10,1.1607846433155404e-06,3.9767881812584405e-10,0.0018201462799943946,0.00034259539799815603
0.6,4.881344718266828e-07,-4.884079233013367e-07,-8.178308800411716e-05,-7.447761985491368e-05,4.881811435121402e-07,-4.884120623944684e-07,1.6661972897384846e-10,1.7819935135855248e-10,35,35,2023/06/Data_0630/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-271.hdf5,-2.3091888232821878e-10,2.4396135535762124e-10,9.765932059066085e-07,2.4396135535762124e-10,-0.00023645350073252662,0.00024980858017654723
0.65,4.144695947762178e-07,-4.143312475710184e-07,-8.190785536375536e-05,-7.463064051593505e-05,4.144682476959571e-07,-4.143668479608002e-07,1.9022936084556896e-10,1.700300256294024e-10,35,35,2023/06/Data_0630/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-273.hdf5,1.013997351568887e-10,2.5514195919771587e-10,8.288350956567573e-07,2.5514195919771587e-10,0.00012234005978781697,0.00030783199510261
0.7,3.5589281439860575e-07,-3.55392561641816e-07,-7.719801021193369e-05,-7.030284415568821e-05,3.559092416601409e-07,-3.554579100439319e-07,1.7285764550767656e-10,1.6377844279341502e-10,35,35,2023/06/Data_0630/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-275.hdf5,4.513316162089962e-10,2.3812421954579397e-10,7.113671517040729e-07,2.3812421954579397e-10,0.0006344566446845849,0.0003347417250038311
0.75,3.051860277372083e-07,-3.047571947495891e-07,-7.46898408280086e-05,-6.857486462849528e-05,3.052045630576095e-07,-3.045270671200475e-07,1.5840745654279951e-10,1.7096678804887186e-10,35,33,2023/07/Data_0701/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-277.hdf5,6.774959375620244e-10,2.330720165616344e-10,6.097316301776569e-07,2.330720165616344e-10,0.001111137923687218,0.00038225368162750367
0.8,2.58872599841468e-07,-2.586063682383999e-07,-6.848879967067518e-05,-6.207703136846475e-05,2.58954522870374e-07,-2.578812422563276e-07,2.5118078933883806e-10,2.7260525382487916e-10,33,33,2023/07/Data_0701/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-279.hdf5,1.0732806140464061e-09,3.7068236179485064e-10,5.168357651267016e-07,3.7068236179485064e-10,0.0020766376602890336,0.0007172165435820176
0.85,2.181177633050853e-07,-2.168237519873477e-07,-6.369106938866254e-05,-5.819355011991677e-05,2.179136366657015e-07,-2.1659245435424415e-07,3.87218861479719e-10,3.8135755656076355e-10,33,33,2023/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-281.hdf5,1.3211823114573375e-09,5.434814004468284e-10,4.345060910199456e-07,5.434814004468284e-10,0.003040653143333472,0.001250808502047344
0.9,1.8720486909136456e-07,-1.860812403792717e-07,-5.773613719619499e-05,-5.3065144369992856e-05,1.8700347514041024e-07,-1.8558486447458977e-07,4.109470341046791e-10,4.5328851439750635e-10,31,27,2023/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-283.hdf5,1.4186106658204745e-09,6.118398010297554e-10,3.72588339615e-07,6.118398010297554e-10,0.003807447831798338,0.0016421454210359494
0.95,1.622679330451672e-07,-1.6052742934607385e-07,-5.259765913063658e-05,-4.6191134840688445e-05,1.6148520266649085e-07,-1.599485909098039e-07,4.880382890312821e-10,6.279286285775476e-10,27,27,2023/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-285.hdf5,1.5366117566869449e-09,7.952834300724873e-10,3.2143379357629473e-07,7.952834300724873e-10,0.004780492242556378,0.002474203189777856
1.0,1.3993363306520714e-07,-1.3810181722821672e-07,-4.821494974103242e-05,-3.563091000336906e-05,1.3916924660319356e-07,-1.3723525074978997e-07,5.97071310257727e-10,5.966585547196942e-10,23,25,2023/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-287.hdf5,1.9339958534035923e-09,8.440945328889846e-10,2.7640449735298353e-07,8.440945328889846e-10,0.006996976792797169,0.0030539126648685385
