VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.675,-3.715707443757457e-07,3.730018440440281e-07,-0.0003225503453874,-0.000313126484594,-3.706808503511484e-07,3.720451003307918e-07,7.821175727937777e-10,6.363904677044854e-10,35,37,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-187.hdf5,1.3642499796433814e-09,1.0083157863774443e-09,7.427259506819402e-07,1.0083157863774443e-09,0.0018368147476074904,0.0013575902207573205
0.7,-3.464111194032665e-07,3.4741762758811895e-07,-0.000354154901965,-0.0003502724178646,-3.456723301407906e-07,3.465885132095572e-07,6.14549801518525e-10,5.660922393608164e-10,29,23,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-188.hdf5,9.1618306876659e-10,8.355428666507795e-10,6.922608433503478e-07,8.355428666507795e-10,0.0013234651036053426,0.0012069779858677903
0.725,-3.233666522912773e-07,3.234555608735412e-07,-0.0003910329168589,-0.000385687512891,-3.2158607270507653e-07,3.225632258783464e-07,9.341055514209654e-10,7.58512765717349e-10,39,43,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-188.hdf5,9.77153173269849e-10,1.2032850023795893e-09,6.44149298583423e-07,1.2032850023795893e-09,0.0015169669134449879,0.0018680240582701368
0.75,-3.010836192251565e-07,3.022311507355282e-07,-0.0004267560265911,-0.0004204118825935,-3.002290048808674e-07,3.007895813805097e-07,9.62345821974089e-10,6.201761541732256e-10,37,35,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-188.hdf5,5.605764996423137e-10,1.1448702735576976e-09,6.010185862613771e-07,1.1448702735576976e-09,0.0009327107554682585,0.001904884137891325
0.775,-2.821689556552892e-07,2.820901469961852e-07,-0.0004744018099502,-0.0004723750328259,-2.807822989331377e-07,2.815649741358829e-07,1.2345126111784302e-09,8.639019548363092e-10,61,61,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-189.hdf5,7.82675202745224e-10,1.5067673923763357e-09,5.623472730690206e-07,1.5067673923763357e-09,0.0013918004767299033,0.002679427684495423
0.8,-2.660349855192844e-07,2.665300940393116e-07,-0.0005183449684473,-0.000513650338296,-2.649068494697687e-07,2.6584421127325535e-07,1.1934551616697527e-09,9.439775560044682e-10,55,53,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-190.hdf5,9.37361803486629e-10,1.5216533275212013e-09,5.307510607430241e-07,1.5216533275212013e-09,0.0017661044373126094,0.0028669856985353744
0.85,-2.41983449416814e-07,2.425231608534178e-07,-0.0006207572155243,-0.0006194071609017,-2.398916318873921e-07,2.408371275367045e-07,1.4026432443701168e-09,9.907380971240223e-10,81,81,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-192.hdf5,9.454956493124106e-10,1.7172565469579832e-09,4.807287594240966e-07,1.7172565469579832e-09,0.001966796516283102,0.0035722012355448034
0.9,-2.207222167619343e-07,2.22761134711714e-07,-0.0007043268329027,-0.00070494615354,-2.1987820577792722e-07,2.210595300980931e-07,1.2848228813801671e-09,9.478412171248041e-10,109,105,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-192.hdf5,1.1813243201658808e-09,1.5966129178353359e-09,4.409377358760203e-07,1.5966129178353359e-09,0.002679118215679406,0.003620961686658236
0.95,-2.0384963929265042e-07,2.036973751909398e-07,-0.0007872768565992,-0.0007838435170429,-2.0123901964436066e-07,2.022038710461003e-07,1.285207140239227e-09,9.91280939827402e-10,101,99,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-193.hdf5,9.648514017396515e-10,1.6230820358155004e-09,4.03442890690461e-07,1.6230820358155004e-09,0.002391543943402705,0.004023089053882381
1.0,-1.8698044055168106e-07,1.8716214319795682e-07,-0.0008730688135331,-0.0008685664452714,-1.8490206331089893e-07,1.862606851779797e-07,1.371264430518515e-09,8.628935005606901e-10,83,81,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-193.hdf5,1.3586218670807686e-09,1.6201701551735698e-09,3.7116274848887863e-07,1.6201701551735698e-09,0.0036604478025129127,0.004365149832424455
