in-plane angle-from-z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,sigma,delta_err,sigma_err,eta,eta_err
0.0,2.56089216538581e-06,-2.310720295097174e-06,-1.489354279543292e-06,2.2141828561118743e-05,2.558029391445504e-06,-2.3087979273473475e-06,2.744455717610744e-09,1.788286661797606e-09,43,45,2023/06/Data_0616/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-165.hdf5,2.492314640981566e-07,4.866827318792852e-06,3.275668843257744e-09,3.275668843257744e-09,0.0512102541908092,0.0006739423901189
15.0,2.4844649107719457e-06,-2.2450689643532707e-06,-2.60351009749866e-05,-3.107087305520165e-06,2.4807956378459883e-06,-2.2449471390794634e-06,1.8206573630245123e-09,2.247352353659778e-09,41,45,2023/06/Data_0616/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-168.hdf5,2.358484987665249e-07,4.725742776925452e-06,2.892297674001677e-09,2.892297674001677e-09,0.0499071807120164,0.0006127920058527
30.0,2.298939580862229e-06,-2.1135333890866448e-06,-2.3305615930855253e-05,-5.129734122503017e-06,2.2980863635300248e-06,-2.111097481414535e-06,1.958535327195944e-09,1.3987623503612603e-09,41,45,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-169.hdf5,1.8698888211548974e-07,4.40918384494456e-06,2.406739857288834e-09,2.406739857288834e-09,0.0424089556460399,0.0005463376565944
45.0,2.0924132495422965e-06,-1.970221832691291e-06,-1.0249945678920214e-05,4.106534239929588e-06,2.0912258371686858e-06,-1.9693188930178e-06,1.2876138497979244e-09,1.4937300323908703e-09,45,43,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-171.hdf5,1.2190694415088562e-07,4.060544730186486e-06,1.972100107970653e-09,1.972100107970653e-09,0.0300223128302509,0.0004858926091263
60.0,1.9259580376212707e-06,-1.8537595063668665e-06,-6.361071785184416e-06,5.235122989507127e-06,1.924579050839557e-06,-1.8539259040352163e-06,8.23960416809275e-10,1.36025308358933e-09,37,35,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-172.hdf5,7.065314680434048e-08,3.778504954874773e-06,1.590345629063945e-09,1.590345629063945e-09,0.0186987042886336,0.0004209664005237
75.0,1.8181447747237672e-06,-1.788315400527488e-06,1.2270776475869703e-06,1.116307832457192e-05,1.8176452712077587e-06,-1.7874188789676506e-06,7.355798896102989e-10,1.0117633741817683e-09,37,35,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-173.hdf5,3.022639224010818e-08,3.605064150175409e-06,1.2508968380065463e-09,1.2508968380065463e-09,0.0083844256248914,0.0003469954356614
90.0,1.7728870514095802e-06,-1.7777829567488395e-06,1.242821660951761e-05,2.1727545732535948e-05,1.7725867175157876e-06,-1.7774877304639097e-06,4.939285447995565e-10,1.0025491290862964e-09,35,33,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-174.hdf5,-4.90101294812211e-09,3.550074447979697e-06,1.117618075909431e-09,1.117618075909431e-09,-0.0013805380760144,0.0003148156911387
105.0,1.78397832946715e-06,-1.8240156161951576e-06,1.6485045971959606e-05,2.6478414681109424e-05,1.782847093295411e-06,-1.822577965614916e-06,6.191672583838587e-10,1.042170220171503e-09,33,31,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-175.hdf5,-3.9730872319505055e-08,3.605425058910327e-06,1.2122239321457494e-09,1.2122239321457494e-09,-0.0110197470950936,0.0003362426102898
120.0,1.841040714724815e-06,-1.920835299078377e-06,1.1415096043581394e-05,2.274820948539597e-05,1.8406166776978773e-06,-1.9212965025252366e-06,8.197598226275867e-10,1.415282594545775e-09,35,33,2023/06/Data_0617/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-176.hdf5,-8.067982482735935e-08,3.761913180223114e-06,1.635552197032743e-09,1.635552197032743e-09,-0.0214464877210628,0.0004348660410371
135.0,1.9517386742708657e-06,-2.0866362344260813e-06,1.0599702266380923e-05,2.418121682673208e-05,1.9520576085926925e-06,-2.084980612681177e-06,9.262000908557675e-10,2.350978322870111e-09,47,43,2023/06/Data_0618/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-177.hdf5,-1.329230040884845e-07,4.03703822127387e-06,2.5268450057149117e-09,2.5268450057149117e-09,-0.0329258720881124,0.0006262547414572
