VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,3.478957729167174e-06,-3.620193583686072e-06,9.69895186448655e-05,5.2454051735293976e-05,3.4787318079803387e-06,-3.6206093054112094e-06,2.5937089801932064e-09,2.995912926051756e-09,19,19,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-1.418774974308707e-07,3.962678454583323e-09,7.099341113391548e-06,3.962678454583323e-09,-0.019984600706570637,0.0005582869773400254
-0.045,3.5594178863426253e-06,-3.6800101275895526e-06,0.0001010437197969,5.778555318573815e-05,3.5599684673810347e-06,-3.677375015521704e-06,2.516008799901078e-09,1.8676474742375317e-09,19,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-1.1740654814066926e-07,3.1334337984398993e-09,7.237343482902738e-06,3.1334337984398993e-09,-0.016222326385092353,0.00043301054896849415
-0.04,3.629934432835066e-06,-3.729406364710536e-06,0.0001049586003969,6.011361024031839e-05,3.633127579007776e-06,-3.724147373982747e-06,2.148829573201001e-09,1.8636570462013964e-09,19,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-9.1019794974971e-08,2.8444131416725154e-09,7.357274952990523e-06,2.8444131416725154e-09,-0.012371400492239866,0.00038664190511304155
-0.035,3.690103277638501e-06,-3.770762774355651e-06,0.000108236200404,6.403459056219771e-05,3.6922290504886975e-06,-3.768399303064056e-06,2.535818525162014e-09,2.7679344058162486e-09,17,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-7.617025257535845e-08,3.7539094911113936e-09,7.460628353552753e-06,3.7539094911113936e-09,-0.010209629667330387,0.0005031888676628839
-0.03,3.741226871764063e-06,-3.811099849724696e-06,0.0001128912936003,6.812388895047265e-05,3.745048430314248e-06,-3.808564505157026e-06,2.657180814678094e-09,3.153928998785633e-09,17,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-6.351607484277828e-08,4.124060864157352e-09,7.553612935471274e-06,4.124060864157352e-09,-0.008408701291075021,0.0005459912620976017
-0.025,3.79060388845609e-06,-3.841282566166593e-06,0.0001147889092328,6.943684180588707e-05,3.789292505646409e-06,-3.838081629427987e-06,2.019972796106728e-09,3.431449567152536e-09,17,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-4.8789123781577944e-08,3.981850854680843e-09,7.627374135074396e-06,3.981850854680843e-09,-0.006396581958294362,0.0005220580824481434
-0.02,3.821093899485465e-06,-3.861525771849655e-06,0.0001188344787574,7.322354479207109e-05,3.823358389135664e-06,-3.861640561922015e-06,2.2857751666938403e-09,2.4036496729628713e-09,15,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-3.828217278635176e-08,3.3169714896285696e-09,7.68499895105768e-06,3.3169714896285696e-09,-0.004981415486215911,0.0004316217432159404
-0.015,3.851087215752602e-06,-3.8815181921419584e-06,0.0001217896090262,7.590794327666864e-05,3.846361935695517e-06,-3.878404407834057e-06,2.5633491343475847e-09,2.8392165810871342e-09,15,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-3.204247213853963e-08,3.825167915122241e-09,7.724766343529575e-06,3.825167915122241e-09,-0.004148018297715771,0.0004951866053801158
-0.01,3.871281411943158e-06,-3.891542800291575e-06,0.0001185385054957,7.33926667178501e-05,3.86753181919697e-06,-3.887298365349523e-06,3.222759694107538e-09,3.942228470575265e-09,15,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-1.9766546152552952e-08,5.091890155941927e-09,7.754830184546493e-06,5.091890155941927e-09,-0.002548933462391338,0.0006566109864306896
-0.005,3.881368049051139e-06,-3.891474595346369e-06,0.0001156501813118,6.998449593144706e-05,3.88026543253094e-06,-3.887248064448323e-06,1.890437496953837e-09,3.344076358464152e-09,17,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,-6.982631917383575e-09,3.841432105495026e-09,7.767513496979264e-06,3.841432105495026e-09,-0.0008989533034090094,0.0004945512690968604
0.0,3.88213689035363e-06,-3.881676014549372e-06,0.0001150056700621,6.980133528247635e-05,3.886866323201325e-06,-3.884222561551624e-06,2.689805337227452e-09,4.4531601553360545e-09,17,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,2.6437616497009656e-09,5.202469425306594e-09,7.771088884752949e-06,5.202469425306594e-09,0.0003402047884033453,0.0006694647048213575
0.005,3.891630432360203e-06,-3.87176270781055e-06,0.0001113061059815,6.65598647833307e-05,3.892635101432523e-06,-3.873391128430368e-06,1.9563124469811913e-09,3.201202765344631e-09,17,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,1.9243973002154764e-08,3.751647309524663e-09,7.766026229862891e-06,3.751647309524663e-09,0.0024779690967505932,0.0004830860361066619
0.01,3.89160360487919e-06,-3.861559043152448e-06,0.0001168623141713,7.173525167128237e-05,3.890658036853815e-06,-3.861416121873166e-06,3.3498829061089874e-09,2.622140960769291e-09,17,21,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,2.924191498064887e-08,4.254096696454524e-09,7.75207415872698e-06,4.254096696454524e-09,0.0037721407692842403,0.0005487727381228014
0.015,3.88170337067647e-06,-3.841153408628128e-06,0.0001151008553506,6.98584798316122e-05,3.8790501805980256e-06,-3.842327427808311e-06,1.7215702721611343e-09,3.199899315094523e-09,17,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,3.67227527897146e-08,3.6336152560131293e-09,7.721377608406336e-06,3.6336152560131293e-09,0.004755984573236542,0.00047059689800738405
0.02,3.861653689360091e-06,-3.812063274417367e-06,0.0001122342375483,6.744591288209777e-05,3.862656856391226e-06,-3.81469814969564e-06,2.4652077040066277e-09,2.891613812050146e-09,17,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,4.7958706695586135e-08,3.799826241018503e-09,7.677355006086866e-06,3.799826241018503e-09,0.006246774658402908,0.0004949491558043412
0.025,3.841274855888602e-06,-3.7808703133804354e-06,0.0001161239142467,7.080450555057892e-05,3.840424213403883e-06,-3.781897053435521e-06,2.2922059804024087e-09,3.2242875691847324e-09,17,23,-1.0,2024/01/Data_0116/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-231.hdf5,5.8527159968362264e-08,3.9560382436715346e-09,7.622321266839404e-06,3.9560382436715346e-09,0.007678390600378164,0.00051902231917022
