VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate 15 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,1.0787839601252463e-07,-1.1287928114675803e-07,8.423574832693854e-05,8.392427312174369e-05,1.0732351745597925e-07,-1.124427104426668e-07,3.2130621736815207e-10,2.8109292298030366e-10,43,43,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-5.11919298668756e-09,4.26908557736948e-10,2.1976622789864604e-07,4.26908557736948e-10,-0.0232938110447456,0.0019430845528609318
-0.045,1.0982310206250463e-07,-1.1487437647857737e-07,9.849453252804442e-05,9.899566687682902e-05,1.0933863572082677e-07,-1.1451082985046409e-07,3.2467937982825284e-10,2.9376635159445886e-10,39,40,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-5.1721941296373244e-09,4.378531363537072e-10,2.2384946557129085e-07,4.378531363537072e-10,-0.023105680044565934,0.0019565380623264364
-0.04,1.1042533068442297e-07,-1.155686934649447e-07,9.958275495541904e-05,0.0001003680833168,1.101842575084399e-07,-1.1526168712227466e-07,3.1331249902920723e-10,2.404026437864797e-10,39,43,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-5.0774296138347655e-09,3.9491537471647774e-10,2.2544594463071455e-07,3.9491537471647774e-10,-0.02252171633493655,0.001752151801515833
-0.035,1.1545873743197841e-07,-1.2026071963863058e-07,0.0001056438627259,0.000103386593688,1.1505396049220089e-07,-1.200892578943423e-07,2.4744454370377216e-10,2.5746532691019087e-10,37,39,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-5.035297402141409e-09,3.5709550090940583e-10,2.3514321838654317e-07,3.5709550090940583e-10,-0.02141374706313695,0.0015189779522077893
-0.03,1.169670666801683e-07,-1.2138104398295078e-07,0.0001047766507055,0.000102799882615,1.163032061835746e-07,-1.2092649233444237e-07,2.55698746719919e-10,2.6739911040393033e-10,37,39,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-4.623286150867771e-09,3.699785579178212e-10,2.3722969851801698e-07,3.699785579178212e-10,-0.01948864825841628,0.00155987557147585
-0.025,1.1752455855425425e-07,-1.2156915835301648e-07,9.714310280998726e-05,9.810413932070753e-05,1.1702082801206797e-07,-1.2148546583678562e-07,2.0450104462679616e-10,2.3122804850689982e-10,39,39,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-4.464637824717653e-09,3.0868606652999435e-10,2.385062938488536e-07,3.0868606652999435e-10,-0.018719161463919217,0.0012944737838612096
-0.02,1.206117303684269e-07,-1.245219284613225e-07,0.0001011042261533,0.0001043310257113,1.2041959161304556e-07,-1.244312487474452e-07,1.7958299301752295e-10,1.742268552054398e-10,24,24,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-4.0116571343996405e-09,2.50210008704506e-10,2.4485084036049077e-07,2.50210008704506e-10,-0.016384085627369416,0.0010220246295767493
-0.015,1.2297985155153073e-07,-1.2601049140172378e-07,0.0001012847504365,0.000102669061056,1.2268701729581146e-07,-1.2592917049332601e-07,1.7713984052699802e-10,2.3199806500934023e-10,41,40,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-3.2421531975145533e-09,2.918931744149019e-10,2.486161877891375e-07,2.918931744149019e-10,-0.01304079684571613,0.0011741713038881509
-0.01,1.2334926832428214e-07,-1.2603789518940342e-07,0.0001049688032641,0.0001048935399013,1.2324579395515576e-07,-1.2575141647006096e-07,9.550228968680008e-11,2.1564237365359054e-10,38,39,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-2.5056225149052022e-09,2.358438480231703e-10,2.489972104252167e-07,2.358438480231703e-10,-0.010062853758989142,0.0009472226143140747
-0.005,1.2357254177422686e-07,-1.2537047368140853e-07,0.0001025739175641,0.0001001792894197,1.234482490492868e-07,-1.252326571841313e-07,1.5847843442111935e-10,1.7607719225462758e-10,37,35,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-1.7844081348445042e-09,2.368936297346176e-10,2.4868090623341807e-07,2.368936297346176e-10,-0.007175493132430579,0.0009526253213346021
0.0,1.241985773778902e-07,-1.2521654959038165e-07,9.856720630909622e-05,9.733413046202484e-05,1.240803958114929e-07,-1.2517448674018545e-07,1.3443043015933538e-10,1.8237279685881988e-10,41,43,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-1.0940909286925667e-09,2.2656429018477809e-10,2.4925488255167834e-07,2.2656429018477809e-10,-0.004389446326957015,0.0009089750639547088
0.005,1.2477084909011306e-07,-1.2545125420408308e-07,8.943817790375211e-05,8.934021348179413e-05,1.246110893615637e-07,-1.2494762600939826e-07,1.362350125133895e-10,3.0172905029425064e-10,42,45,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,-3.365366478345639e-10,3.310595088892537e-10,2.4955871537096196e-07,3.310595088892537e-10,-0.001348526928159218,0.00132658083856932
0.01,1.2506098793090378e-07,-1.25001938346821e-07,9.451965267467777e-05,9.165794874588283e-05,1.249228040584791e-07,-1.2476211915587206e-07,1.4219421245293203e-10,2.82522545313754e-10,41,43,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,1.606849026070328e-10,3.1628813235034876e-10,2.496849232143512e-07,3.1628813235034876e-10,0.0006435506819492139,0.0012667492845587667
0.015,1.2633180566847152e-07,-1.2587422922038152e-07,0.0001009418273942,9.894781865099114e-05,1.2602297488558798e-07,-1.251908845566003e-07,2.2709172414287775e-10,2.9177396361005667e-10,37,39,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,8.320903289876755e-10,3.6973327820863994e-10,2.5121385944218826e-07,3.6973327820863994e-10,0.0033122787525947154,0.001471795016529672
0.02,1.2602551524025108e-07,-1.2492970391939677e-07,9.279383343393366e-05,9.064045672479904e-05,1.25895068330928e-07,-1.246863135760412e-07,1.2215100362272682e-10,1.9954793885879634e-10,44,44,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,1.2087547548868026e-09,2.339663385806457e-10,2.505813819069692e-07,2.339663385806457e-10,0.004823801136732355,0.0009337048861026552
0.025,1.2560836180217676e-07,-1.239738526184018e-07,9.43691697805996e-05,9.1193811811401e-05,1.254707859493545e-07,-1.2373734967635452e-07,1.3525932743667215e-10,1.9370827766498464e-10,43,43,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,1.7334362729999627e-09,2.362582961391106e-10,2.49208135625709e-07,2.362582961391106e-10,0.006955777220706179,0.0009480589825049527
0.03,1.255768723503949e-07,-1.2345083658885937e-07,9.403737603658836e-05,9.113911145563678e-05,1.254457035210506e-07,-1.2332186928349465e-07,1.5665705697226583e-10,2.44518329636132e-10,43,40,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,2.123834237555955e-09,2.9039739500769606e-10,2.4876757280454525e-07,2.9039739500769606e-10,0.008537423964113824,0.0011673867889074358
0.035,1.2485616828011725e-07,-1.2241340401088756e-07,9.156630178820568e-05,8.746306339891017e-05,1.2452013190278768e-07,-1.2221331370173377e-07,1.4499581579167622e-10,2.329479668256557e-10,43,43,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,2.306818201053908e-09,2.743875759674634e-10,2.467334456045215e-07,2.743875759674634e-10,0.009349434550317951,0.001112129599643043
0.04,1.2353218706141218e-07,-1.210839396502555e-07,8.967068761528656e-05,8.680777624803079e-05,1.2341850139450477e-07,-1.2094242155263377e-07,1.30161652253546e-10,2.1573199373885677e-10,41,41,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,2.4760798418709933e-09,2.5195703768681514e-10,2.4436092294713854e-07,2.5195703768681514e-10,0.010132879725645135,0.001031138568278476
0.045,1.2288694654318896e-07,-1.2044870286640877e-07,9.0088404840153e-05,8.985474279700127e-05,1.2274300352424726e-07,-1.2010922917842256e-07,1.0405524393501479e-10,2.7113094952821037e-10,30,30,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,2.6337743458247023e-09,2.9041261264353583e-10,2.428522327026698e-07,2.9041261264353583e-10,0.010845172459457268,0.0011959111421399348
0.05,1.2375747762544632e-07,-1.2110455063051765e-07,9.005315080210438e-05,8.664036415073204e-05,1.2371223753638282e-07,-1.209977396824284e-07,1.4634997547764152e-10,2.078081811378377e-10,45,41,-6.25,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-271.hdf5,2.714497853954434e-09,2.541703276744212e-10,2.447099772188112e-07,2.541703276744212e-10,0.011092714260388426,0.001038723339754612
