VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.940103023739642e-06,3.7502583784504944e-06,0.000125315869797,0.0001274710707311,-3.938686899000374e-06,3.7526328754807054e-06,2.022783125641375e-09,2.5150130137741207e-09,17,17,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-1.8605402351966825e-07,3.2275287811005926e-09,7.69131977448108e-06,3.2275287811005926e-09,-0.024190129779413705,0.00041975539333547433
-0.045,-3.974708587093109e-06,3.819131637591271e-06,0.0001154847124709,0.0001176735785958,-3.975492246833412e-06,3.815484480101732e-06,3.128663642298087e-09,2.5130082717719e-09,19,17,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-1.6000776673168036e-07,4.012947390713206e-09,7.790976726935144e-06,4.012947390713206e-09,-0.02053757472776139,0.0005151849064209661
-0.04,-4.010442125213926e-06,3.869630021343228e-06,0.000107265462265,0.0001092423927845,-4.006494662316729e-06,3.869995140748118e-06,2.4403658475162747e-09,2.545156947788324e-09,19,19,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-1.3649952156861125e-07,3.5260756314348962e-09,7.876489803064847e-06,3.5260756314348962e-09,-0.01732999406861385,0.00044773816391645635
-0.035,-4.032803827851898e-06,3.919716504546844e-06,0.0001003654576729,0.000102670812228,-4.035528312710073e-06,3.916483921462202e-06,3.143119515131386e-09,2.6631509391630147e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-1.1904439124787046e-07,4.119656928818783e-09,7.952012234172274e-06,4.119656928818783e-09,-0.01497034810086177,0.0005181227609450675
-0.03,-4.06096004194302e-06,3.960018921266839e-06,9.482414683786134e-05,9.669210890926696e-05,-4.059864746329827e-06,3.9567400027009865e-06,2.343398153663454e-09,2.387076289467368e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-1.0312474362884021e-07,3.3450931404567174e-09,8.016604749030813e-06,3.3450931404567174e-09,-0.012863892739792084,0.00041730508192731365
-0.025,-4.08094304444178e-06,3.990382971912346e-06,8.803715790948658e-05,9.01201554417334e-05,-4.080216061599057e-06,3.992447793430136e-06,3.075332821971312e-09,2.522701242803657e-09,23,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-8.776826816892115e-08,3.977649246268095e-09,8.072663855029193e-06,3.977649246268095e-09,-0.010872280791704507,0.0004927598129606412
-0.02,-4.0912381944508114e-06,4.020549135885387e-06,8.321917522038715e-05,8.506035806974782e-05,-4.094227676529745e-06,4.020767943334884e-06,2.7765034697858e-09,1.5575876931275834e-09,23,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-7.345973319486137e-08,3.183559476358985e-09,8.114995619864629e-06,3.183559476358985e-09,-0.009052344158392385,0.0003923218275288256
-0.015,-4.101201434051834e-06,4.040862480724272e-06,8.118012614841816e-05,8.314271177143577e-05,-4.100958036193777e-06,4.042032440660292e-06,2.901561953590979e-09,2.6718084573451844e-09,23,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-5.89255955334844e-08,3.944315175447818e-09,8.14299047685407e-06,3.944315175447818e-09,-0.007236358153798244,0.00048439433364213776
-0.01,-4.101534297297961e-06,4.060869311842247e-06,7.764980514438819e-05,7.93811851175776e-05,-4.103962666822684e-06,4.062156647013199e-06,2.4134820306257782e-09,2.1511597263995182e-09,23,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-4.1806019809484916e-08,3.2330146428119965e-09,8.166119313835883e-06,3.2330146428119965e-09,-0.005119447586156724,0.00039591106680042265
-0.005,-4.102205425553711e-06,4.081526002731279e-06,7.144977347810044e-05,7.392251678230423e-05,-4.1070578885113705e-06,4.082269468867325e-06,2.9908037716234558e-09,2.91174446753081e-09,23,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-2.4788419644045506e-08,4.174106256979255e-09,8.189327357378695e-06,4.174106256979255e-09,-0.0030269176651866046,0.0005097030802214115
0.0,-4.101409093478816e-06,4.093185701113382e-06,7.062161510836477e-05,7.280800603931127e-05,-4.099972244690048e-06,4.093789882960577e-06,2.8996833497909982e-09,3.543792066030228e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,-6.1823617294714525e-09,4.578932816313637e-09,8.193762127650625e-06,4.578932816313637e-09,-0.0007545205283185471,0.0005588317122677313
0.005,-4.091265514829003e-06,4.10159068740637e-06,7.529600820277634e-05,7.696333338181822e-05,-4.089404421360741e-06,4.101985118324088e-06,2.2118768320543136e-09,3.303315811814192e-09,23,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,1.258069696334662e-08,3.975461542105555e-09,8.191389539684829e-06,3.975461542105555e-09,0.0015358440594720724,0.0004853225709186374
0.01,-4.071445745960606e-06,4.111434870369158e-06,7.309706112739305e-05,7.544801276627559e-05,-4.074171733300002e-06,4.107307362908444e-06,2.5535542594711434e-09,3.184506758697422e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,3.3135629608442524e-08,4.081877344097049e-09,8.181479096208447e-06,4.081877344097049e-09,0.004050078136091383,0.0004989208887228895
0.015,-4.050881792517594e-06,4.101229563389256e-06,6.88258332119899e-05,7.121329295941745e-05,-4.053447824221377e-06,4.1036422233949125e-06,2.637592240501861e-09,2.015037879761936e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,5.019439917353553e-08,3.3192273926368926e-09,8.157090047616289e-06,3.3192273926368926e-09,0.006153468808181617,0.0004069208767139515
0.02,-4.030565436425461e-06,4.092849406276916e-06,7.224906619083832e-05,7.485926869021225e-05,-4.028582688432026e-06,4.096000506571028e-06,2.368541841136508e-09,2.6645735000743572e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,6.741781813900195e-08,3.56510061436039e-09,8.124583195003055e-06,3.56510061436039e-09,0.008298003297014253,0.0004388192313982322
0.025,-4.000475928051096e-06,4.081134072946297e-06,7.176330474858055e-05,7.4615007088438e-05,-4.001397833026852e-06,4.08174928379481e-06,2.853328570297325e-09,2.633020843147565e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,8.035145076795815e-08,3.882561356955546e-09,8.083147116821662e-06,3.882561356955546e-09,0.009940614664892156,0.0004803516656746796
0.03,-3.960278628308638e-06,4.060966558500463e-06,7.128897336499009e-05,7.386081343749235e-05,-3.962428414963877e-06,4.060625285397258e-06,1.549384014995926e-09,1.6766663138642527e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,9.819687043338107e-08,2.2829368703431194e-09,8.023053700361135e-06,2.2829368703431194e-09,0.012239338548732513,0.0002845684377528178
0.035,-3.919794399696256e-06,4.031325942392166e-06,7.451850085394429e-05,7.686598390454123e-05,-3.917436707505959e-06,4.034709182103392e-06,2.5604568939254597e-09,2.777077015541582e-09,21,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,1.1727247459743311e-07,3.777313364800405e-09,7.95214588960935e-06,3.777313364800405e-09,0.014747274034630936,0.00047505719134399574
0.04,-3.869120688211727e-06,4.000604035685016e-06,7.348378931780816e-05,7.598191980068714e-05,-3.865946543792941e-06,4.0008138591912425e-06,2.923068673744403e-09,2.1607808504761602e-09,21,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,1.3486731539830146e-07,3.6350109154183212e-09,7.866760402984183e-06,3.6350109154183212e-09,0.017143945981517472,0.0004621400528098809
0.045,-3.8023987722610102e-06,3.962903769421235e-06,7.417901785663229e-05,7.705551997441323e-05,-3.8050447708736895e-06,3.964216497746847e-06,3.054968548339062e-09,2.264213831750435e-09,23,23,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,1.5917172687315738e-07,3.802564543466799e-09,7.769261268620536e-06,3.802564543466799e-09,0.020487369567044944,0.0004895397847810082
0.05,-3.729593400002721e-06,3.920154995052447e-06,7.371898823066905e-05,7.622334755958732e-05,-3.732958205986468e-06,3.922807658402293e-06,2.686422953295789e-09,2.2628438204583016e-09,21,21,-1.0,2024/01/Data_0120/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-292.hdf5,1.8984945241582467e-07,3.5124536210149152e-09,7.65576586438876e-06,3.5124536210149152e-09,0.024798231265002555,0.00045893951211902417
