VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.314768529176084e-06,3.208745480023588e-06,-6.450622640528499e-05,-7.311372704221941e-05,-3.3143163841847378e-06,3.2094329479523025e-06,2.180225249844308e-09,2.1514133829266584e-09,37,39,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.0488343623243526e-07,3.0629988057938587e-09,6.52374933213704e-06,3.0629988057938587e-09,-0.016077171407516005,0.00046957577295458436
-0.055,-3.3639164140467987e-06,3.2925225108696546e-06,-7.45928469068898e-05,-8.348797900695592e-05,-3.3640682987116107e-06,3.2936486893400223e-06,2.024546583751044e-09,1.829734054024326e-09,39,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-7.041960937158835e-08,2.728867086949146e-09,6.6577169880516334e-06,2.728867086949146e-09,-0.010577140707237618,0.00040990323481996884
-0.05,-3.411884189490982e-06,3.362844359394365e-06,-8.199527896742008e-05,-9.160840008824168e-05,-3.409727598056956e-06,3.365529624074442e-06,2.2442187007942972e-09,1.8515393600935478e-09,41,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-4.4197973982513847e-08,2.9094184262444047e-09,6.775257222131398e-06,2.9094184262444047e-09,-0.006523438525424693,0.0004294272875126448
-0.045,-3.455670595099982e-06,3.4257134966868797e-06,-8.744707042983523e-05,-9.743746756637492e-05,-3.4543762413220373e-06,3.4284540756487885e-06,2.3884924862970143e-09,2.5379818337238902e-09,43,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.592216567324876e-08,3.4851467896502975e-09,6.882830316970826e-06,3.4851467896502975e-09,-0.003766207283845588,0.0005063573190498837
-0.04,-3.497292695950884e-06,3.4814903457156595e-06,-9.053285592322046e-05,-0.0001009463330075,-3.497507494939672e-06,3.4820844310211657e-06,2.301552532123902e-09,2.111684465674807e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.542306391850623e-08,3.123516502389293e-09,6.979591925960838e-06,3.123516502389293e-09,-0.002209737199841097,0.0004475224571126295
-0.035,-3.537922100396847e-06,3.5242708922542104e-06,-9.040937661266524e-05,-0.0001009976235733,-3.5358850255439816e-06,3.525573973293289e-06,1.9678465761189662e-09,2.009517431952231e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.0311052250692525e-08,2.81257541347126e-09,7.061458998837271e-06,2.81257541347126e-09,-0.0014601872293516578,0.00039829989982870863
-0.03,-3.572752050182682e-06,3.5653045876032435e-06,-9.099388138698072e-05,-0.0001020116758621,-3.571389038259068e-06,3.562433454593981e-06,2.2000253851170873e-09,1.806668816996335e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-8.955583665087054e-09,2.846781324490261e-09,7.133822492853049e-06,2.846781324490261e-09,-0.0012553695685670787,0.0003990544438886493
-0.025,-3.601441063947877e-06,3.5933570683327072e-06,-9.321942002031696e-05,-0.0001044695644473,-3.6013230228180136e-06,3.591444310922203e-06,1.8002312314209007e-09,2.2337961132068644e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-9.878711895810679e-09,2.868915746751951e-09,7.192767333740217e-06,2.868915746751951e-09,-0.001373422973028905,0.00039886156738276406
-0.02,-3.624694366446152e-06,3.614371778355256e-06,-9.502710398252544e-05,-0.0001065192945552,-3.6253007071169583e-06,3.6121132799444008e-06,1.7534888778930187e-09,2.444518316024561e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.318742717255751e-08,3.008387116425357e-09,7.2374139870613595e-06,3.008387116425357e-09,-0.001822118673345652,0.0004156722436905277
-0.015,-3.643030407310361e-06,3.628435504360145e-06,-9.337363135634703e-05,-0.0001050696637101,-3.6445928945372815e-06,3.6274696195154513e-06,1.4808507790369914e-09,1.7310726733930194e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.7123275021830215e-08,2.27805435192897e-09,7.2720625140527324e-06,2.27805435192897e-09,-0.002354665542099058,0.00031326197523701767
-0.01,-3.657677347932776e-06,3.635728905994573e-06,-9.873582611556174e-05,-0.0001103565228518,-3.657982046593046e-06,3.637543885191744e-06,1.5105669719633314e-09,1.906290805677102e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.0438161401302283e-08,2.4322329684048614e-09,7.2955259317847904e-06,2.4322329684048614e-09,-0.0028014651160731675,0.0003333882348526947
-0.005,-3.6711938271422815e-06,3.649758089802601e-06,-0.0001023669777002,-0.0001139303442332,-3.6711676963780086e-06,3.648541738084039e-06,2.0212407498224686e-09,2.2815499603056694e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.2625958293969495e-08,3.0480952068650506e-09,7.319709434462048e-06,3.0480952068650506e-09,-0.0030911006094646106,0.0004164249682653239
0.0,-3.6723216051544377e-06,3.649840037196543e-06,-0.00010596751574,-0.0001171420485073,-3.6744416411507288e-06,3.650800278920711e-06,2.316775002568702e-09,2.0412789107425113e-09,43,39,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.364136223001771e-08,3.087760677897389e-09,7.32524192007144e-06,3.087760677897389e-09,-0.0032273831346428957,0.0004215255677024713
0.005,-3.678330961545976e-06,3.6498869672035495e-06,-9.93740791677772e-05,-0.0001104976211109,-3.6754419018527863e-06,3.650251701799914e-06,2.211655589404526e-09,1.9491102654596613e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.5190200052872445e-08,2.9479571355541303e-09,7.3256936036527e-06,2.9479571355541303e-09,-0.0034386095591429373,0.0004024157606602486
0.01,-3.6747458694716766e-06,3.6497216773795857e-06,-9.508029040873453e-05,-0.0001059791006095,-3.674822780244006e-06,3.64836628502938e-06,1.9124593084675324e-09,2.757934160958593e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.6456495214626215e-08,3.3561438352261497e-09,7.323189065273386e-06,3.3561438352261497e-09,-0.0036127013762464635,0.0004582929249514996
0.015,-3.663882202622316e-06,3.6354061359892624e-06,-0.0001006765528948,-0.0001115217140402,-3.663671174487961e-06,3.635042503747063e-06,1.7850201693916623e-09,2.090424734328072e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.862867074089766e-08,2.748849318355888e-09,7.2987136782350245e-06,2.748849318355888e-09,-0.0039224268827354036,0.00037662396219073386
0.02,-3.6509293048519145e-06,3.621461833131664e-06,-9.945017600131476e-05,-0.0001100867038241,-3.652931311006336e-06,3.6206385636013658e-06,1.588779293910836e-09,2.636045002283409e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-3.2292747404970415e-08,3.077816254883185e-09,7.273569874607702e-06,3.077816254883185e-09,-0.004439738390044973,0.0004231548801535428
0.025,-3.635494093550797e-06,3.60046812153787e-06,-9.618164645677272e-05,-0.0001065953159087,-3.636433630597073e-06,3.600061314802349e-06,2.069385843214397e-09,2.5404648657258607e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-3.6372315794723826e-08,3.276632341609854e-09,7.236494945399422e-06,3.276632341609854e-09,-0.005026233842372461,0.00045279845490069125
0.03,-3.607518821787069e-06,3.5724959551362625e-06,-9.338569231877436e-05,-0.0001038362412845,-3.607494720812691e-06,3.570410649823726e-06,1.4609921677679382e-09,2.7688583425093814e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-3.708407098896481e-08,3.1306668036000026e-09,7.177905370636417e-06,3.1306668036000026e-09,-0.005166419599326205,0.00043615907752666633
0.035,-3.574995117555644e-06,3.5377325163294105e-06,-9.11845917191329e-05,-0.0001017690662519,-3.575766979550529e-06,3.538839528213837e-06,1.4957960355976746e-09,2.507649430118113e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-3.692745133669196e-08,2.9198820942773386e-09,7.1146065077643655e-06,2.9198820942773386e-09,-0.0051903715681804775,0.00041041221627294706
0.04,-3.531355265267694e-06,3.5025540456264687e-06,-8.807358915831668e-05,-9.835931454749426e-05,-3.533218546629459e-06,3.5002706577813798e-06,1.8022061723913326e-09,2.948741805619621e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-3.294788884807925e-08,3.455868244597048e-09,7.033489204410839e-06,3.455868244597048e-09,-0.004684430144204527,0.000491350176497147
0.045,-3.476950468614078e-06,3.4604625317501005e-06,-9.141411823403984e-05,-0.0001021003043432,-3.4786970558651826e-06,3.455514487149598e-06,2.521092396942136e-09,3.008170262594037e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.3182568715584787e-08,3.924919770221364e-09,6.93421154301478e-06,3.924919770221364e-09,-0.003343216250582647,0.0005660256657030108
0.05,-3.411910182586349e-06,3.406622790137059e-06,-8.75117566425634e-05,-9.838202677662604e-05,-3.412281834394768e-06,3.4063437066223403e-06,2.334083986927984e-09,3.3289118370816242e-09,43,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-5.938127772427709e-09,4.065661333300622e-09,6.818625541017109e-06,4.065661333300622e-09,-0.000870868731052496,0.0005962584175604613
0.055,-3.330951757671119e-06,3.3558249252033216e-06,-8.514287415253739e-05,-9.60540463162316e-05,-3.332455959339467e-06,3.353810731167101e-06,1.4860819150952135e-09,3.4406727065414037e-09,43,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,2.135477182763405e-08,3.747888489791553e-09,6.686266690506568e-06,3.747888489791553e-09,0.0031938259145353,0.0005605381565586413
0.06,-3.2369429896779574e-06,3.299737325120713e-06,-8.577869674927007e-05,-9.659920879958118e-05,-3.2352388886860217e-06,3.297237708283654e-06,2.523316018068923e-09,4.269748520194956e-09,43,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,6.19988195976322e-08,4.959624597966082e-09,6.532476596969676e-06,4.959624597966082e-09,0.009490859810564432,0.0007592599670163358
