VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.13,1.616515985584842e-06,-1.680521355603934e-06,-1.2759043804559e-05,-4.052146031648608e-05,1.6100825527834738e-06,-1.6757353822689608e-06,5.157978967888567e-09,5.245357600112332e-09,43,39,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-092.hdf5,-6.565282948548705e-08,7.356529303023064e-09,3.2858179350524346e-06,7.356529303023064e-09,-0.01998066563126218,0.002239319939353554
-0.12,1.6629804172431925e-06,-1.7253631985253503e-06,-1.0087462756605086e-05,-4.152917416670148e-05,1.6568815678813608e-06,-1.7164493748196587e-06,5.498508606615863e-09,4.989433680343626e-09,43,43,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-093.hdf5,-5.956780693829792e-08,7.42482628399992e-09,3.3733309427010195e-06,7.42482628399992e-09,-0.017658453306274805,0.0022013801575321065
-0.11,1.7137708094049884e-06,-1.7619553457182402e-06,-8.734116414357181e-06,-4.213994132998098e-05,1.7057674852485046e-06,-1.7554502710346816e-06,5.382327967566177e-09,5.9301699526789505e-09,41,43,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-094.hdf5,-4.968278578617707e-08,8.00851859073208e-09,3.4612177562831864e-06,8.00851859073208e-09,-0.014354134667195487,0.002314024760799075
-0.1,1.760524478703098e-06,-1.807240239254892e-06,-3.903529579858837e-06,-4.085869164910817e-05,1.752786119962478e-06,-1.7994819383267968e-06,5.44152227882813e-09,5.710046791807881e-09,39,41,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-095.hdf5,-4.669581836431881e-08,7.88763583563658e-09,3.5522680582892747e-06,7.88763583563658e-09,-0.013145353221684204,0.0022206424655242607
-0.09,1.802526695808112e-06,-1.8489188958266955e-06,-9.527540382113388e-07,-4.167543565645848e-05,1.7982613253774023e-06,-1.8434869384469584e-06,4.974888668421667e-09,6.791888000292522e-09,41,39,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-096.hdf5,-4.522561306955608e-08,8.418982116129471e-09,3.641748263824361e-06,8.418982116129471e-09,-0.012418654391575837,0.0023119750958572223
-0.08,1.856363734799504e-06,-1.8825511771380223e-06,-5.688837638951768e-06,-4.2629436332932216e-05,1.8448386313321504e-06,-1.8805345242019976e-06,5.920328681594969e-09,5.7357216072852425e-09,49,49,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-3.569589286984721e-08,8.243105850005495e-09,3.725373155534148e-06,8.243105850005495e-09,-0.009581830162924737,0.0022127942364388886
-0.07,1.8939176195969745e-06,-1.929964939164034e-06,2.414533356653775e-06,-3.712530657757884e-05,1.8883665420926133e-06,-1.916887721668427e-06,4.947235687845904e-09,6.220527138200723e-09,49,47,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-2.8521179575813932e-08,7.947961929211024e-09,3.8052542637610405e-06,7.947961929211024e-09,-0.007495209938382447,0.002088739575895266
-0.06,1.931481624066749e-06,-1.9539323531694472e-06,3.736851603401072e-06,-3.3915883054441625e-05,1.9270066977712065e-06,-1.947454940434686e-06,4.902437541663822e-09,4.832456799941143e-09,47,47,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-2.044824266347935e-08,6.883787661833579e-09,3.874461638205892e-06,6.883787661833579e-09,-0.0052776990903304205,0.0017767329179790398
-0.05,1.9599407540981443e-06,-1.985559982217508e-06,6.231383225180253e-06,-3.1702826480917866e-05,1.955801356293885e-06,-1.971930624646485e-06,3.6069553814917104e-09,5.110319545704732e-09,47,49,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-1.6129268352599928e-08,6.255037408623855e-09,3.92773198094037e-06,6.255037408623855e-09,-0.004106509413286975,0.0015925450563874842
-0.04,1.987212788807913e-06,-1.9989703836685767e-06,6.995491223505168e-06,-2.753495412780301e-05,1.985796302806473e-06,-1.9936057820315607e-06,3.319625862201275e-09,4.335904130702958e-09,49,49,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-7.80947922508792e-09,5.4607673907283885e-09,3.979402084838034e-06,5.4607673907283885e-09,-0.0019624755324029472,0.001372260904993505
-0.03,2.00799402193072e-06,-2.0139797003081368e-06,8.69832303925343e-06,-2.70439277376772e-05,2.0028328206511093e-06,-2.009793824370456e-06,2.948579201744114e-09,3.527605042852564e-09,49,49,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-6.9610037193467435e-09,4.597620759405542e-09,4.012626645021565e-06,4.597620759405542e-09,-0.0017347748333334744,0.0011457900483328157
-0.02,2.0214887831397847e-06,-2.023045258565012e-06,1.082816468219102e-05,-2.460951060766944e-05,2.0165070266967574e-06,-2.018633264480108e-06,2.936324588112402e-09,3.292667266557735e-09,47,51,2023/11/Data_1119/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-097.hdf5,-2.126237783350616e-09,4.411763798642699e-09,4.035140291176865e-06,4.411763798642699e-09,-0.0005269303245787497,0.0010933360658524555
