VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
-0.1579999999999999,-3.3e-06,2.66e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.400000000000002e-07,5.9600000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1073825503355705,0.0047729659355869
-0.1559999999999999,-3.34e-06,2.7e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.400000000000002e-07,6.04e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1059602649006623,0.0047090413865902
-0.1539999999999999,-3.38e-06,2.7600000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.199999999999996e-07,6.1400000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1009771986970683,0.0046299844183605
-0.1519999999999999,-3.42e-06,2.7600000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.599999999999996e-07,6.18e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1067961165048543,0.0046027687377962
-0.1499999999999999,-3.46e-06,2.8000000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.599999999999996e-07,6.26e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1054313099041533,0.0045432967106645
-0.1479999999999999,-3.48e-06,2.82e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.6e-07,6.300000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1047619047619047,0.0045141362614274
-0.1459999999999999,-3.54e-06,2.86e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.799999999999998e-07,6.4e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1062499999999999,0.0044442929136087
-0.1439999999999999,-3.56e-06,2.86e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.999999999999997e-07,6.42e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1090342679127725,0.0044317605725804
-0.1419999999999999,-3.58e-06,2.9e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-6.799999999999998e-07,6.480000000000001e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1049382716049382,0.0043888238627248
-0.1399999999999999,-3.6000000000000003e-06,2.9e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.000000000000001e-07,6.5e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1076923076923077,0.0043765867290229
-0.1379999999999999,-3.64e-06,2.94e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.000000000000001e-07,6.58e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1063829787234042,0.0043227769429136
-0.1359999999999999,-3.7e-06,2.94e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.600000000000003e-07,6.64e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1144578313253012,0.0042874907824004
-0.1339999999999999,-3.74e-06,2.98e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.600000000000003e-07,6.72e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1130952380952381,0.0042358008872871
-0.1319999999999999,-3.76e-06,2.98e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.800000000000002e-07,6.74e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.115727002967359,0.0042244871276634
-0.1299999999999999,-3.78e-06,3.02e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.599999999999999e-07,6.799999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1117647058823529,0.0041853496120519
-0.1279999999999999,-3.820000000000001e-06,3.06e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.600000000000008e-07,6.88e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1104651162790698,0.0041360927310628
-0.1259999999999999,-3.820000000000001e-06,3.04e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.800000000000006e-07,6.86e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1137026239067056,0.0041496381471062
-0.1239999999999999,-3.88e-06,3.08e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8e-07,6.96e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1149425287356321,0.0040905892260019
-0.1219999999999999,-3.86e-06,3.08e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.800000000000002e-07,6.9400000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1123919308357348,0.0041012036493795
-0.1199999999999999,-3.94e-06,3.12e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.200000000000002e-07,7.06e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1161473087818697,0.0040332028804265
-0.1179999999999999,-3.98e-06,3.14e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.4e-07,7.12e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1179775280898876,0.0040000605528457
-0.1159999999999999,-4.0200000000000005e-06,3.18e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.400000000000004e-07,7.2000000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1166666666666667,0.0039550153952173
-0.1139999999999999,-4.04e-06,3.2000000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.4e-07,7.24e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1160220994475138,0.0039328734764334
-0.1119999999999999,-4.08e-06,3.22e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.599999999999998e-07,7.299999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1178082191780821,0.0039013521172943
-0.1099999999999999,-4.08e-06,3.26e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.199999999999998e-07,7.34e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1117166212534059,0.0038774150313748
-0.1079999999999999,-4.139999999999999e-06,3.2800000000000004e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.59999999999999e-07,7.42e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1159029649595685,0.0038374145309125
