VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err
1.5780000000000007,-4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.035355339059327376
1.5800000000000007,-4.2000000000000006e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05000000000000003,0.03539950564626574
1.5820000000000007,-3.6000000000000005e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,3.999999999999996e-09,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.05263157894736836,0.03726765664009338
1.5840000000000007,-4e-08,4e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.035355339059327376
1.5860000000000007,-4.2000000000000006e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-6.000000000000001e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.07692307692307693,0.03636901166584965
1.5880000000000007,-3.6000000000000005e-08,4.2000000000000006e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,6.000000000000001e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.07692307692307693,0.03636901166584965
1.5900000000000007,-3.6000000000000005e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.027027027027027,0.038235945444272904
1.5920000000000007,-3.8e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.03721614637823934
1.5940000000000007,-4.2000000000000006e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-6.000000000000001e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.07692307692307693,0.03636901166584965
1.5960000000000008,-4e-08,3.8e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-1.999999999999998e-09,7.800000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.025641025641025612,0.03627380466570341
1.5980000000000008,-3.6000000000000005e-08,3.2e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-4.000000000000003e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.05882352941176475,0.041666417227655
1.6000000000000008,-3.8e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,-1.999999999999998e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.027027027027027,0.038235945444272904
1.6020000000000008,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.039283710065919304
1.6040000000000008,-4e-08,4.2000000000000006e-08,2023/10/Data_1015/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-109.hdf5,2e-09,2e-09,2.0000000000000047e-09,8.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.02439024390243908,0.03450327186198691
