in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.060716900065418e-06,3.06807427160768e-06,-4.877267358554794e-05,-4.8603130182232816e-06,-3.06038401745151e-06,3.0667080134640283e-06,1.3473991001670262e-09,1.0729845737024787e-09,21,19,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,6.3239960125183624e-09,1.7224343907778903e-09,6.127092030915538e-06,1.7224343907778903e-09,0.0010321366123781566,0.0002811179103474484
-0.045,-3.1142671694995667e-06,3.1455571416413685e-06,-4.4154868839031615e-05,-8.75236315660649e-07,-3.115917528240877e-06,3.144847445812972e-06,1.7942837006058555e-09,8.719870516336256e-10,21,19,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,2.892991757209521e-08,1.994947472109616e-09,6.260764974053849e-06,1.994947472109616e-09,0.0046208279167143165,0.0003186461683793098
-0.04,-3.163372769386753e-06,3.2059932194319406e-06,-4.119450561807301e-05,2.140905325334504e-06,-3.16358543026548e-06,3.2051131269280915e-06,1.428756098467349e-09,1.3154177163195126e-09,21,17,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,4.1527696662611463e-08,1.942078205766926e-09,6.368698557193572e-06,1.942078205766926e-09,0.0065205938528375,0.0003049476238618654
-0.035,-3.2086566420374456e-06,3.253141742708929e-06,-4.222265330438783e-05,1.951028336817637e-06,-3.209639274512757e-06,3.2540040667469296e-06,1.5722445429780823e-09,1.4519890557428151e-09,21,17,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,4.4364792234172555e-08,2.1401460513061416e-09,6.4636433412596866e-06,2.1401460513061416e-09,0.00686374385031065,0.0003311130193770628
-0.03,-3.248845983251354e-06,3.2903063125864603e-06,-4.389816784639951e-05,9.129686484715572e-07,-3.24864753833178e-06,3.290328220739622e-06,1.564976406695775e-09,1.961814921652213e-09,21,19,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,4.16806824078421e-08,2.509555526449195e-09,6.538975759071402e-06,2.509555526449195e-09,0.006374191302058163,0.0003837919882888828
-0.025,-3.2860975750275675e-06,3.3178101896418505e-06,-4.045577660836186e-05,5.165782367301349e-06,-3.285024832576371e-06,3.318589920943242e-06,1.5448393567427816e-09,2.2128714162138915e-09,21,17,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,3.356508836687112e-08,2.698764262183328e-09,6.603614753519613e-06,2.698764262183328e-09,0.005082835631648788,0.0004086851253855102
-0.02,-3.315101601385513e-06,3.3354536782867973e-06,-4.614514312768704e-05,-4.52670393587663e-07,-3.314288244012812e-06,3.33744953824226e-06,1.528585823371412e-09,2.402188880133232e-09,21,19,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,2.3161294229447712e-08,2.8472945115052305e-09,6.6517377822550715e-06,2.8472945115052305e-09,0.0034819914716475147,0.0004280553240876034
-0.015,-3.335906345640034e-06,3.3502907686108047e-06,-4.097612586931238e-05,5.356703482837165e-06,-3.336285851039225e-06,3.3486618873140757e-06,1.6592708979385483e-09,1.984360817864432e-09,21,17,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,1.2376036274850733e-08,2.586671175124777e-09,6.6849477383533e-06,2.586671175124777e-09,0.0018513288000512201,0.00038694028871499414
-0.01,-3.3525880417942853e-06,3.352703791179567e-06,-4.176061393717665e-05,4.571200590188372e-06,-3.3527392697056773e-06,3.352961910532408e-06,1.3649180173667199e-09,2.022247476360999e-09,21,17,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,2.2264082673081735e-10,2.439771720833883e-09,6.705701180238085e-06,2.439771720833883e-09,3.3201722049134394e-05,0.0003638354374287829
-0.005,-3.363652557958138e-06,3.3553904363367834e-06,-4.1507513988404736e-05,4.567817552025186e-06,-3.365034992049562e-06,3.3558648258176207e-06,2.5631996603576755e-09,1.930439335569344e-09,21,17,-3.6,2024/06/Data_0613/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-061.hdf5,-9.170166231941168e-09,3.208829775349748e-09,6.720899817867183e-06,3.208829775349748e-09,-0.0013644253716686462,0.0004774409452864317
