VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.789921523494212e-06,3.5264921523020875e-06,-5.903532013089054e-05,-5.851083289519813e-05,-3.786700684802545e-06,3.525765972425003e-06,2.251236034148247e-09,2.0360215667609555e-09,35,35,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-2.609347123775421e-07,3.0353661231823852e-09,7.312466657227548e-06,3.0353661231823852e-09,-0.03568354217651544,0.00041535888499252534
-0.055,-3.83792125819648e-06,3.614697681183012e-06,-6.926014259248177e-05,-6.896938790260698e-05,-3.834823372747556e-06,3.615122063105028e-06,2.328971280055182e-09,1.8991395192298196e-09,37,37,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-2.1970130964252846e-07,3.00513529426253e-09,7.449945435852585e-06,3.00513529426253e-09,-0.029490324665362527,0.0004035521854571707
-0.05,-3.883393452609508e-06,3.701914782671168e-06,-7.712926880924865e-05,-7.727119637602103e-05,-3.88242419286868e-06,3.6979248551278815e-06,2.863926022545266e-09,2.6710246564645236e-09,41,41,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-1.844993377407982e-07,3.9161773425182585e-09,7.580349047996561e-06,3.9161773425182585e-09,-0.02433916124080859,0.0005167752972145178
-0.045,-3.925940723791961e-06,3.773783927269777e-06,-8.269877595842069e-05,-8.445071948656673e-05,-3.924210240670391e-06,3.7704672796670784e-06,2.60982845247979e-09,2.268644241954378e-09,41,43,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-1.5374296100331295e-07,3.4580270744928835e-09,7.694677520337469e-06,3.4580270744928835e-09,-0.019980429406815502,0.0004494947642755804
-0.04,-3.964068439488021e-06,3.833948711473207e-06,-8.752215019760994e-05,-8.950904724877985e-05,-3.963389546336433e-06,3.833709738848524e-06,2.85790904678425e-09,2.908187723382968e-09,43,43,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-1.2967980748790868e-07,4.077401127449527e-09,7.797099285184957e-06,4.077401127449527e-09,-0.016631801487292784,0.0005230105297072363
-0.035,-3.997991970334512e-06,3.8926928035631535e-06,-9.07786307525316e-05,-9.269744733684883e-05,-3.999100254978231e-06,3.890866295934719e-06,2.4634947011239035e-09,3.0336796659790343e-09,43,45,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-1.0823395904351221e-07,3.907942995776706e-09,7.88996655091295e-06,3.907942995776706e-09,-0.01371792368764712,0.0004953519960333302
-0.03,-4.02987510667974e-06,3.93696521428749e-06,-9.30467276051992e-05,-9.571065346321652e-05,-4.028026047393811e-06,3.9377488357751095e-06,2.7252734521598806e-09,2.4895567781911503e-09,45,45,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-9.027721161870191e-08,3.6912068948901976e-09,7.965774883168921e-06,3.6912068948901976e-09,-0.01133313619111316,0.00046341303773737527
-0.025,-4.053845723992141e-06,3.974958044840184e-06,-9.451260783450057e-05,-9.717924421667686e-05,-4.053327299282424e-06,3.9773036021715404e-06,2.1613971617476703e-09,2.998929682520785e-09,45,45,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-7.60236971108839e-08,3.696649419611643e-09,8.030630901453965e-06,3.696649419611643e-09,-0.00946671538560185,0.0004603393065530266
-0.02,-4.070359858638383e-06,4.012926110530142e-06,-9.65251482699196e-05,-9.98649241512513e-05,-4.072925747507013e-06,4.010711610150501e-06,2.2007470749250936e-09,2.665584525458239e-09,45,45,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-6.221413735651188e-08,3.456678832369849e-09,8.083637357657513e-06,3.456678832369849e-09,-0.0076963048444494255,0.0004276269521782895
-0.015,-4.085887931655691e-06,4.037839241825498e-06,-9.603313413935032e-05,-9.949040896963557e-05,-4.087188393922138e-06,4.036444309107321e-06,2.804152363360262e-09,2.8589655921367454e-09,47,45,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-5.074408481481651e-08,4.004616677531166e-09,8.123632703029459e-06,4.004616677531166e-09,-0.006246476997402044,0.0004929684723797606
-0.01,-4.092852826514108e-06,4.055530492399998e-06,-0.00010218794021,-0.0001052656315467,-4.093681692986069e-06,4.057590977237045e-06,3.13427005008337e-09,2.588361669122911e-09,45,43,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-3.6090715749023454e-08,4.064881901978747e-09,8.151272670223115e-06,4.064881901978747e-09,-0.00442761728249677,0.0004986855316701802
-0.005,-4.102087234634554e-06,4.078484076738524e-06,-0.00010325388918,-0.0001060304126505,-4.099810474600025e-06,4.079276479501948e-06,3.210342406183761e-09,3.7082938257081404e-09,43,43,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-2.053399509807691e-08,4.9048691585736364e-09,8.179086954101974e-06,4.9048691585736364e-09,-0.002510548575080096,0.0005996860827389594
0.0,-4.094164922898172e-06,4.09402823084741e-06,-0.0001049634926777,-0.0001074584519897,-4.094567860909728e-06,4.091917621927797e-06,4.2148968225610065e-09,2.9970265317096702e-09,43,43,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,-2.650238981931524e-09,5.171800775030547e-09,8.186485482837524e-06,5.171800775030547e-09,-0.0003237334247385635,0.0006317486370535785
0.005,-4.079329799005363e-06,4.102183536334724e-06,-0.0001072013367763,-0.0001094122145808,-4.083548551928627e-06,4.100241464372559e-06,2.939025548720812e-09,2.624983641346626e-09,43,41,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,1.6692912443931557e-08,3.940610396039053e-09,8.183790016301187e-06,3.940610396039053e-09,0.0020397532696563767,0.00048151511534632045
0.01,-4.070258168727627e-06,4.102560405342019e-06,-9.897946688422028e-05,-0.0001013516143965,-4.072431484392762e-06,4.105527490829379e-06,4.2644387380249115e-09,2.7032378806766502e-09,45,45,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,3.309600643661739e-08,5.049052662618274e-09,8.177958975222141e-06,5.049052662618274e-09,0.004046976334424371,0.0006174027070181214
0.015,-4.046900738425322e-06,4.094106497677857e-06,-0.000107572358862,-0.0001099416490442,-4.048692041936706e-06,4.097631029688662e-06,3.1568966868779847e-09,3.298172125327216e-09,43,41,-2.0,2024/01/Data_0104/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-103.hdf5,4.893898775195577e-08,4.565515968639979e-09,8.146323071625367e-06,4.565515968639979e-09,0.00600749409539332,0.0005604489672771906
