Vg increasing,gate 15 - Source voltage,ic+,ic-,datapath
0.0,-3.9999999999999503,2.985718488684868e-06,-3.0265883405508344e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.799999999999951,3.206186638129588e-06,-3.2553273374726596e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.5999999999999517,3.3200913240322055e-06,-3.365842013766741e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.3999999999999524,3.446013702753203e-06,-3.485620110256886e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-3.199999999999953,3.546731155289974e-06,-3.604608342444386e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-2.999999999999954,3.6459393910722925e-06,-3.6844003740281614e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-2.7999999999999545,3.6464414475209876e-06,-3.7046334070853816e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-2.5999999999999552,3.7062027771607817e-06,-3.7657678955160444e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-2.399999999999956,3.7257083709152558e-06,-3.766147021181828e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-2.1999999999999567,3.7260736631705387e-06,-3.7463915409833007e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-1.9999999999999574,3.74608196425e-06,-3.805220681853015e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-1.799999999999958,3.785670472563427e-06,-3.825364989487399e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-1.5999999999999588,3.766321145672184e-06,-3.8181112399802125e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-1.3999999999999595,3.80586400111555e-06,-3.8646883939042595e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-1.1999999999999602,3.8255618926861175e-06,-3.845977198802712e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-0.9999999999999609,3.825838478365731e-06,-3.865866605577999e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-0.7999999999999616,3.845431481721993e-06,-3.885484763183339e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-0.5999999999999623,3.845580311889636e-06,-3.8851601733928496e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-0.39999999999996305,3.8268146564081676e-06,-3.865922350024892e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,-0.19999999999996376,3.845721084746381e-06,-3.885446567650868e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,3.552713678800501e-14,3.865262772298628e-06,-3.88594778328379e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
