Vg increasing,repeat,gate 21 - Source voltage,ic+,ic-,datapath
0.0,1.0,-6.29999999999994,2.4968602033473874e-08,-2.5195894195228096e-08,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-6.1999999999999424,4.605958654695685e-08,-6.288418526875905e-08,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-6.099999999999945,4.457680184551341e-08,-6.147557151051227e-08,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.999999999999943,6.45034084268281e-08,-8.307292413130307e-08,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.8999999999999435,1.387224006311125e-07,-1.4289935797956273e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.799999999999944,1.6925113646290353e-07,-1.8397774271467084e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.699999999999944,2.430609292169448e-07,-2.6116287479550654e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.599999999999945,3.1373707053132705e-07,-3.2243311562130473e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.499999999999945,3.4629270199423125e-07,-3.8240367684326585e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.399999999999945,4.435662445035302e-07,-4.6367632113312306e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.299999999999946,5.64436627541106e-07,-5.945288574036901e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.199999999999946,6.89715884969253e-07,-7.431372268790036e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-5.099999999999946,8.426795295971272e-07,-8.835115478462e-07,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.999999999999947,9.855149937550003e-07,-1.0120078959797784e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.899999999999947,1.1660320881977691e-06,-1.20780656734568e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.799999999999947,1.363800457650334e-06,-1.4041960078794936e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.699999999999948,1.588404013044458e-06,-1.628888892865585e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.599999999999948,1.8031709501993873e-06,-1.8426286724582924e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.4999999999999485,1.9732726483762234e-06,-2.0244698256561977e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.399999999999949,2.184760091097457e-06,-2.243853874483438e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.299999999999949,2.3875960428923328e-06,-2.430375967805891e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.1999999999999496,2.5839384975196663e-06,-2.6218337959455644e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-4.09999999999995,2.745296312372603e-06,-2.785175504855108e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.9999999999999503,2.9353654643620896e-06,-2.966917800085346e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.8999999999999506,3.1038065133992228e-06,-3.1249045871538637e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.799999999999951,3.2245660136878575e-06,-3.264886612955663e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.6999999999999513,3.384817730431422e-06,-3.411089427828383e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.5999999999999517,3.5046205119308145e-06,-3.5252911372223765e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.499999999999952,3.6046943835479685e-06,-3.629343639864944e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.3999999999999524,3.684475443872947e-06,-3.68809465393439e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.2999999999999527,3.744520057124927e-06,-3.7628246237716303e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.199999999999953,3.8050464434225674e-06,-3.819086020745052e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-3.0999999999999535,3.844519099186273e-06,-3.844897612192228e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-2.999999999999954,3.867245036425708e-06,-3.885033566376679e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-2.899999999999954,3.885089311306635e-06,-3.884978626385367e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
0.0,1.0,-2.7999999999999545,3.924834864711514e-06,-3.933054531480539e-06,2024/01/Data_0114/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-198.hdf5
