Vg increasing,repeat,gate 15 - Source voltage,ic+,ic-,datapath
0.0,1.0,-6.599999999999941,1.972972381857088e-09,-1.993231116315383e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.499999999999943,2.3264244866846104e-08,-2.3265213963866156e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.399999999999942,2.1697300377184587e-08,-2.169562400260163e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.29999999999994,4.3068465885080375e-08,-4.289410740432312e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.1999999999999424,8.293491926541055e-08,-8.265001729147841e-08,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-6.099999999999945,1.0363454743685168e-07,-1.0346725093551818e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.999999999999943,1.8375801460288049e-07,-1.8366901642453885e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.8999999999999435,3.1026098717553303e-07,-3.2021321926161604e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.799999999999944,3.695588819391678e-07,-3.7630817075262005e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.699999999999944,4.6571487086339857e-07,-4.6774630933794983e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.599999999999945,5.674194407303686e-07,-5.666419581314266e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.499999999999945,6.879901864072618e-07,-6.996890036274398e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.399999999999945,8.056300117910759e-07,-8.05426413317658e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.299999999999946,9.670783667599968e-07,-9.660205160172918e-07,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.199999999999946,1.1478478831398642e-06,-1.166375433224525e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-5.099999999999946,1.3072932902162225e-06,-1.3194303966457444e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.999999999999947,1.4658723785329211e-06,-1.4679342767570511e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.899999999999947,1.6081257525769e-06,-1.637448764300794e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.799999999999947,1.7660055441065952e-06,-1.7872074221563695e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.699999999999948,1.946642448901303e-06,-1.968558868391137e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.599999999999948,2.109662987575483e-06,-2.1404657140949766e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.4999999999999485,2.285850174974843e-06,-2.3255320010231786e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.399999999999949,2.467355100629462e-06,-2.5066975794572626e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.299999999999949,2.624574733849134e-06,-2.6645771419679095e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.1999999999999496,2.7468877584899905e-06,-2.7865559195300614e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-4.09999999999995,2.8675292311516197e-06,-2.9068712096051027e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.9999999999999503,2.9678947078243574e-06,-3.0257000367144213e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.8999999999999506,3.0872827436111066e-06,-3.1454965379156962e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.799999999999951,3.206923677211048e-06,-3.2466054956854437e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.6999999999999513,3.2659247525749545e-06,-3.3063859838735373e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.5999999999999517,3.3261724121561902e-06,-3.365757086789168e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.499999999999952,3.375568290725577e-06,-3.4068744098953547e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.3999999999999524,3.4269536922088755e-06,-3.4811796149069484e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.2999999999999527,3.514895213471496e-06,-3.5643945157006007e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.199999999999953,3.5657474885492377e-06,-3.6062559609660186e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
0.0,1.0,-3.0999999999999535,3.6091125360878683e-06,-3.6653367855452544e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-205.hdf5
