VectorMagnet - Field Z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.560390874509712e-06,3.478638512776305e-06,-3.7454345398344783e-05,1.1670911938277976e-05,-3.5568886901542155e-06,3.472805869629476e-06,4.706611886238855e-09,7.35621777767906e-09,29,35,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-8.408282052473957e-08,8.733048462039262e-09,7.029694559783692e-06,8.733048462039262e-09,-0.011961091596464305,0.0012423972441553133
-0.045,-3.623083275429423e-06,3.561373527020537e-06,-3.437049881589374e-05,1.4511916595087816e-05,-3.619249917526955e-06,3.557349261772538e-06,4.669666739213095e-09,5.93431958818164e-09,29,35,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-6.190065575441682e-08,7.551287071088568e-09,7.176599179299493e-06,7.551287071088568e-09,-0.008625346659036758,0.0010522488120427748
-0.04,-3.6749369398723313e-06,3.630362063603868e-06,-3.1712647218710955e-05,1.7636308708165685e-05,-3.669846840329394e-06,3.626489389255028e-06,4.097109415491617e-09,5.933811475482751e-09,29,35,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-4.33574510743659e-08,7.210854608788118e-09,7.296336229584421e-06,7.210854608788118e-09,-0.005942359248545131,0.0009883017577991065
-0.035,-3.720067736899121e-06,3.6878529612933354e-06,-2.8766110198458708e-05,2.073827778790441e-05,-3.717542341074968e-06,3.6840987193335935e-06,3.3571306753059247e-09,5.7026058044756194e-09,29,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-3.3443621741374607e-08,6.617404274511195e-09,7.401641060408561e-06,6.617404274511195e-09,-0.004518406319412706,0.0008940546793077864
-0.03,-3.758219773367143e-06,3.732982902522861e-06,-2.4092539137840707e-05,2.5399354100071488e-05,-3.755459099161252e-06,3.7299808273720633e-06,5.176850701944574e-09,5.9061937957318934e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-2.5478271789188712e-08,7.85384672265546e-09,7.485439926533315e-06,7.85384672265546e-09,-0.00340371067555789,0.0010492225298688101
-0.025,-3.7933406236618735e-06,3.772834471420936e-06,-2.1760853688789607e-05,2.7793408630851917e-05,-3.7902928965737416e-06,3.7689847238112314e-06,4.488376472718839e-09,6.664804247610208e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-2.1308172762510186e-08,8.035243556969451e-09,7.559277620384973e-06,8.035243556969451e-09,-0.002818810716125679,0.0010629686966424042
-0.02,-3.823530118810881e-06,3.802552790117543e-06,-1.843936197568529e-05,3.089514202649884e-05,-3.819947075193962e-06,3.797976700023784e-06,3.6763025651758313e-09,7.283470526390936e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-2.197037517017841e-08,8.15868515506781e-09,7.617923775217747e-06,8.15868515506781e-09,-0.0028840371495513447,0.0010709898558141674
-0.015,-3.841786175460553e-06,3.8233305748631855e-06,-2.2078317156718383e-05,2.7913675327785293e-05,-3.8394113239737725e-06,3.820207310097561e-06,4.063913601794978e-09,6.937186966870537e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-1.9204013876211338e-08,8.039897808814031e-09,7.659618634071334e-06,8.039897808814031e-09,-0.0025071762438391514,0.0010496505716537463
-0.01,-3.853215426191092e-06,3.836320918592994e-06,-2.3229289717181022e-05,2.6985109125455678e-05,-3.851236783879086e-06,3.834316364814776e-06,3.8772689948860505e-09,6.470413258009326e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-1.69204190643104e-08,7.543173243942336e-09,7.685553148693862e-06,7.543173243942336e-09,-0.002201587671953837,0.0009814767237720909
-0.005,-3.85875482651566e-06,3.845907507986278e-06,-1.683845642751258e-05,3.383380661298057e-05,-3.857383936402732e-06,3.843220439484213e-06,4.716335695943866e-09,7.334713563686399e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-1.4163496918518655e-08,8.720197558436366e-09,7.700604375886945e-06,8.720197558436366e-09,-0.0018392708191670116,0.0011324062219820804
0.0,-3.8558715032244e-06,3.850789602570946e-06,-2.267715979733859e-05,2.7557326809894275e-05,-3.85619057547989e-06,3.8487727883066304e-06,5.034870576789489e-09,6.286463261879942e-09,31,33,-2.0,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-025.hdf5,-7.417787173259281e-09,8.054163027154759e-09,7.70496336378652e-06,8.054163027154759e-09,-0.0009627284158316739,0.0010453218762198197
