VectorMagnet - Field Z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.501999410713735e-06,3.445898126251232e-06,-3.824237357564737e-05,8.139970974008654e-06,-3.5016041468305764e-06,3.4473853753902435e-06,1.885321206574126e-09,1.5603542723298567e-09,19,19,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-5.421877144033289e-08,2.4472722584821154e-09,6.94898952222082e-06,2.4472722584821154e-09,-0.007802396487569486,0.00035218742830127455
-0.045,-3.5612789557297995e-06,3.525954395106436e-06,-3.3261890375331866e-05,1.3368804923793278e-05,-3.56225667190834e-06,3.52602815133924e-06,1.429851723090532e-09,2.217984649118649e-09,21,19,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-3.6228520569100135e-08,2.6389262691009273e-09,7.08828482324758e-06,2.6389262691009273e-09,-0.0051110418771944345,0.0003722989133034205
-0.04,-3.6126821947136178e-06,3.59576447464664e-06,-2.9901723623870464e-05,1.795644630250484e-05,-3.6133473552602023e-06,3.595300812046291e-06,1.6943951500201164e-09,1.8681000255692303e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.8046543213911434e-08,2.522057221782141e-09,7.208648167306494e-06,2.522057221782141e-09,-0.002503457346657343,0.00034986658614455347
-0.035,-3.6616741768263263e-06,3.650705945730352e-06,-2.5671823680575977e-05,2.279024212191575e-05,-3.662655185782241e-06,3.6497886007745192e-06,1.6440304660770064e-09,1.358388829616475e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.2866585007721693e-08,2.1326172619146165e-09,7.3124437865567606e-06,2.1326172619146165e-09,-0.0017595465186858185,0.00029164266084731047
-0.03,-3.706010951249469e-06,3.695709971832772e-06,-2.443320475782364e-05,2.4377301411813745e-05,-3.706124544683747e-06,3.695010724819955e-06,1.7242392080420635e-09,2.477565766893519e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.1113819863791952e-08,3.018498463778339e-09,7.401135269503702e-06,3.018498463778339e-09,-0.0015016371757973844,0.0004078430885382761
-0.025,-3.740815323378441e-06,3.730808928808317e-06,-1.944638202231316e-05,2.9563080193909816e-05,-3.73954159543428e-06,3.730621050590213e-06,1.8694072580169907e-09,1.627744867034702e-09,23,15,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-8.920544844067079e-09,2.478757117687093e-09,7.470162646024493e-06,2.478757117687093e-09,-0.001194156709401027,0.00033182127384765104
-0.02,-3.770764929570147e-06,3.7565897375983865e-06,-2.590120693698464e-05,2.2742243624080304e-05,-3.76870043596707e-06,3.7575138353412496e-06,2.291104309026526e-09,1.7099601509435602e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.1186600625820219e-08,2.858867375842195e-09,7.52621427130832e-06,2.858867375842195e-09,-0.0014863516002283038,0.00037985505471226804
-0.015,-3.790721973681232e-06,3.7759102846368944e-06,-2.1049254295333625e-05,2.762528275427228e-05,-3.788780324092766e-06,3.776512484489737e-06,2.3652464147060404e-09,1.4427377629980035e-09,23,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.2267839603029211e-08,2.7705383691730855e-09,7.565292808582503e-06,2.7705383691730855e-09,-0.0016215948164110539,0.0003662174197262491
-0.01,-3.8031832212547713e-06,3.7868976552598623e-06,-2.783985796334114e-05,2.1083953981149666e-05,-3.802379024891514e-06,3.788872396500184e-06,1.8496880671487795e-09,1.636834980529657e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.3506628391329927e-08,2.4699341487655314e-09,7.591251421391698e-06,2.4699341487655314e-09,-0.0017792360760531586,0.0003253663883815149
-0.005,-3.809049859053813e-06,3.795889381620219e-06,-1.3791999060844864e-05,3.466267894193653e-05,-3.807877880520193e-06,3.796595018344504e-06,2.4941830325189087e-09,1.5506658569598802e-09,23,15,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.12828621756887e-08,2.93692247082662e-09,7.604472898864697e-06,2.93692247082662e-09,-0.001483713904401338,0.0003862102926218695
0.0,-3.810715487987045e-06,3.8007476932008938e-06,-2.4926925588829253e-05,2.2876187826967557e-05,-3.8107684808982217e-06,3.800655355313234e-06,2.262468555082481e-09,1.828938125839635e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.011312558498783e-08,2.90925740196477e-09,7.611423836211455e-06,2.90925740196477e-09,-0.0013286772360349313,0.00038222283143659133
0.005,-3.8063766134142536e-06,3.8007280412641945e-06,-3.6418622822392106e-05,1.2015648395578298e-05,-3.807797503721106e-06,3.799878298360756e-06,1.761980047957372e-09,1.6392879991283766e-09,19,19,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-7.9192053603499e-09,2.406623949329471e-09,7.6076758020818625e-06,2.406623949329471e-09,-0.0010409493735501697,0.0003163417206277416
0.01,-3.796223740298862e-06,3.790750738828159e-06,-2.8171094979195924e-05,2.048867416290813e-05,-3.797374454318752e-06,3.789709740614102e-06,1.5513492302324532e-09,1.68869532738653e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-7.664713704650256e-09,2.2931149868421175e-09,7.587084194932854e-06,2.2931149868421175e-09,-0.0010102317975816386,0.0003022394503692901
0.015,-3.781325200980292e-06,3.775750005752957e-06,-2.6542538628122608e-05,2.278207724165009e-05,-3.782776835747115e-06,3.7747140843552663e-06,1.994668063539681e-09,9.822977380810095e-10,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-8.062751391848937e-09,2.2234229309657236e-09,7.557490920102381e-06,2.2234229309657236e-09,-0.0010668555843583746,0.0002942013718309476
0.02,-3.765653713154718e-06,3.75532555706023e-06,-2.7140134551509143e-05,2.199169533242266e-05,-3.7638266543713822e-06,3.75412561580868e-06,2.3534020972346633e-09,1.571170740401248e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-9.701038562702033e-09,2.8296782373198402e-09,7.517952270180063e-06,2.8296782373198402e-09,-0.0012903831008852207,0.0003763898055558549
0.025,-3.735678200703957e-06,3.7216786714014704e-06,-2.809878454273589e-05,2.0637049358932746e-05,-3.7348083522326e-06,3.7221593087131673e-06,1.7647314600518759e-09,1.5250579643440667e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.2649043519432599e-08,2.3323976763635514e-09,7.456967660945767e-06,2.3323976763635514e-09,-0.001696271741351272,0.0003127814331453521
0.03,-3.70069324195025e-06,3.6868108552535607e-06,-2.5440143956809608e-05,2.3369181275822355e-05,-3.698926876843367e-06,3.686542801217518e-06,2.04678011329996e-09,1.7446917670573456e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-1.2384075625848949e-08,2.6894717314442775e-09,7.385469678060885e-06,2.6894717314442775e-09,-0.001676816257554589,0.00036415768118876874
0.035,-3.655665482840864e-06,3.6457427401271656e-06,-2.836509592406496e-05,2.0531710044271308e-05,-3.651595881248557e-06,3.645062889842413e-06,2.298306124265214e-09,1.4674070194285083e-09,19,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,-6.53299140614403e-09,2.72681029804111e-09,7.296658771090969e-06,2.72681029804111e-09,-0.0008953401291050426,0.0003737068535801954
0.04,-3.596217893511017e-06,3.5960822532166656e-06,-2.4558346892204985e-05,2.3395618077330265e-05,-3.5952099012761875e-06,3.5972183481337123e-06,2.333524902194124e-09,1.2654943687250762e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,2.008446857524804e-09,2.6545836710179195e-09,7.1924282494099e-06,2.6545836710179195e-09,0.00027924461501435016,0.0003690803275979408
0.045,-3.52699288488693e-06,3.5458041670170004e-06,-2.429361759162955e-05,2.243547610973369e-05,-3.527683727742689e-06,3.544396642608725e-06,2.0125981658686317e-09,1.673064682121957e-09,23,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,1.671291486603595e-08,2.617192543131213e-09,7.072080370351414e-06,2.617192543131213e-09,0.0023632246794171373,0.0003700749587606615
0.05,-3.4454893143839764e-06,3.4858894223105438e-06,-2.6291817758883192e-05,2.018449455086256e-05,-3.4449939332043704e-06,3.4861598921747903e-06,1.515570503439787e-09,1.4476695780269406e-09,21,17,-2.4,2024/06/Data_0611/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-029.hdf5,4.116595897041991e-08,2.095877181048887e-09,6.93115382537916e-06,2.095877181048887e-09,0.005939264948887205,0.0003023903666578687
