VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.5,-7.310122287291674e-07,7.361803266839051e-07,-0.0001131862232204,-0.0001150325966324,-7.308282363579672e-07,7.361354860038041e-07,8.32551873800784e-10,6.944570902285086e-10,37,37,2023/08/Data_0810/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-541.hdf5,5.307249645836906e-09,1.0841647811738968e-09,1.4669637223617714e-06,1.0841647811738968e-09,0.0036178465526689,0.0007390584101293
0.55,-6.30647348317033e-07,6.323065896746271e-07,-0.0001495115110272,-0.0001512730026121,-6.308546951022763e-07,6.326409470131632e-07,4.330790247543443e-10,3.742087277958465e-10,37,35,2023/08/Data_0810/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-543.hdf5,1.7862519108868674e-09,5.723544475591675e-10,1.2634956421154395e-06,5.723544475591675e-10,0.0014137380861054,0.0004529932676065
0.6,-5.457604251600281e-07,5.452394287548276e-07,-0.0002004210381846,-0.0002024481680085,-5.463805410236046e-07,5.45715721891769e-07,8.208300990909252e-10,8.091064807815822e-10,38,37,2023/08/Data_0811/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-545.hdf5,-6.64819131835614e-10,1.152569021280884e-09,1.0920962629153736e-06,1.152569021280884e-09,-0.0006087550652914,0.0010553732981057
0.65,-4.758376033219782e-07,4.721874442537316e-07,-0.0003236369880836,-0.0003254637419847,-4.760395989690352e-07,4.722288170700885e-07,4.3335639599699517e-10,3.6652505853590385e-10,31,33,2023/08/Data_0814/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-548.hdf5,-3.810781898946703e-09,5.675723605728631e-10,9.482684160391236e-07,5.675723605728631e-10,-0.0040186742851398,0.0005985403858529
0.7,-4.1160305922853683e-07,4.081315328243914e-07,-0.0003714478233005,-0.0003737314590239,-4.113397704736534e-07,4.079349277904494e-07,4.0005681729628527e-10,4.77509118665286e-10,35,35,2023/08/Data_0814/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-550.hdf5,-3.404842683203996e-09,6.229449538071012e-10,8.192746982641028e-07,6.229449538071012e-10,-0.0041559231481434,0.0007603680850416
0.8,-3.081216604065395e-07,3.062473918825422e-07,-0.000533758358926,-0.0005352328897831,-3.0771473407245257e-07,3.057685455193353e-07,4.90010388854289e-10,7.942460268857851e-10,43,43,2023/08/Data_0815/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-552.hdf5,-1.946188553117256e-09,9.33240018649536e-10,6.134832795917879e-07,9.33240018649536e-10,-0.0031723579400766,0.0015212227385476
0.85,-2.698432084578003e-07,2.701458987482929e-07,-0.0006050778458717,-0.0006074764037094,-2.700961383485981e-07,2.690247704579693e-07,7.311391352441683e-10,6.559904548517767e-10,39,39,2023/08/Data_0815/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-554.hdf5,-1.071367890628811e-09,9.82287082243389e-10,5.391209088065673e-07,9.82287082243389e-10,-0.0019872497488558,0.0018220198953535
0.9,-2.384425252557429e-07,2.3813629247949202e-07,-0.0006729725291048,-0.0006757873781301,-2.382933781602843e-07,2.376980217676299e-07,7.80523057350772e-10,7.78413629805254e-10,40,41,2023/08/Data_0815/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-556.hdf5,-5.95356392654412e-10,1.102335712078125e-09,4.759913999279142e-07,1.102335712078125e-09,-0.0012507713222225,0.0023158749811606
0.95,-2.1191927725980055e-07,2.113568351573289e-07,-0.0007401546671094,-0.0007425912350134,-2.110243013375901e-07,2.11317934470305e-07,7.85943584633526e-10,7.31912837482001e-10,45,45,2023/08/Data_0815/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-558.hdf5,2.936331327149036e-10,1.0739663495182476e-09,4.223422358078951e-07,1.0739663495182476e-09,0.0006952492737393,0.0025428823310229
1.0,-1.8786453994827058e-07,1.8738281947551986e-07,-0.0008088182539142,-0.0008096502724915,-1.8686222921248214e-07,1.869844540968771e-07,8.675446930203535e-10,8.111060896614152e-10,37,36,2023/08/Data_0815/JS633-W2_Wsc@v3.1_Wsc=1.2um-E_WFS01-558.hdf5,1.2222488439495974e-10,1.1876560457782426e-09,3.738466833093593e-07,1.1876560457782426e-09,0.0003269385281501,0.0031768534061569
