angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,-3.855718157434713e-06,3.895698154139723e-06,-6.490375074702542e-05,-1.3901529496234693e-05,-3.85518433820889e-06,3.896100485338197e-06,1.6307573814035751e-09,2.1280450907088472e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.091614712930733e-08,2.681034416991373e-09,7.751284823547086e-06,2.681034416991373e-09,0.0052786277450431,0.0003458874018715
15.0,-3.8528292309099016e-06,3.890907032369745e-06,-6.855994084643993e-05,-1.6792695132010528e-05,-3.8514773251735e-06,3.89113622493671e-06,1.305451563385175e-09,2.272064629438573e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.9658899763209616e-08,2.6203971959782434e-09,7.742613550110211e-06,2.6203971959782434e-09,0.0051221592691585,0.0003384427692069
30.0,-3.832959469387591e-06,3.872686855016418e-06,-7.13753984085582e-05,-2.0418320634100803e-05,-3.834802593385033e-06,3.872239055295418e-06,1.603049092955073e-09,2.373719108991579e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.7436461910384953e-08,2.864316463454389e-09,7.707041648680452e-06,2.864316463454389e-09,0.0048574360457484,0.0003716536623449
45.0,-3.8083961264907785e-06,3.840803479761552e-06,-7.289141400959897e-05,-2.2415708760154694e-05,-3.809479504847289e-06,3.840542216983443e-06,1.5519798845029995e-09,3.2390591846925876e-09,17,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.106271213615404e-08,3.591677319003386e-09,7.650021721830733e-06,3.591677319003386e-09,0.0040604737170236,0.0004695028404201
60.0,-3.785586052661847e-06,3.808310190105936e-06,-7.286899052557642e-05,-2.309312361039856e-05,-3.784518621310162e-06,3.8067513700577055e-06,1.377574369581715e-09,2.309573543521521e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,2.223274874754445e-08,2.6892082657657836e-09,7.591269991367868e-06,2.6892082657657836e-09,0.0029287258617893,0.0003542516340551
75.0,-3.7707369616812833e-06,3.778591392250136e-06,-7.342462870856484e-05,-2.411056872082149e-05,-3.768951100527561e-06,3.777004909428955e-06,1.530798017428031e-09,3.472936491862569e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,8.053808901394376e-09,3.795343258082499e-09,7.545956009956516e-06,3.795343258082499e-09,0.0010673013320999,0.0005029641591831
90.0,-3.768477680715869e-06,3.762013342974614e-06,-7.31559556712393e-05,-2.368554703513813e-05,-3.769492085007817e-06,3.7611095385108138e-06,1.2955593076365118e-09,1.8770191815789164e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-8.382546497003144e-09,2.280718072804875e-09,7.530601623518631e-06,2.280718072804875e-09,-0.001113131050622,0.0003028601962764
105.0,-3.7828339858633374e-06,3.758140334936266e-06,-7.263667214907963e-05,-2.4488277893873227e-05,-3.7823636995586895e-06,3.75838047898382e-06,1.10293760763088e-09,2.358847590977191e-09,17,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-2.398322057487048e-08,2.603964923685691e-09,7.54074417854251e-06,2.603964923685691e-09,-0.0031804845791103,0.0003453211025567
120.0,-3.808275367349624e-06,3.7720211952558073e-06,-7.708922199435306e-05,-2.8104158337785897e-05,-3.808873067513493e-06,3.771281077014224e-06,9.554676545475171e-10,3.0132649363364246e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.7591990499268986e-08,3.161120689793588e-09,7.580154144527717e-06,3.161120689793588e-09,-0.0049592646511558,0.0004170310394837
135.0,-3.839563872325723e-06,3.795468576466837e-06,-7.004780643859668e-05,-2.0837017240437736e-05,-3.839466896797584e-06,3.79573321857762e-06,1.4265563802210759e-09,1.8384676179056518e-09,15,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-4.3733678219963534e-08,2.327020904082544e-09,7.635200115375204e-06,2.327020904082544e-09,-0.0057279020273346,0.0003047803648966
150.0,-3.870452687316698e-06,3.825677847586369e-06,-6.552779462708409e-05,-1.576252235798989e-05,-3.868699982935284e-06,3.824375846159869e-06,1.3746630143553204e-09,2.568716224937947e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-4.4324136775414655e-08,2.913417485925406e-09,7.693075829095152e-06,2.913417485925406e-09,-0.0057615624439552,0.0003787127420255
165.0,-3.892941754918973e-06,3.850354008242547e-06,-6.027569814029529e-05,-9.63075268184287e-06,-3.891890712926245e-06,3.850000403994862e-06,1.840398438268578e-09,2.069643981840042e-09,19,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-4.1890308931383425e-08,2.7695654213518996e-09,7.741891116921108e-06,2.7695654213518996e-09,-0.0054108625785017,0.00035774282047
180.0,-3.905405889385103e-06,3.865456286696766e-06,-5.596575973214485e-05,-5.787581190747792e-06,-3.904401027829748e-06,3.8648431129996974e-06,1.7564481689637027e-09,1.606163204326279e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.955791483005081e-08,2.3800988234078863e-09,7.769244140829447e-06,2.3800988234078863e-09,-0.0050916040367638,0.0003063527971858
195.0,-3.900716946494015e-06,3.86204602483693e-06,-5.863787750872541e-05,-8.639995489375454e-06,-3.900753017441195e-06,3.863721841861216e-06,2.212753754249917e-09,2.248776229192172e-09,19,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.703117557997864e-08,3.154880933716337e-09,7.764474859302411e-06,3.154880933716337e-09,-0.0047693084530517,0.0004063271337238
210.0,-3.882931471444496e-06,3.845039882464527e-06,-5.305701012269244e-05,-3.455127010796613e-06,-3.881902043711039e-06,3.846490962149797e-06,1.7610649215445103e-09,1.597010841150656e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.5411081561241895e-08,2.37735005513435e-09,7.728393005860837e-06,2.37735005513435e-09,-0.0045819462771093,0.0003076156981819
225.0,-3.850570371259363e-06,3.820532771449682e-06,-4.9422341941334685e-05,-5.789780767865616e-07,-3.850771642412106e-06,3.820205238645559e-06,2.0272654773425767e-09,1.987721776605817e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.056640376654657e-08,2.8391624076156702e-09,7.670976881057665e-06,2.8391624076156702e-09,-0.0039846820346996,0.0003701203889961
240.0,-3.817893944668866e-06,3.795371375153397e-06,-4.201755835454806e-05,6.897191933695427e-06,-3.816880061953355e-06,3.795157580907584e-06,2.329708646859128e-09,1.290407764206135e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-2.17224810457714e-08,2.663211327922301e-09,7.61203764286094e-06,2.663211327922301e-09,-0.0028537012118094,0.0003498698110716
255.0,-3.787888078881915e-06,3.7780745091274806e-06,-4.048560042072989e-05,7.26570075929899e-06,-3.787456607112005e-06,3.7783745639799217e-06,1.5813838108273316e-09,1.5266209369090044e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-9.082043132083168e-09,2.198032356940111e-09,7.565831171091927e-06,2.198032356940111e-09,-0.0012004025634069,0.0002905211457775
270.0,-3.768770816342719e-06,3.7757822784145983e-06,-3.677327085003439e-05,1.0995651709849204e-05,-3.7687614210839418e-06,3.775899356814229e-06,2.670704838838192e-09,1.797728858501018e-09,23,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,7.137935730287213e-09,3.2193933255942964e-09,7.54466077789817e-06,3.2193933255942964e-09,0.0009460910093131,0.0004267116655324
285.0,-3.764001668319497e-06,3.788490588228711e-06,-4.262788914539302e-05,4.570242856657712e-06,-3.765089719005514e-06,3.788329016248278e-06,1.5284953482663455e-09,1.689485238916857e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,2.3239297242764072e-08,2.278301648638697e-09,7.553418735253792e-06,2.278301648638697e-09,0.0030766594647136,0.0003016266556217
300.0,-3.7758068978667056e-06,3.812871766254376e-06,-4.067234860919813e-05,7.590557092833904e-06,-3.775545092613928e-06,3.81322450927713e-06,1.646339742916047e-09,1.543565435016545e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,3.767941666320218e-08,2.256773980992047e-09,7.588769601891058e-06,2.256773980992047e-09,0.0049651549117807,0.0002973870491621
315.0,-3.7961926974869858e-06,3.8396347842366725e-06,-5.123989245253673e-05,-2.290002411944404e-06,-3.79687039890983e-06,3.840331866118179e-06,2.712997641786491e-09,1.079244911246796e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.346146720834953e-08,2.919781803969462e-09,7.63720226502801e-06,2.919781803969462e-09,0.0056907576492201,0.000382316584061
330.0,-3.825421308376508e-06,3.868719313507605e-06,-5.4953815510789554e-05,-5.330716014900137e-06,-3.823969397095891e-06,3.869274851419097e-06,1.849770552352326e-09,1.4141109524889264e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.530545432320649e-08,2.328381601520457e-09,7.693244248514987e-06,2.328381601520457e-09,0.0058889920636474,0.0003026580075137
345.0,-3.847871732857834e-06,3.8911022438725774e-06,-4.700678439934795e-05,3.2179766237883026e-06,-3.84679817966144e-06,3.890358429367552e-06,2.570548500179722e-09,1.2281614035697704e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.3560249706112087e-08,2.848876976107372e-09,7.737156609028992e-06,2.848876976107372e-09,0.0056300074959422,0.0003682130619961
360.0,-3.8583572756470005e-06,3.900299828080402e-06,-5.446034954917722e-05,-3.2573671877101546e-06,-3.859140148469401e-06,3.899953873169966e-06,1.5513796783443983e-09,1.6559318820692123e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,4.0813724700565614e-08,2.2691164149142404e-09,7.759094021639366e-06,2.2691164149142404e-09,0.0052601147230256,0.0002924500979419
