imax,b,c,bstar,imax_err,b_err,c_err,bstar_err,ndata,chisqr,redchi,rsquared,datapath,bcol,icp_col,icm_col,icp_err_col,icm_err_col,bmax,bmask,invert_current,remove_zero_field_offset,quiet,parent_csv,device,wsc,gate
3.975190646561825e-06,26.418759027436742,-0.0542924069145964,0.0086643745661825,0.0,0.1823405385800444,0.0228306912007721,0.0005341582478003,50,2.639544659055219e-15,5.616052466074935e-17,0.997443809229093,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_2.0V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_2.0V/fit_diode/data_fit.csv,0.9-ENE,9e-07,2.0
2.176850357883755e-06,33.180811743505004,-0.3124804540918239,-0.0073980006260229,0.0,0.8608436060926278,0.0475782128203258,0.001254823411598,50,5.725158595810798e-15,1.21811885017251e-16,0.982865576611592,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.0V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-5.0V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-5.0
3.4778547462982777e-06,31.08767905703093,-0.3060647497979892,-0.0070535150939795,0.0,0.6159593058002756,0.0372845720704455,0.0009802126787842,50,7.884190352688714e-15,1.677487309082705e-16,0.9896097223785406,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.1V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-4.1V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-4.1
3.541848944444886e-06,29.886592522765515,-0.305860837810453,-0.0063747985761668,0.0,0.5610170582854346,0.0361045796948632,0.0009507910898937,50,7.207628609615247e-15,1.533538002045797e-16,0.99023515625909,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.0V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-4.0V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-4.0
1.0732757052754058e-06,32.94356947026882,-0.1429653328076008,-0.0014039802558666,0.0,1.1012714321797767,0.1103301866957595,0.0027166162008928,50,7.008931979239326e-15,1.4912621232424096e-16,0.925294306152961,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.6V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-5.6V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-5.6
3.953789809224713e-06,29.102412707968547,-0.2067828174983934,-0.0013844953180199,0.0,0.327842409193786,0.0322412376650546,0.0008105264816584,50,6.700518664222928e-15,1.425642268983602e-16,0.9930177974480652,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-3.3V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-3.3V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-3.3
2.694833113776384e-06,33.244373277152896,-0.3407429244866846,-0.0088789935185834,0.0,0.7278509528362946,0.0359591400674834,0.0009623872737059,50,5.011075482267159e-15,1.0661862728227996e-16,0.9897921322696784,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.7V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-4.7V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-4.7
4.104405208578983e-06,27.6735116156052,-0.0943436660224245,0.0080295746236579,0.0,0.2221764338783128,0.0274072163019011,0.0006454782966131,50,4.613999283618622e-15,9.817019752380048e-17,0.9963363653053304,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_0.0V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_0.0V/fit_diode/data_fit.csv,0.9-ENE,9e-07,0.0
4.095355937893735e-06,28.71373344686164,-0.1535742215965763,0.0043351378589381,0.0,0.2220170006245361,0.0271208052853694,0.000659970862396,50,5.0332029885672425e-15,1.0708942528866474e-16,0.995836131935974,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-1.5V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-1.5V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-1.5
2.339181031024774e-06,34.60698874667891,-0.2993133881601905,-0.0075200490942379,0.0,1.241111142068364,0.0675497138110561,0.0017655454629075,50,1.4220783719208977e-14,3.0256986636614846e-16,0.9657600012696408,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.9V/data.csv,,ic+ from fit,ic- from fit,rmse+,rmse-,0.15,,False,True,True,diode-lowfield_-4.9V/fit_diode/data_fit.csv,0.9-ENE,9e-07,-4.9
