VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.0,3.289515175337937e-06,-3.2909890782779504e-06,-2.0213858792785823e-06,2.2326112418089112e-05,3.2821553881704955e-06,-3.284363099328076e-06,1.2962679444630094e-08,8.23567011713057e-09,35,31,2023/05/Data_0530/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-098.hdf5,-2.207711157580606e-09,1.5357646976748523e-08,6.566518487498572e-06,1.5357646976748523e-08,-0.00033620725530335093,0.0023387808736037
0.0,3.291015328618668e-06,-3.2911404758286948e-06,-2.8526242429397586e-05,6.783229024808928e-07,3.2769131368026706e-06,-3.2781546360690776e-06,7.984587855256602e-09,6.8571568739634845e-09,37,41,2023/05/Data_0522/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-051.hdf5,-1.24149926640707e-09,1.0524934375684054e-08,6.555067772871748e-06,1.0524934375684054e-08,-0.00018939533646700562,0.001605617962946086
0.025,3.26282477438318e-06,-3.224457499413081e-06,-1.3700422957510975e-05,1.643455611738588e-05,3.2516855927515266e-06,-3.2172256151613963e-06,1.0369083557534702e-08,5.684243044132991e-09,37,31,2023/05/Data_0526/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-084.hdf5,3.445997759013021e-08,1.1824910689214984e-08,6.4689112079129225e-06,1.1824910689214984e-08,0.0053270135394620916,0.0018279858984211169
0.05,3.159993889613488e-06,-3.0789579695100968e-06,-3.5779976151937525e-05,-8.76620686585422e-06,3.1627760774665296e-06,-3.073053539474855e-06,6.194057283021909e-09,6.737104653327525e-09,29,33,2023/05/Data_0522/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-052.hdf5,8.97225379916745e-08,9.151771671935666e-09,6.235829616941385e-06,9.151771671935666e-09,0.0143882279509238,0.001467762830302858
0.075,2.9852577667720057e-06,-2.8156004360137453e-06,-2.716848096648976e-05,4.341775724069058e-07,2.9746313612520126e-06,-2.8089234307110782e-06,6.5613955487679595e-09,7.201148721598268e-09,39,45,2023/05/Data_0527/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-085.hdf5,1.6570793054093443e-07,9.742097025690534e-09,5.783554791963091e-06,9.742097025690534e-09,0.028651570963104646,0.0016851392025587775
0.1,2.7839573732131603e-06,-2.5584469463116973e-06,-3.589751190775733e-05,-7.915935217494197e-06,2.777350383961463e-06,-2.557439602025276e-06,1.0409194471134174e-08,6.233522549126097e-09,33,35,2023/05/Data_0522/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-053.hdf5,2.199107819361868e-07,1.213293587341307e-08,5.334789985986739e-06,1.213293587341307e-08,0.041222012959055865,0.0022762358034511955
0.125,2.5415345259416524e-06,-2.2909956448765e-06,-4.697262366390858e-05,-2.28123657987218e-05,2.537066863177254e-06,-2.2889411041138017e-06,2.874484121211424e-09,1.942867311162117e-09,37,41,2023/05/Data_0527/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-086.hdf5,2.4812575906345225e-07,3.4694945383843634e-09,4.826007967291056e-06,3.4694945383843634e-09,0.051414287076432384,0.0007198656149225894
0.15,2.2856650609861457e-06,-2.0532512069879404e-06,-6.658812442747999e-05,-5.021064538393493e-05,2.286516694935152e-06,-2.0564820489574016e-06,3.6420148042134076e-09,6.471844486679276e-09,43,47,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-059.hdf5,2.3003464597775058e-07,7.426240158644923e-09,4.342998743892554e-06,7.426240158644923e-09,0.05296677699970379,0.001712330669043489
0.175,2.0179986882178767e-06,-1.841650220042836e-06,-4.297473312006089e-05,-2.772397382184977e-05,2.0154737389088937e-06,-1.8396215497028744e-06,2.9879488683768755e-09,2.02554019245094e-09,45,43,2023/05/Data_0527/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-087.hdf5,1.7585218920601935e-07,3.60979937271711e-09,3.855095288611768e-06,3.60979937271711e-09,0.04561552336345602,0.0009373446678955268
0.2,1.7592254889393855e-06,-1.6492421767141616e-06,-4.824688373423896e-05,-3.7611234585807874e-05,1.7553401182993656e-06,-1.6447471671804134e-06,3.806291431098169e-09,2.6915981220208382e-09,45,43,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-060.hdf5,1.1059295111895222e-07,4.661818841280456e-09,3.400087285479779e-06,4.661818841280456e-09,0.03252650353749571,0.0013718130853679357
0.225,1.524406277737703e-06,-1.4677738730019636e-06,-5.347251123584114e-05,-4.527072563341761e-05,1.5261205422935273e-06,-1.4678845350577228e-06,2.437781585763169e-09,2.081123862522439e-09,47,45,2023/05/Data_0527/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-088.hdf5,5.8236007235804435e-08,3.2052855709041445e-09,2.9940050773512503e-06,3.2052855709041445e-09,0.019450871234769223,0.0010707703456835922
0.25,1.3394053312374185e-06,-1.3091165027023462e-06,-5.4603512982624856e-05,-4.65695205290611e-05,1.3373128603067949e-06,-1.3070794502921624e-06,2.236224850809629e-09,2.568733958175938e-09,45,45,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-061.hdf5,3.02334100146325e-08,3.4057445193767497e-09,2.6443923105989572e-06,3.4057445193767497e-09,0.011433027502558653,0.001287996144859895
0.275,1.1861624071432943e-06,-1.1642610817872684e-06,-5.300858189332336e-05,-4.60227320281002e-05,1.1864354220442229e-06,-1.1645081278381867e-06,1.993918031018016e-09,2.097612496167226e-09,45,47,2023/05/Data_0527/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-089.hdf5,2.1927294206036175e-08,2.8940779703552673e-09,2.3509435498824094e-06,2.8940779703552673e-09,0.00932701859520742,0.0012310818141184434
0.3,1.075562213289344e-06,-1.057447668286936e-06,-6.641291402066443e-05,-6.001253056219154e-05,1.075676149549833e-06,-1.0576863494912414e-06,3.366804478228719e-09,4.331895182394602e-09,41,43,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-062.hdf5,1.7989800058591526e-08,5.486409414715103e-09,2.1333624990410745e-06,5.486409414715103e-09,0.008432603491754337,0.002571810688391257
0.325,9.839491884387613e-07,-9.682121988688732e-07,-6.336479961636666e-05,-5.715461015790247e-05,9.832204114800811e-07,-9.67531077037665e-07,2.096039117394841e-09,2.133064869371959e-09,43,43,2023/05/Data_0527/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-090.hdf5,1.5689334442416078e-08,2.9905427130536284e-09,1.950751488517746e-06,2.9905427130536284e-09,0.008042713044057405,0.0015330704351983941
0.35,9.221795544044436e-07,-9.095422698758072e-07,-7.739939657057642e-05,-7.094822105120738e-05,9.213964035479448e-07,-9.085219992097088e-07,3.674522052342543e-09,3.752257651239577e-09,41,41,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-063.hdf5,1.2874404338236055e-08,5.2518139527631405e-09,1.8299184027576537e-06,5.2518139527631405e-09,0.0070355073312747506,0.0028700426867875445
0.375,8.654987983718243e-07,-8.552604478506963e-07,-7.41855844485394e-05,-6.802658838633317e-05,8.659432444070323e-07,-8.553288238722315e-07,4.799765671428587e-10,5.45993734750533e-10,43,43,2023/05/Data_0529/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-092.hdf5,1.061442053480078e-08,7.269708820806225e-10,1.7212720682792636e-06,7.269708820806225e-10,0.006166614058527016,0.00042235316406645377
0.4,8.253208043537852e-07,-8.161662678405147e-07,-7.573510812993478e-05,-6.955638025413681e-05,8.23065304769862e-07,-8.13398537999578e-07,3.226544852168578e-09,3.2418948167975382e-09,43,43,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-064.hdf5,9.666766770284061e-09,4.573890432250678e-09,1.63646384276944e-06,4.573890432250678e-09,0.005907106846873368,0.002795032870556674
0.425,7.768235082138529e-07,-7.684643683400356e-07,-7.470042181166676e-05,-6.90870848396441e-05,7.7687733446358e-07,-7.68592580298904e-07,4.439443463454496e-10,5.453245232666383e-10,41,43,2023/05/Data_0529/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-093.hdf5,8.284754164676075e-09,7.031823506943806e-10,1.545469914762484e-06,7.031823506943806e-10,0.005360669971986688,0.00045500235721445125
0.45,7.30586991626324e-07,-7.232651947395543e-07,-7.003162325319515e-05,-6.517633446383476e-05,7.302817044950496e-07,-7.230871543071143e-07,3.281169904229409e-09,3.1244326085854103e-09,45,45,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-065.hdf5,7.1945501879352645e-09,4.5308007091476294e-09,1.453368858802164e-06,4.5308007091476294e-09,0.0049502575649411264,0.0031174854168064705
0.475,6.800687840212293e-07,-6.754219715875809e-07,-7.807729916379078e-05,-7.251047533711706e-05,6.807042635691185e-07,-6.757536008412858e-07,4.3661281980932727e-10,4.5195266762167777e-10,41,41,2023/05/Data_0529/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-094.hdf5,4.950662727832668e-09,6.284043031299219e-10,1.3564578644104043e-06,6.284043031299219e-10,0.003649698864759441,0.00046327166134026127
0.5,6.251472224841758e-07,-6.234291946007837e-07,-7.87040091646409e-05,-7.398845451488383e-05,6.248569765882291e-07,-6.230256467796572e-07,3.045374449456287e-09,3.097107854338543e-09,47,47,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-066.hdf5,1.831329808571895e-09,4.343544934590487e-09,1.2478826233678862e-06,4.343544934590487e-09,0.0014675497312634695,0.0034807357123191737
0.525,5.671050534248726e-07,-5.689521385433801e-07,-7.562422336589001e-05,-7.143782604796262e-05,5.673829252923641e-07,-5.693959027086762e-07,2.617294830544645e-10,4.3795773325129774e-10,41,43,2023/05/Data_0529/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-095.hdf5,-2.012977416312143e-09,5.102051532614817e-10,1.1367788280010403e-06,5.102051532614817e-10,-0.0017707731413786508,0.0004488172550391641
0.55,5.123241563785254e-07,-5.158126492764556e-07,-8.461442144489415e-05,-8.062039804250972e-05,5.118739385241204e-07,-5.150772612929538e-07,2.133084733517484e-09,2.1908822591611912e-09,39,39,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-067.hdf5,-3.2033227688333922e-09,3.0577795136132038e-09,1.0269511998170742e-06,3.0577795136132038e-09,-0.00311925510131736,0.00297754595334272
0.575,4.668505168811617e-07,-4.70068126458868e-07,-7.540553752759213e-05,-7.17298602210687e-05,4.673748389539543e-07,-4.707266005325006e-07,4.706877742861661e-10,6.392600002875995e-10,43,43,2023/05/Data_0530/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-096.hdf5,-3.3517615785462892e-09,7.938515785902088e-10,9.381014394864548e-07,7.938515785902088e-10,-0.0035729201954760297,0.0008462375306315232
0.6,4.298021081527471e-07,-4.328205928970501e-07,-7.763342844639167e-05,-8.05293901598889e-05,4.298971552401728e-07,-4.331024241502378e-07,6.485952503878135e-09,2.941159001500084e-09,37,39,2023/05/Data_0524/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-068.hdf5,-3.205268910064984e-09,7.121656840558103e-09,8.629995793904106e-07,7.121656840558103e-09,-0.003714102517093996,0.00825227048832587
0.6,4.338823455216983e-07,-4.3671211938998054e-07,-8.253373369284077e-05,-7.9124655543665e-05,4.35946634188685e-07,-4.387876563701673e-07,2.00718757208721e-09,1.986073827248425e-09,47,45,2023/05/Data_0525/JS633-W2_Wsc@v3.1_Wsc=0.6um-NNW_WFS01-069.hdf5,-2.8410221814823072e-09,2.8237016833976205e-09,8.747342905588524e-07,2.8237016833976205e-09,-0.003247868766716837,0.003228084924711089
