in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.663116928607616e-06,3.53282329475389e-06,-6.084741406260354e-05,-1.0934653279238687e-05,-3.662480400816656e-06,3.532109217242501e-06,1.3985814359639514e-09,9.003169701525486e-10,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-1.3037118357415474e-07,1.663310157417327e-09,7.1945896180591576e-06,1.663310157417327e-09,-0.0181207255028014,0.00023122697834850747
-0.045,-3.717753290527705e-06,3.615556873619081e-06,-5.642144603550941e-05,-6.7246443012652285e-06,-3.71727254109052e-06,3.6145851438528903e-06,2.117673178176694e-09,1.1120680208569702e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-1.0268739723762981e-07,2.3919103186745358e-09,7.33185768494341e-06,2.3919103186745358e-09,-0.014005645178916533,0.0003262672307963167
-0.04,-3.7679201583050975e-06,3.681094056840838e-06,-5.445236678337317e-05,-4.397113383373241e-06,-3.765623228626176e-06,3.681073700134645e-06,2.150035071144757e-09,1.2567148035475526e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-8.454952849153098e-08,2.490378064593407e-09,7.44669692876082e-06,2.490378064593407e-09,-0.011353963952122405,0.0003344487634818826
-0.035,-3.8105762887353546e-06,3.7409718435790646e-06,-5.378226609710776e-05,-3.836331601891154e-06,-3.809095419235272e-06,3.7409586390500222e-06,2.4490225652441726e-09,1.0698172298879342e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-6.813678018524975e-08,2.6724932984836915e-09,7.550054058285294e-06,2.6724932984836915e-09,-0.009024674480373775,0.0003539845020855962
-0.03,-3.845372723076301e-06,3.788620425729727e-06,-5.2819921747396045e-05,-2.798182808471566e-06,-3.84662409010275e-06,3.7901840443134376e-06,1.5591724703619126e-09,1.5123362085964507e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-5.6440045789312204e-08,2.172137104366655e-09,7.636808134416187e-06,2.172137104366655e-09,-0.007390528188728273,0.0002844377371130492
-0.025,-3.8758580497538375e-06,3.830349468098334e-06,-4.836181210626014e-05,1.6006971507854403e-06,-3.876694969402357e-06,3.8304289647455154e-06,1.920730216201838e-09,1.5080535050005635e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-4.6266004656841665e-08,2.4420135006537624e-09,7.707123934147873e-06,2.4420135006537624e-09,-0.006003018123511855,0.0003168571728700628
-0.02,-3.900649396194812e-06,3.863137267960668e-06,-5.011760611268425e-05,7.720818639257119e-07,-3.901580615793489e-06,3.862578689356777e-06,1.2272977400326163e-09,1.7895420490597627e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-3.900192643671194e-08,2.1699586374035292e-09,7.764159305150267e-06,2.1699586374035292e-09,-0.005023328979203255,0.00027948756975909025
-0.015,-3.918513991942802e-06,3.885347450737859e-06,-4.99547611475053e-05,7.230060179611206e-07,-3.916999934438788e-06,3.885404377295675e-06,2.0741832849339947e-09,1.3009081332436003e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-3.1595557143113544e-08,2.4483868711130856e-09,7.802404311734463e-06,2.4483868711130856e-09,-0.004049464226763442,0.0003138015985494324
-0.01,-3.925802817753877e-06,3.90312386553602e-06,-4.595461529567405e-05,4.8859878683224925e-06,-3.9257958767823565e-06,3.904090976983437e-06,1.5112975711616843e-09,1.3240615459795992e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-2.1704899798919172e-08,2.0092683559298625e-09,7.829886853765795e-06,2.0092683559298625e-09,-0.002772057911472906,0.0002566162338430433
-0.005,-3.927866169134519e-06,3.915475125847438e-06,-4.646441336379676e-05,3.850183788244482e-06,-3.928109540434403e-06,3.9167799182514855e-06,2.2261697439701403e-09,1.574134101984897e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,-1.1329622182917918e-08,2.7264867320417823e-09,7.844889458685888e-06,2.7264867320417823e-09,-0.001444204184467344,0.0003475497761632933
0.0,-3.923559192547101e-06,3.925345209774578e-06,-6.068617048782205e-05,-1.0153667621562078e-05,-3.925346631820499e-06,3.9255188092404005e-06,2.263268794384661e-09,1.581263290229589e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,1.7217741990111532e-10,2.760938106633885e-09,7.8508654410609e-06,2.760938106633885e-09,2.1931011452649315e-05,0.0003516730898045755
0.005,-3.915394082469931e-06,3.928228299314624e-06,-5.498343489001305e-05,-4.749910830152217e-06,-3.916395608516863e-06,3.9283843734475336e-06,2.5062480757844314e-09,1.5018954506207303e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,1.1988764930670205e-08,2.9218092617363665e-09,7.844779981964397e-06,2.9218092617363665e-09,0.0015282474407482516,0.0003724531064546543
0.01,-3.905336622256872e-06,3.92751378522728e-06,-5.186896808129731e-05,-1.15800593782098e-06,-3.904084686639823e-06,3.9267829034051695e-06,1.9432610897057763e-09,1.2064835714626327e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,2.2698216765346888e-08,2.2873273204711454e-09,7.830867590044992e-06,2.2873273204711454e-09,0.0028985570888980486,0.00029209240263509506
0.015,-3.883526465293171e-06,3.917669372623421e-06,-4.887996005711442e-05,1.588961905141199e-06,-3.88488216915157e-06,3.918685984752983e-06,2.3661274693155433e-09,1.3877763815422147e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,3.3803815601413265e-08,2.743079015671255e-09,7.803568153904552e-06,2.743079015671255e-09,0.004331840888004466,0.0003515192919670891
0.02,-3.860341273004107e-06,3.901079832024214e-06,-5.4677061197764696e-05,-3.857741325485188e-06,-3.860013617381416e-06,3.901615937158611e-06,1.6172990797120206e-09,1.645565723296898e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,4.160231977719529e-08,2.307280404053004e-09,7.761629554540026e-06,2.307280404053004e-09,0.005359998114424407,0.0002972717946920778
0.025,-3.826782092253546e-06,3.875844678673638e-06,-5.214770478941636e-05,-8.495677530331859e-07,-3.825040606899415e-06,3.876003978152031e-06,2.4039667814339677e-09,1.088418977619795e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,5.0963371252615957e-08,2.638884642624779e-09,7.701044585051447e-06,2.638884642624779e-09,0.00661772188042403,0.0003426733083836583
0.03,-3.783255454297992e-06,3.845383560866803e-06,-4.960929833739283e-05,1.7722089889549415e-06,-3.783105011416582e-06,3.846539634504691e-06,2.52333308846014e-09,1.2091361169898892e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,6.343462308810881e-08,2.798074342244533e-09,7.629644645921274e-06,2.798074342244533e-09,0.008314230351739943,0.0003667498528269086
0.035,-3.730527895302792e-06,3.8084405120112463e-06,-5.165899970383389e-05,-1.1117753221290897e-06,-3.731752920269447e-06,3.8068444967999576e-06,1.6389192756115443e-09,1.645891481377052e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,7.509157653051057e-08,2.322717193383778e-09,7.5385974170694046e-06,2.322717193383778e-09,0.009960947955714297,0.00030812527749901636
0.04,-3.67070882173254e-06,3.76309797090567e-06,-4.84380577462538e-05,2.264108116398965e-06,-3.67182152008212e-06,3.762192143584345e-06,1.4746172399352234e-09,1.2732812648440315e-09,21,17,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-146.hdf5,9.037062350222475e-08,1.948266199398068e-09,7.434013663666465e-06,1.948266199398068e-09,0.01215637037955804,0.000262093969291718
