field,datafile,notes
-0.03,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-310.hdf5,Ic+ and Ic- extrema attained on opposite sides of flux jump
-0.05,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-310.hdf5,Ic+ may not have attained maximum before flux jump
