VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.829395626089346e-06,3.520197976504833e-06,-6.768486699892063e-05,-6.196811954110922e-05,-3.829423415792905e-06,3.518104183668891e-06,2.181373912571637e-09,1.8390546553429635e-09,37,35,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-3.1131923212401386e-07,2.853158630673506e-09,7.347527599461796e-06,2.853158630673506e-09,-0.04237061078162101,0.00038866387866086485
-0.055,-3.874312637723728e-06,3.6045399277015e-06,-7.845008166670122e-05,-7.337580462997365e-05,-3.872986954523559e-06,3.6019390449555768e-06,2.121883607558486e-09,2.143824479085715e-09,39,39,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-2.7104790956798183e-07,3.0163510142476043e-09,7.474925999479135e-06,3.0163510142476043e-09,-0.03626094888255334,0.00040379441846963716
-0.05,-3.915295142791828e-06,3.6795929956217552e-06,-8.639225877376227e-05,-8.163141386792305e-05,-3.914263983818478e-06,3.678583650377104e-06,2.369218990023968e-09,2.012271289289389e-09,43,41,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-2.3568033344137388e-07,3.108445650866132e-09,7.592847634195582e-06,3.108445650866132e-09,-0.031039781751967532,0.00040958845537549833
-0.045,-3.951902590441763e-06,3.748478901353212e-06,-9.266934592540563e-05,-8.81903770346735e-05,-3.95408548491967e-06,3.748565604446963e-06,2.778701164880544e-09,2.2712036993560686e-09,45,43,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-2.0551988047270674e-07,3.588808494149163e-09,7.702651089366632e-06,3.588808494149163e-09,-0.026681707127617808,0.0004660844280516821
-0.04,-3.987744979919194e-06,3.8142210782635618e-06,-9.882043501531532e-05,-9.419357638503503e-05,-3.989037042287727e-06,3.810699513517543e-06,2.0316645486782342e-09,1.9466867769198492e-09,45,45,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-1.7833752877018358e-07,2.8137608721763337e-09,7.79973655580527e-06,2.8137608721763337e-09,-0.022864557987852634,0.00036084504343999286
-0.035,-4.02086116303763e-06,3.86686997186424e-06,-9.677543218066773e-05,-9.252053056700847e-05,-4.020641106601551e-06,3.866717255367179e-06,2.7099095372393834e-09,2.2158839949436476e-09,47,45,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-1.5392385123437204e-07,3.5005358988401173e-09,7.887358361968729e-06,3.5005358988401173e-09,-0.01951526026464858,0.00044390051220901495
-0.03,-4.046900016498221e-06,3.9151679029466805e-06,-9.922161810513442e-05,-9.491630871859004e-05,-4.048794219787994e-06,3.915104890619909e-06,2.3297562469889042e-09,2.157918681770513e-09,45,45,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-1.3368932916808504e-07,3.1755908438459153e-09,7.963899110407903e-06,3.1755908438459153e-09,-0.016786918984617524,0.0003988044311055703
-0.025,-4.0693939711618856e-06,3.957559396875344e-06,-9.968248488135651e-05,-9.55276756755016e-05,-4.0697215665235645e-06,3.956026840089855e-06,2.337450631438513e-09,3.070905365380241e-09,45,45,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-1.1369472643370967e-07,3.859292061704252e-09,8.02574840661342e-06,3.859292061704252e-09,-0.01416624602137071,0.0004809120711207131
-0.02,-4.084477149502085e-06,3.99367736262291e-06,-0.0001035480854888,-9.932178142306644e-05,-4.08639707338417e-06,3.992211269083934e-06,2.4249354539128864e-09,2.2908656117414402e-09,43,45,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-9.418580430023638e-08,3.3359222423046946e-09,8.078608342468105e-06,3.3359222423046946e-09,-0.01165866697672604,0.00041296084795583123
-0.015,-4.095793052382979e-06,4.02408967888678e-06,-0.0001024589138348,-9.826684890930368e-05,-4.095419142911608e-06,4.021143535543745e-06,2.087222567433933e-09,2.482759575558175e-09,45,45,0.0,2024/01/Data_0107/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-111.hdf5,-7.427560736786344e-08,3.2435463856759174e-09,8.116562678455353e-06,3.2435463856759174e-09,-0.009151116095612864,0.00039963742329926245
