in-plane magnitude,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.05,-3.6762863973331554e-06,3.5137511893463365e-06,-7.233681417571949e-05,-2.4119484900028964e-05,-3.676033898955883e-06,3.5118787968429006e-06,2.7041926164546473e-09,1.2142186992888895e-09,15,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-1.6415510211298237e-07,2.964284864278505e-09,7.187912695798784e-06,2.964284864278505e-09,-0.022837659423566498,0.00041250609366828925
-0.045,-3.73082321328807e-06,3.591229826117721e-06,-6.678211140870825e-05,-1.922314436735463e-05,-3.728375407177288e-06,3.5905450689392195e-06,1.7182811525068723e-09,1.321174592633696e-09,15,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-1.3783033823806826e-07,2.1674852763700974e-09,7.318920476116507e-06,2.1674852763700974e-09,-0.01883205845559377,0.0002962007299883562
-0.04,-3.776036403654277e-06,3.66069288907566e-06,-6.351396894931517e-05,-1.539052961472223e-05,-3.775750412158294e-06,3.65968817853801e-06,2.649284721641455e-09,1.328464604335896e-09,17,19,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-1.1606223362028408e-07,2.9637016957339295e-09,7.435438590696304e-06,2.9637016957339295e-09,-0.01560933255040376,0.0003986399312453117
-0.035,-3.816296833836135e-06,3.719967633793407e-06,-5.77017072969745e-05,-9.268113958372254e-06,-3.816980853498179e-06,3.7191370643425087e-06,2.264613086782421e-09,1.3843721085308984e-09,17,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-9.784378915567032e-08,2.654234083065111e-09,7.536117917840687e-06,2.654234083065111e-09,-0.01298331451582506,0.0003522314552391236
-0.03,-3.851715514571651e-06,3.770718127884037e-06,-5.101751147829648e-05,-2.18194121832182e-06,-3.851720091699538e-06,3.7695771382966976e-06,1.7713972993996723e-09,1.508478873884384e-09,19,17,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-8.21429534028407e-08,2.3266621811676813e-09,7.621297229996236e-06,2.3266621811676813e-09,-0.010778080282650421,0.0003053020040715688
-0.025,-3.885677453570298e-06,3.810943314051655e-06,-4.325128114605173e-05,5.341711236306769e-06,-3.882899440145738e-06,3.810690276785434e-06,1.960725039372788e-09,1.4051482254522967e-09,21,15,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-7.220916336030433e-08,2.4122363515035505e-09,7.693589716931172e-06,2.4122363515035505e-09,-0.009385626998200159,0.0003135522798672339
-0.02,-3.905720248679126e-06,3.84565242663505e-06,-4.406136787982918e-05,4.930796472416237e-06,-3.904360355041564e-06,3.845512380156188e-06,1.692646338216017e-09,1.6071948462345324e-09,21,15,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-5.884797488537552e-08,2.3341222975754576e-09,7.749872735197753e-06,2.3341222975754576e-09,-0.007593411775409484,0.0003011906993822172
-0.015,-3.917762911723833e-06,3.872090424117786e-06,-4.287535282487072e-05,6.516375404506387e-06,-3.9185488238784575e-06,3.871846376362027e-06,2.542241993276326e-09,1.5930670565372182e-09,21,15,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-4.6702447516430056e-08,3.0001428297669e-09,7.790395200240485e-06,3.0001428297669e-09,-0.005994875268328926,0.0003851148321141269
-0.01,-3.925722718552532e-06,3.890701627815698e-06,-4.4069188707394594e-05,5.54644691066051e-06,-3.9255235272863855e-06,3.891968526040641e-06,2.0858369181586147e-09,1.614408361905317e-09,21,15,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-3.3555001245744284e-08,2.6376182453386306e-09,7.817492053327027e-06,2.6376182453386306e-09,-0.004292297455097981,0.0003374026509694614
-0.005,-3.925860356712427e-06,3.906009680133076e-06,-4.038503330712488e-05,9.190808420425996e-06,-3.9244471566629325e-06,3.905749469217521e-06,3.532335951640642e-09,1.0920105306989072e-09,21,13,-0.6,2024/07/Data_0702/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-142.hdf5,-1.8697687445411537e-08,3.697280659405005e-09,7.830196625880453e-06,3.697280659405005e-09,-0.002387895009380956,0.00047218369819673723
