angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
195.0,-3.506224333602913e-07,3.450283344174581e-07,-3.290905790878692e-05,-1.525336318801914e-05,-3.505248490966144e-07,3.450257880037969e-07,2.352797405751838e-10,1.3187876243356239e-10,19,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-099.hdf5,-5.499061092817471e-09,2.6971941774023937e-10,6.955506371004112e-07,2.6971941774023937e-10,-0.00790605428203154,0.00038779038177966544
210.0,-3.494314233226915e-07,3.450162554129283e-07,-3.477923126091605e-05,-1.7079891576711792e-05,-3.4946420533474373e-07,3.447851768841384e-07,1.4328012565834063e-10,1.3515594697097932e-10,17,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-099.hdf5,-4.679028450605309e-09,1.9696782582516376e-10,6.942493822188821e-07,1.9696782582516376e-10,-0.006739694078878,0.0002837198048725743
225.0,-3.47904482326506e-07,3.4405641306492734e-07,-3.328230634312471e-05,-1.6340476824276633e-05,-3.476226933575885e-07,3.440904263157508e-07,1.656022587607355e-10,1.5983441456045455e-10,17,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-099.hdf5,-3.5322670418377074e-09,2.30154617995253e-10,6.917131196733393e-07,2.30154617995253e-10,-0.005106549147869012,0.0003327356562753058
240.0,-3.457033035001761e-07,3.4353727817669694e-07,-2.807402199586602e-05,-1.1025085417428497e-05,-3.457643653835837e-07,3.4356991529079505e-07,1.10622055546664e-10,1.4170541036933606e-10,19,15,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-099.hdf5,-2.1944500927886386e-09,1.7977113923350198e-10,6.893342806743788e-07,1.7977113923350198e-10,-0.0031834338641069733,0.0002607908168708237
255.0,-3.438926342763279e-07,3.431105553837959e-07,-2.965971451857108e-05,-1.196783740928029e-05,-3.4379785315944425e-07,3.431770590566959e-07,2.5412522869488966e-10,8.613097233432532e-11,19,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-099.hdf5,-6.207941027483621e-10,2.68324758929336e-10,6.869749122161401e-07,2.68324758929336e-10,-0.0009036634259986545,0.0003905890356632247
270.0,-3.421255999172132e-07,3.4354102777809186e-07,-2.7267925800456644e-05,-1.0940701392053145e-05,-3.4235098872039546e-07,3.43497650513673e-07,1.9106521033528102e-10,1.6427162991884522e-10,19,15,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-099.hdf5,1.146661793277528e-09,2.519743697217223e-10,6.858486392340685e-07,2.519743697217223e-10,0.0016718875385654762,0.0003673911523149661
285.0,-3.417442595816777e-07,3.4418021367438744e-07,-3.0931422721147405e-05,-1.4561818325439738e-05,-3.414799877340931e-07,3.4408071806032257e-07,2.0040554127708688e-10,1.1108319037954045e-10,17,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-100.hdf5,2.6007303262294833e-09,2.2913283518400281e-10,6.855607057944156e-07,2.2913283518400281e-10,0.0037935813768903265,0.00033422931331459287
300.0,-3.417278279409345e-07,3.454568981520072e-07,-3.4272050224136177e-05,-1.839593400241049e-05,-3.4150309590307666e-07,3.452841403935678e-07,1.839584540698816e-10,1.568390879009417e-10,15,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-100.hdf5,3.7810444904911306e-09,2.417420367196819e-10,6.867872362966445e-07,2.417420367196819e-10,0.00550540879425718,0.0003519950393061433
315.0,-3.418196863690003e-07,3.465625352163877e-07,-3.598484211861947e-05,-1.9575729852133867e-05,-3.417989601725579e-07,3.466224725965229e-07,1.7742152334880475e-10,1.1452984498451329e-10,17,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-100.hdf5,4.823512423964972e-09,2.111764246775362e-10,6.884214327690808e-07,2.111764246775362e-10,0.007006627327918968,0.0003067621055728308
330.0,-3.4283592427133255e-07,3.480145777927936e-07,-3.503908285461584e-05,-1.858942777034557e-05,-3.4257373544391374e-07,3.479531994802883e-07,1.8636895294990375e-10,1.637133476290872e-10,17,19,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-100.hdf5,5.379464036374533e-09,2.480633927357396e-10,6.90526934924202e-07,2.480633927357396e-10,0.007790375384799477,0.0003592487237678059
345.0,-3.435395181961954e-07,3.490040808761409e-07,-4.068615235436533e-05,-2.3489626400959428e-05,-3.434663837363197e-07,3.489022009539347e-07,2.1927357467517608e-10,1.8987551555593863e-10,17,19,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-100.hdf5,5.435817217614988e-09,2.900579458633456e-10,6.923685846902545e-07,2.900579458633456e-10,0.007851045437087261,0.0004189486518713428
360.0,-3.442268323026568e-07,3.495133207934284e-07,-3.443027258216405e-05,-1.813713752643957e-05,-3.440141779246513e-07,3.492680457007189e-07,1.8110824099152294e-10,1.2733060812682788e-10,17,17,-5.8,2024/06/Data_0621/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-100.hdf5,5.253867776067596e-09,2.2138942775343036e-10,6.932822236253702e-07,2.2138942775343036e-10,0.007578252545685688,0.00031934438430002697
