VectorMagnet - Field Y,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate 21 - Source voltage,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
-0.06,-3.833732539245066e-06,3.53880260835119e-06,-5.9518299966972914e-05,-5.742513329973328e-05,-3.835621193189495e-06,3.53929054402533e-06,2.5716603168110773e-09,1.451514349867456e-09,33,33,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-2.963306491641653e-07,2.9530206048945873e-09,7.374911737214825e-06,2.9530206048945873e-09,-0.04018090788379742,0.00040073747084646796
-0.055,-3.881003647311914e-06,3.626066888138887e-06,-6.992781434435781e-05,-6.804618254467536e-05,-3.882613935694215e-06,3.6262980377689063e-06,2.194141923714432e-09,2.39370852779439e-09,37,37,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-2.563158979253085e-07,3.2471678887049954e-09,7.5089119734631215e-06,3.2471678887049954e-09,-0.03413489182336162,0.00043269372907487393
-0.05,-3.92583718413003e-06,3.7088127837112793e-06,-7.803597383142087e-05,-7.630725157680825e-05,-3.927542715077629e-06,3.707790842787295e-06,3.083083526102711e-09,2.5128431996809593e-09,39,39,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-2.19751872290334e-07,3.977409329589899e-09,7.635333557864923e-06,3.977409329589899e-09,-0.02878091318800006,0.0005211371951176413
-0.045,-3.965078097856104e-06,3.778992572648079e-06,-8.441432751041352e-05,-8.266692407350323e-05,-3.967169271175505e-06,3.780189564280669e-06,3.6201640462216516e-09,1.922411425767781e-09,43,41,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-1.8697970689483604e-07,4.0989332040762065e-09,7.747358835456173e-06,4.0989332040762065e-09,-0.02413463876735825,0.0005292289788420358
-0.04,-4.004988792844111e-06,3.848054701699295e-06,-9.075210105311652e-05,-8.927103637675598e-05,-4.005502194743363e-06,3.844934168419347e-06,2.600413527693319e-09,2.091930121130433e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-1.60568026324016e-07,3.3374124927409255e-09,7.85043636316271e-06,3.3374124927409255e-09,-0.02045338869027248,0.00042521337079193337
-0.035,-4.0410394618034165e-06,3.902381572994599e-06,-9.821267293627936e-05,-9.672434283306222e-05,-4.039205750753976e-06,3.900522602349496e-06,2.588759089566016e-09,2.444206086188403e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-1.3868314840448058e-07,3.5603113649751336e-09,7.939728353103473e-06,3.5603113649751336e-09,-0.017466989075296542,0.00044848567646788696
-0.03,-4.067074843027998e-06,3.948968073569536e-06,-0.0001019263567966,-0.0001002431703899,-4.069280248882408e-06,3.950354180553995e-06,2.663105586022186e-09,2.770266498199376e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-1.1892606832841325e-07,3.842721409801705e-09,8.019634429436404e-06,3.842721409801705e-09,-0.014829362781411849,0.0004792168454589367
-0.025,-4.094856939719673e-06,3.990686608940718e-06,-0.0001013495906836,-9.962189736041456e-05,-4.093722400475272e-06,3.990671969718604e-06,2.9225170818419672e-09,2.7561946154500253e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-1.0305043075666796e-07,4.017177473288154e-09,8.084394370193876e-06,4.017177473288154e-09,-0.012746833719122073,0.0004969455515303979
-0.02,-4.111618695621659e-06,4.0263130403385936e-06,-0.0001016970435139,-9.982657106307728e-05,-4.11129269275789e-06,4.026126230964653e-06,2.374340592514113e-09,2.2900194317466606e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-8.516646179323687e-08,3.2987394936608087e-09,8.137418923722541e-06,3.2987394936608087e-09,-0.010466028920418004,0.0004054012934452913
-0.015,-4.120237874822073e-06,4.057202461091831e-06,-0.000101068169546,-9.897494637226168e-05,-4.121673455209341e-06,4.053904734376044e-06,2.517764216809218e-09,2.785296493861549e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-6.776872083329624e-08,3.754598941320147e-09,8.175578189585384e-06,3.754598941320147e-09,-0.008289165519770174,0.00045926145427019035
-0.01,-4.1271542460657606e-06,4.079709364914412e-06,-0.0001032833916942,-0.0001012505562343,-4.126307050954168e-06,4.077821468953943e-06,2.631515530060966e-09,2.077167125314356e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-4.848558200022536e-08,3.3525359433477743e-09,8.20412851990811e-06,3.3525359433477743e-09,-0.005909900348656218,0.0004086472416396319
-0.005,-4.130659034642059e-06,4.099764155159257e-06,-0.0001097133458373,-0.0001073366776771,-4.13176137231601e-06,4.100864133290386e-06,3.42361051869258e-09,2.805528573650633e-09,43,43,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-3.0897239025624264e-08,4.426296370700072e-09,8.232625505606395e-06,4.426296370700072e-09,-0.003753023747355364,0.0005376568556631887
0.0,-4.126242223900024e-06,4.11276563229544e-06,-0.000108717200158,-0.0001061257126964,-4.125026659957616e-06,4.115298818157226e-06,2.3474718633583934e-09,3.1650881485050403e-09,43,43,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,-9.727841800389991e-09,3.9406099955547985e-09,8.240325478114843e-06,3.9406099955547985e-09,-0.001180516695150669,0.00047821081240969867
0.005,-4.112006270155106e-06,4.1279686573441e-06,-0.0001046623234565,-0.0001020740108765,-4.114362062313181e-06,4.127712152212454e-06,2.992488929584581e-09,2.4845378549767933e-09,43,43,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,1.3350089899273124e-08,3.889462475265568e-09,8.242074214525635e-06,3.889462475265568e-09,0.0016197488098014508,0.0004719039741934825
0.01,-4.097927866012686e-06,4.135111498322784e-06,-0.0001018197016422,-9.903045911149904e-05,-4.100284136117363e-06,4.132467437395443e-06,2.8961445824749033e-09,3.007251693047282e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,3.218330127807983e-08,4.175070800349914e-09,8.232751573512805e-06,4.175070800349914e-09,0.003909179208276249,0.0005071333276608151
0.015,-4.074461544263737e-06,4.127224394816756e-06,-0.0001060206949082,-0.0001026434698766,-4.077282585954106e-06,4.129523145104824e-06,2.545786869737308e-09,2.819076499510003e-09,43,43,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,5.224055915071804e-08,3.798450091315727e-09,8.20680573105893e-06,3.798450091315727e-09,0.006365516726320437,0.00046285085467365173
0.02,-4.044368658821358e-06,4.115722272535688e-06,-0.0001076788995715,-0.0001047980056255,-4.045767326723227e-06,4.116536558882324e-06,2.5453469784829192e-09,2.7253566700717083e-09,43,43,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,7.076923215909694e-08,3.729123250842814e-09,8.16230388560555e-06,3.729123250842814e-09,0.008670252069872141,0.00045688857774355647
0.025,-4.017559995680553e-06,4.103923183191572e-06,-0.0001040642341083,-0.000100922013694,-4.015347816980884e-06,4.103898572976383e-06,2.2511202796100542e-09,2.337868320300549e-09,43,43,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,8.855075599549884e-08,3.245484678185457e-09,8.119246389957266e-06,3.245484678185457e-09,0.010906277718708928,0.0003997511020999534
0.03,-3.97872684858995e-06,4.081105034276494e-06,-0.0001010310483745,-9.793204218002924e-05,-3.977174756312007e-06,4.083231651029419e-06,1.8038148114547031e-09,3.1309955535544347e-09,43,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,1.0605689471741175e-07,3.613430645577829e-09,8.060406407341425e-06,3.613430645577829e-09,0.013157760211794661,0.0004483326571880657
0.035,-3.933043427500016e-06,4.057406499178385e-06,-9.85476361258562e-05,-9.554307189925332e-05,-3.930054695659842e-06,4.057359005309166e-06,3.1698781060605675e-09,2.972890168228578e-09,45,45,-1.0,2024/01/Data_0105/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-107.hdf5,1.2730430964932434e-07,4.345825946771485e-09,7.987413700969007e-06,4.345825946771485e-09,0.015938113939669884,0.0005441533449183557
